Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Малоярославецкая																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44463	1996	1754	1321	1834	1701	2265	1814	2596	2700	2222	1573	1481	2239	1690	2010	2015	589	415	683	209	803	2358	324	755	759	1291	1181	329	678	285	239	990	354	399	463	148									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45400	2010	1745	1330	1835	1715	2190	1810	2600	2680	2240	1585	1460	2235	1680	2035	2065	650	415	700	260	840	2520	340	805	785	1340	1270	530	690	305	250	995	425	440	465	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15827	745	642	447	496	432	646	651	874	880	925	688	386	523	534	735	796	351	157	139	71	320	939	186	410	165	562	472	277	296	154	112	280	143	123	231	39									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2063	16	10	15	37	5	52	15	31	28	8	11	42	20	5	110	64	102	15	231	48	105	157	14	38	188	100	48	52	30	50	31	128	83	123	38	13									
6	Число погашенных избирательных бюллетеней	27510	1249	1093	868	1302	1278	1492	1144	1695	1772	1307	886	1032	1692	1141	1190	1205	197	243	330	141	415	1424	140	357	432	678	750	201	364	101	107	587	199	194	196	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2063	16	10	15	37	5	52	15	31	28	8	11	42	20	5	110	64	102	15	231	48	105	157	14	38	188	100	48	52	30	50	31	128	83	123	38	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15790	745	642	447	459	432	646	651	874	880	925	688	386	523	534	735	796	351	157	139	71	320	939	186	410	165	562	472	277	296	154	112	280	143	123	231	39									
9	Число недействительных избирательных бюллетеней	391	24	15	17	13	17	19	11	27	21	22	13	7	19	13	4	12	5	0	8	1	4	31	3	10	4	22	8	9	12	1	5	2	2	6	4	0									
10	Число действительных избирательных бюллетеней	17462	737	637	445	483	420	679	655	878	887	911	686	421	524	526	841	848	448	172	362	118	421	1065	197	438	349	640	512	320	314	203	138	406	224	240	265	52									
