Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Сургутская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в списки избирателей"	77016	411	1307	1185	1274	1260	1222	1310	1204	1246	2158	1910	1694	1801	2287	1980	1876	1760	2485	2830	2201	1512	2566	2730	2194	1063	3278	2393	2890	2250	2143	2054	378	106	446	729	2574	2279	2543	1618	1674	833	545	135	1501	1394	1582	205					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	72650	550	1100	1000	1100	1100	1100	1100	1100	1100	1900	1700	1500	1500	2100	1700	1700	1600	2100	2500	2000	1300	3300	3100	3200	1300	2800	2000	2500	2000	1700	1800	400	150	600	750	2400	2100	2000	1500	1500	900	700	150	1500	1300	1900	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2447	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	438	357	394	448	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	74	73	2	0	162	147	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50842	282	795	773	844	815	825	842	801	907	1420	1108	1015	1158	1397	1269	1214	1151	1737	1865	1445	933	1851	1873	1470	547	2383	1636	1849	1548	1516	1477	353	98	373	552	1556	1418	1484	1234	1026	610	409	97	1047	899	805	135					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	621	6	18	15	14	26	4	11	12	17	4	42	66	1	0	43	5	3	5	14	8	0	3	14	17	5	8	8	8	18	8	8	0	0	0	0	13	14	11	13	8	28	21	0	22	33	47	0					
6	Число погашенных избирательных бюллетеней	18740	262	287	212	242	259	271	247	287	176	476	550	419	285	703	388	481	446	358	621	547	367	1008	856	1319	300	409	356	643	434	176	315	47	52	227	198	831	668	209	253	466	188	197	51	431	206	901	115					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3068	6	18	15	14	26	4	11	12	17	4	42	66	57	0	43	5	3	5	14	8	0	441	371	411	453	8	8	8	18	8	8	0	0	0	0	13	14	307	13	8	102	94	2	22	195	194	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50802	282	795	773	844	815	825	842	801	907	1420	1108	1015	1158	1394	1269	1214	1148	1731	1865	1445	933	1851	1873	1470	547	2382	1636	1848	1535	1516	1477	353	98	373	552	1556	1418	1484	1231	1021	610	409	97	1044	898	804	135					
9	Число недействительных избирательных бюллетеней	708	2	2	11	13	9	12	8	14	19	26	13	15	15	11	13	19	10	20	21	23	13	17	36	28	12	30	24	31	18	11	27	1	1	6	8	30	23	31	10	7	11	7	1	10	32	7	0					
10	Число действительных избирательных бюллетеней	53162	286	811	777	845	832	817	845	799	905	1398	1137	1066	1200	1383	1299	1200	1141	1716	1858	1430	920	2275	2208	1853	988	2360	1620	1825	1535	1513	1458	352	97	367	544	1539	1409	1760	1234	1022	701	496	98	1056	1061	991	135					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3517	30	50	50	60	50	50	50	40	60	155	130	90	90	80	80	80	80	80	130	80	80	130	180	190	50	105	120	168	90	105	89	15	5	45	35	85	90	95	50	50	25	30	5	60	60	40	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2156	20	28	32	42	32	31	30	24	42	80	70	37	46	72	59	55	45	60	72	63	65	63	106	59	21	52	59	74	50	41	89	6	5	45	28	67	71	84	38	34	13	26	0	34	43	38	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1975	38	12	12	12	21	20	12	10	18	28	5	15	25	28	34	9	12	97	34	38	19	180	111	139	93	162	28	50	71	32	61	8	7	100	187	19	22	33	32	7	3	12	11	20	26	56	6					
14	Число погашенных неиспользованных открепительных удостоверений	1361	10	22	18	18	18	19	20	16	18	75	60	53	44	8	21	25	35	20	58	17	15	67	74	131	29	53	61	94	40	64	0	9	0	0	7	18	19	11	12	16	12	4	5	26	17	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	0	1	2	0	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	2	2	2	2	0	1	1	1	2	1	0	3	0	0	0	0	3	0	4	1	2	0	2	0	0	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
