Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    район Богородское																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №3666									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64203	2372	2179	2168	2978	2433	2373	2207	2695	2538	1840	1804	1695	1514	2337	2511	2193	2291	2746	1735	2192	1254	2312	2127	2637	2139	1637	820	2074	270	2264	1396	434	38									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46800	1700	1600	1600	2150	1700	1700	1600	1900	1800	1300	1300	1300	1300	1700	1800	1600	1600	2000	1300	1600	900	1700	1600	2000	1600	1300	500	1600	200	1600	900	300	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21440	810	748	730	1363	784	850	700	885	743	544	551	472	472	634	810	632	752	876	702	787	397	778	800	820	699	561	349	658	122	655	577	141	38									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	495	24	12	19	11	20	24	22	31	23	12	8	21	7	37	23	23	12	14	3	28	11	17	18	13	5	10	1	16	8	10	5	7	0									
6	Число погашенных избирательных бюллетеней	24865	866	840	851	776	896	826	878	984	1034	744	741	807	821	1029	967	945	836	1110	595	785	492	905	782	1167	896	729	150	926	70	935	318	152	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	493	24	12	19	11	20	24	22	31	23	12	8	21	7	37	23	23	12	14	3	28	11	17	18	13	5	10	1	14	8	10	5	7	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21351	806	748	728	1359	782	850	700	884	742	544	550	472	471	633	805	630	750	852	702	785	395	777	791	818	690	558	348	656	118	651	577	141	38									
9	Число недействительных избирательных бюллетеней	397	23	16	11	30	11	14	20	13	19	5	9	10	9	7	16	10	14	14	12	15	10	14	16	19	16	8	2	14	0	13	5	2	0									
10	Число действительных избирательных бюллетеней	21447	807	744	736	1340	791	860	702	902	746	551	549	483	469	663	812	643	748	852	693	798	396	780	793	812	679	560	347	656	126	648	577	146	38									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	20	10	20	50	20	50	20	20	20	20	20	10	10	20	20	20	20	20	20	20	10	10	20	20	10	10	10	20	10	20	20	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	395	19	3	13	41	10	27	12	14	14	11	10	10	10	16	16	11	11	11	17	13	5	6	20	12	9	5	9	11	5	13	10	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	413	19	6	7	15	12	16	9	9	43	20	16	34	6	3	6	13	8	3	10	12	10	19	15	9	13	10	11	7	8	5	18	21	0									
14	Число погашенных неиспользованных открепительных удостоверений	205	1	7	7	9	10	23	8	6	6	9	10	0	0	4	4	9	9	9	3	7	5	4	0	8	1	5	1	9	5	7	10	9	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	0	0	1	7	1	5	2	2	1	1	1	0	0	1	0	3	0	3	1	4	1	3	1	4	1	3	0	1	0	3	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	733	26	25	32	35	25	33	27	28	29	12	20	9	22	38	27	26	27	27	27	21	15	29	17	20	20	10	5	31	3	21	40	4	2									
		3.36%	3.13%	3.29%	4.28%	2.55%	3.12%	3.78%	3.74%	3.06%	3.79%	2.16%	3.58%	1.83%	4.60%	5.67%	3.26%	3.98%	3.54%	3.12%	3.83%	2.58%	3.69%	3.65%	2.10%	2.41%	2.88%	1.76%	1.43%	4.63%	2.38%	3.18%	6.87%	2.70%	5.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	389	10	10	8	21	15	19	6	22	14	11	15	8	7	12	20	17	13	13	17	12	11	19	8	16	13	10	3	11	3	15	9	1	0									
		1.78%	1.20%	1.32%	1.07%	1.53%	1.87%	2.17%	0.83%	2.40%	1.83%	1.98%	2.69%	1.62%	1.46%	1.79%	2.42%	2.60%	1.71%	1.50%	2.41%	1.48%	2.71%	2.39%	0.99%	1.93%	1.87%	1.76%	0.86%	1.64%	2.38%	2.27%	1.55%	0.68%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	715	29	23	25	31	27	23	14	32	31	21	18	31	23	33	25	17	25	5	34	27	11	25	28	25	33	21	9	27	7	22	6	7	0									
		3.27%	3.49%	3.03%	3.35%	2.26%	3.37%	2.63%	1.94%	3.50%	4.05%	3.78%	3.23%	6.29%	4.81%	4.93%	3.02%	2.60%	3.28%	0.58%	4.82%	3.32%	2.71%	3.15%	3.46%	3.01%	4.75%	3.70%	2.58%	4.03%	5.56%	3.33%	1.03%	4.73%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7895	281	249	280	657	272	290	276	326	275	204	211	200	164	262	296	227	284	309	238	263	164	278	278	300	249	195	123	202	58	247	167	50	20									
		36.14%	33.86%	32.76%	37.48%	47.96%	33.92%	33.18%	38.23%	35.63%	35.95%	36.69%	37.81%	40.57%	34.31%	39.10%	35.75%	34.76%	37.27%	35.68%	33.76%	32.35%	40.39%	35.01%	34.36%	36.10%	35.83%	34.33%	35.24%	30.15%	46.03%	37.37%	28.69%	33.78%	52.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	404	15	20	17	18	14	15	12	22	9	9	10	8	8	13	19	11	15	15	17	17	5	14	23	14	9	7	9	10	3	11	14	1	0									
		1.85%	1.81%	2.63%	2.28%	1.31%	1.75%	1.72%	1.66%	2.40%	1.18%	1.62%	1.79%	1.62%	1.67%	1.94%	2.29%	1.68%	1.97%	1.73%	2.41%	2.09%	1.23%	1.76%	2.84%	1.68%	1.29%	1.23%	2.58%	1.49%	2.38%	1.66%	2.41%	0.68%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	57	2	0	0	8	0	5	1	1	2	2	2	4	1	0	3	2	1	3	2	0	0	3	3	5	1	1	1	0	0	3	1	0	0									
		0.26%	0.24%	0.00%	0.00%	0.58%	0.00%	0.57%	0.14%	0.11%	0.26%	0.36%	0.36%	0.81%	0.21%	0.00%	0.36%	0.31%	0.13%	0.35%	0.28%	0.00%	0.00%	0.38%	0.37%	0.60%	0.14%	0.18%	0.29%	0.00%	0.00%	0.45%	0.17%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3026	98	107	92	250	104	112	94	160	124	82	76	62	83	84	87	116	82	102	79	101	57	88	118	132	115	109	32	88	12	90	64	20	6									
		13.85%	11.81%	14.08%	12.32%	18.25%	12.97%	12.81%	13.02%	17.49%	16.21%	14.75%	13.62%	12.58%	17.36%	12.54%	10.51%	17.76%	10.76%	11.78%	11.21%	12.42%	14.04%	11.08%	14.59%	15.88%	16.55%	19.19%	9.17%	13.13%	9.52%	13.62%	10.99%	13.51%	15.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	726	29	30	15	24	30	31	22	26	16	15	17	9	16	25	29	22	34	30	24	25	14	27	28	22	28	23	18	26	3	21	43	4	0									
		3.32%	3.49%	3.95%	2.01%	1.75%	3.74%	3.55%	3.05%	2.84%	2.09%	2.70%	3.05%	1.83%	3.35%	3.73%	3.50%	3.37%	4.46%	3.46%	3.40%	3.08%	3.45%	3.40%	3.46%	2.65%	4.03%	4.05%	5.16%	3.88%	2.38%	3.18%	7.39%	2.70%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	723	26	14	20	34	27	26	19	28	18	24	21	10	8	22	41	22	21	27	33	32	9	40	22	32	18	19	18	23	3	22	41	2	1									
		3.31%	3.13%	1.84%	2.68%	2.48%	3.37%	2.97%	2.63%	3.06%	2.35%	4.32%	3.76%	2.03%	1.67%	3.28%	4.95%	3.37%	2.76%	3.12%	4.68%	3.94%	2.22%	5.04%	2.72%	3.85%	2.59%	3.35%	5.16%	3.43%	2.38%	3.33%	7.04%	1.35%	2.63%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	50	1	2	4	2	1	2	3	3	1	0	0	0	2	3	2	0	8	1	0	3	2	1	1	0	0	1	3	0	0	2	2	0	0									
		0.23%	0.12%	0.26%	0.54%	0.15%	0.12%	0.23%	0.42%	0.33%	0.13%	0.00%	0.00%	0.00%	0.42%	0.45%	0.24%	0.00%	1.05%	0.12%	0.00%	0.37%	0.49%	0.13%	0.12%	0.00%	0.00%	0.18%	0.86%	0.00%	0.00%	0.30%	0.34%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1995	104	56	65	62	78	74	72	52	69	53	53	39	41	45	69	53	79	99	48	98	33	84	82	69	53	37	63	89	14	62	79	19	2									
		9.13%	12.53%	7.37%	8.70%	4.53%	9.73%	8.47%	9.97%	5.68%	9.02%	9.53%	9.50%	7.91%	8.58%	6.72%	8.33%	8.12%	10.37%	11.43%	6.81%	12.05%	8.13%	10.58%	10.14%	8.30%	7.63%	6.51%	18.05%	13.28%	11.11%	9.38%	13.57%	12.84%	5.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3004	99	118	123	125	132	146	78	135	101	82	74	59	64	79	132	85	116	145	131	130	42	107	105	107	82	81	39	88	11	85	70	26	7									
		13.75%	11.93%	15.53%	16.47%	9.12%	16.46%	16.70%	10.80%	14.75%	13.20%	14.75%	13.26%	11.97%	13.39%	11.79%	15.94%	13.02%	15.22%	16.74%	18.58%	15.99%	10.34%	13.48%	12.98%	12.88%	11.80%	14.26%	11.17%	13.13%	8.73%	12.86%	12.03%	17.57%	18.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	150	7	7	1	15	6	9	3	5	4	7	3	5	3	7	9	3	1	5	7	4	5	3	3	6	0	5	3	3	0	2	9	0	0									
		0.69%	0.84%	0.92%	0.13%	1.09%	0.75%	1.03%	0.42%	0.55%	0.52%	1.26%	0.54%	1.01%	0.63%	1.04%	1.09%	0.46%	0.13%	0.58%	0.99%	0.49%	1.23%	0.38%	0.37%	0.72%	0.00%	0.88%	0.86%	0.45%	0.00%	0.30%	1.55%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1580	80	83	54	58	60	75	75	62	53	29	29	39	27	40	53	42	42	71	36	65	28	62	77	64	58	41	21	58	9	45	32	12	0									
		7.23%	9.64%	10.92%	7.23%	4.23%	7.48%	8.58%	10.39%	6.78%	6.93%	5.22%	5.20%	7.91%	5.65%	5.97%	6.40%	6.43%	5.51%	8.20%	5.11%	7.99%	6.90%	7.81%	9.52%	7.70%	8.35%	7.22%	6.02%	8.66%	7.14%	6.81%	5.50%	8.11%	0.00%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
