Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
"Наименование Избирательной комиссии:    Дзержинск, Свердловская"																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №820	УИК №821	УИК №827	УИК №828	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №879	УИК №880	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №910	УИК №914	УИК №915	УИК №916	УИК №917	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №936	УИК №937	УИК №938					
1	"Число избирателей, внесенных в списки"	111195	1138	1659	1479	1479	1623	2262	2410	2231	2355	1845	2642	2657	1952	2260	1678	1796	1702	1261	1247	1508	2643	2513	2295	1792	1949	1488	1358	2644	1975	1751	1597	1969	1542	1390	2908	2680	2233	1220	2369	2403	2228	2621	1515	2081	1277	1350	2353	923	2563	1778	2227	2057	2431	1892	875	610	2782	1555	29	90	55					
2	"Число бюллетеней, полученных участковыми комиссиями"	100720	1100	1500	1300	1400	1400	2000	2200	2000	2200	1700	2400	2400	1800	2000	1600	1600	1600	1200	1100	1400	2400	2300	2100	1600	1700	1300	1200	2400	1800	1600	1400	1800	1400	1300	2600	2500	2000	1100	2200	2200	2000	2100	1400	1900	1200	1200	2200	800	2300	1600	2000	1900	2200	1700	700	500	2600	1400	50	100	70					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	48623	539	665	665	618	698	1127	825	864	1043	834	1009	1140	919	1049	717	778	798	606	526	692	1292	1218	1089	670	754	483	691	1051	898	816	766	922	672	567	1171	1183	976	442	1130	980	1076	1124	727	903	592	650	1008	363	1133	736	1008	848	1021	803	314	286	1313	706	13	61	55					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1134	19	18	13	26	7	15	30	56	17	11	24	18	21	18	33	26	22	22	26	11	21	23	28	27	13	21	7	26	20	16	14	18	16	24	18	15	4	16	24	13	17	10	17	15	6	15	36	23	17	9	9	14	11	5	41	45	12	10	0	25	0					
6	Число погашенных бюллетеней	50972	542	817	622	756	695	858	1345	1080	1140	855	1367	1242	860	933	850	796	780	572	548	697	1096	1059	983	903	933	796	502	1323	882	768	620	860	712	709	1411	1302	1020	642	1046	1207	907	966	656	982	602	535	1156	414	1150	855	983	1038	1168	892	345	169	1275	684	37	14	15					
7	Число бюллетеней в переносных ящиках для голосования	1134	19	18	13	26	7	15	30	56	17	11	24	18	21	18	33	26	22	22	26	11	21	23	28	27	13	21	7	26	20	16	14	18	16	24	18	15	4	16	24	13	17	10	17	15	6	15	36	23	17	9	9	14	11	5	41	45	12	10	0	25	0					
8	Число бюллетеней в стационарных ящиках для голосования	48604	539	665	665	618	698	1127	825	864	1043	833	1009	1140	919	1049	717	778	798	605	526	692	1292	1218	1085	670	754	483	691	1049	897	816	766	922	671	566	1170	1183	976	442	1126	980	1076	1124	727	903	592	650	1008	363	1133	733	1008	848	1021	803	314	286	1313	706	13	61	55					
9	Число недействительных бюллетеней	842	12	17	11	9	8	12	27	20	23	20	28	15	16	16	10	16	19	16	14	13	10	16	9	11	6	8	9	12	12	14	8	15	5	10	20	13	10	0	13	11	114	13	18	13	4	5	18	13	18	4	18	2	15	6	8	7	23	8	0	1	0					
10	Число действительных бюллетеней	48896	546	666	667	635	697	1130	828	900	1037	824	1005	1143	924	1051	740	788	801	611	538	690	1303	1225	1104	686	761	496	689	1063	905	818	772	925	682	580	1168	1185	970	458	1137	982	979	1121	726	905	594	660	1026	373	1132	738	999	860	1017	802	347	324	1302	708	13	85	55					
