Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
1	"Число избирателей, внесенных в списки избирателей"	71820	1072	2076	2132	2123	1035	1621	893	1382	2270	812	1658	2200	856	2430	1939	585	1010	1390	1184	106	2003	1414	705	583	897	2034	1389	687	1420	1445	327	335	345	693	383	880	882	1985	758	466	219	692	473	713	1600	976	131	915	598	291	197	256	1149	1498	1697	120	1013	2278	1339	355	928	224	1938	219	411	527	316	828	1320	194					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	60415	900	1770	1700	1720	830	1370	770	1140	1910	700	1390	1760	720	2100	1630	500	850	1180	1000	95	1680	1180	560	470	760	1710	1170	560	1210	1220	290	280	320	600	320	790	720	1670	650	410	190	570	390	620	1360	810	120	780	500	230	170	210	960	1250	1420	120	860	1920	1150	300	780	200	1590	210	360	440	270	700	1130	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	42476	587	1148	1193	1223	547	784	483	755	1210	561	840	1163	473	1273	1019	372	661	781	615	88	1061	729	396	321	556	1308	928	462	836	879	248	229	253	539	314	606	567	1190	518	363	155	427	353	461	1002	628	92	610	349	185	113	175	663	972	846	78	536	1231	880	268	564	162	1022	118	260	294	207	561	1040	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2112	29	32	69	34	32	108	31	40	103	15	59	21	29	40	32	7	29	58	84	4	44	41	19	27	38	17	18	6	77	35	3	17	0	0	0	15	23	39	3	13	4	24	0	25	14	11	0	49	40	22	26	8	73	35	50	18	60	83	32	17	27	18	41	16	40	22	7	49	10	0					
6	Число погашенных избирательных бюллетеней	15827	284	590	438	463	251	478	256	345	597	124	491	576	218	787	579	121	160	341	301	3	575	410	145	122	166	385	224	92	297	306	39	34	67	61	6	169	130	441	129	34	31	119	37	134	344	171	28	121	111	23	31	27	224	243	524	24	264	606	238	15	189	20	527	76	60	124	56	90	80	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2112	29	32	69	34	32	108	31	40	103	15	59	21	29	40	32	7	29	58	84	4	44	41	19	27	38	17	18	6	77	35	3	17	0	0	0	15	23	39	3	13	4	24	0	25	14	11	0	49	40	22	26	8	73	35	50	18	60	83	32	17	27	18	41	16	40	22	7	49	10	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42476	587	1148	1193	1223	547	784	483	755	1210	561	840	1163	473	1273	1019	372	661	781	615	88	1061	729	396	321	556	1308	928	462	836	879	248	229	253	539	314	606	567	1190	518	363	155	427	353	461	1002	628	92	610	349	185	113	175	663	972	846	78	536	1231	880	268	564	162	1022	118	260	294	207	561	1040	145					
9	Число недействительных избирательных бюллетеней	808	15	7	24	12	12	14	9	5	32	7	10	10	7	14	23	5	25	12	8	1	23	8	12	8	10	20	20	5	7	5	1	10	6	32	6	8	21	19	4	16	3	12	7	7	30	12	1	10	8	12	11	0	9	17	15	2	17	30	14	2	15	4	13	8	4	10	9	4	24	5					
10	Число действительных избирательных бюллетеней	43780	601	1173	1238	1245	567	878	505	790	1281	569	889	1174	495	1299	1028	374	665	827	691	91	1082	762	403	340	584	1305	926	463	906	909	250	236	247	507	308	613	569	1210	517	360	156	439	346	479	986	627	91	649	381	195	128	183	727	990	881	94	579	1284	898	283	576	176	1050	126	296	306	205	606	1026	140					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	977	14	28	27	27	13	22	12	18	30	8	22	28	12	35	26	8	13	19	15	2	27	19	9	7	12	28	19	9	19	20	4	4	5	9	5	14	12	27	10	7	8	9	7	15	22	13	2	13	8	3	2	3	15	20	23	2	14	32	19	5	12	3	27	4	6	8	4	12	18	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	386	12	18	8	16	9	3	5	6	14	0	16	13	1	7	13	1	7	1	11	0	16	9	1	3	10	18	8	2	5	8	1	0	1	4	1	7	6	7	2	5	6	7	0	13	13	1	0	10	3	1	0	0	4	11	7	0	2	6	6	0	4	0	9	1	1	1	0	3	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	161	0	1	7	3	1	3	0	5	13	1	5	3	2	5	4	2	2	1	2	0	4	1	2	3	2	18	3	0	3	3	0	0	3	1	3	0	1	1	0	0	0	0	1	1	3	4	0	1	1	2	3	0	3	4	2	1	2	5	3	0	3	0	4	3	1	2	1	0	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	591	2	10	19	11	4	19	7	12	16	8	6	15	11	28	13	7	6	18	4	2	11	10	8	4	2	10	11	7	14	12	3	4	4	5	4	7	6	20	8	2	2	2	7	2	9	12	2	3	5	2	2	3	11	9	16	2	12	26	13	5	8	3	18	3	5	7	4	9	16	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	1.Политическая партия «Аграрная партия России»	997	11	17	29	14	9	23	17	23	44	19	10	13	6	31	27	13	23	13	14	0	39	12	7	6	12	26	15	5	16	28	8	1	6	15	8	8	12	47	6	16	2	7	12	10	32	20	3	18	18	6	4	5	9	9	6	1	18	33	24	7	20	4	35	2	5	3	2	8	17	8					
		2.24%	1.79%	1.44%	2.30%	1.11%	1.55%	2.58%	3.31%	2.89%	3.35%	3.30%	1.11%	1.10%	1.20%	2.36%	2.57%	3.43%	3.33%	1.55%	2.00%	0.00%	3.53%	1.56%	1.69%	1.72%	2.02%	1.96%	1.59%	1.07%	1.75%	3.06%	3.19%	0.41%	2.37%	2.78%	2.55%	1.29%	2.03%	3.82%	1.15%	4.26%	1.26%	1.55%	3.40%	2.06%	3.15%	3.13%	3.26%	2.73%	4.63%	2.90%	2.88%	2.73%	1.22%	0.89%	0.67%	1.04%	3.02%	2.51%	2.63%	2.46%	3.38%	2.22%	3.29%	1.49%	1.67%	0.95%	0.93%	1.31%	1.62%	5.52%					
19	2.Всероссийская политическая партия «Гражданская Сила»	265	5	15	8	12	2	2	2	6	10	2	7	9	2	12	9	7	4	10	4	1	4	4	0	2	7	9	4	6	5	1	1	1	5	0	0	6	4	8	2	2	1	1	4	3	5	1	0	3	0	0	2	2	7	6	5	1	2	4	3	0	5	2	5	0	0	0	1	1	1	0					
		0.59%	0.81%	1.27%	0.63%	0.95%	0.35%	0.22%	0.39%	0.75%	0.76%	0.35%	0.78%	0.76%	0.40%	0.91%	0.86%	1.85%	0.58%	1.19%	0.57%	1.09%	0.36%	0.52%	0.00%	0.57%	1.18%	0.68%	0.42%	1.28%	0.55%	0.11%	0.40%	0.41%	1.98%	0.00%	0.00%	0.97%	0.68%	0.65%	0.38%	0.53%	0.63%	0.22%	1.13%	0.62%	0.49%	0.16%	0.00%	0.46%	0.00%	0.00%	1.44%	1.09%	0.95%	0.60%	0.56%	1.04%	0.34%	0.30%	0.33%	0.00%	0.85%	1.11%	0.47%	0.00%	0.00%	0.00%	0.47%	0.16%	0.10%	0.00%					
20	3.Политическая партия «Демократическая партия России»	61	0	3	2	3	0	1	1	1	2	0	0	2	1	1	0	0	3	0	5	0	0	2	0	1	0	1	1	0	2	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	2	0	2	0	0	1	0	3	1	0	0	1	1	1	0	3	2	2					
