Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Краснознаменская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111					
1	"Число избирателей, внесенных в списки избирателей"	27085	2665	2464	2615	2560	2426	2638	2961	2899	2709	3148					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24000	2300	2200	2300	2300	2200	2300	2700	2500	2500	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16966	1667	1581	1624	1593	1557	1754	1771	1841	1705	1873					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	187	19	9	31	17	11	28	20	28	12	12					
6	Число погашенных избирательных бюллетеней	6847	614	610	645	690	632	518	909	631	783	815					
7	Число избирательных бюллетеней в переносных ящиках для голосования	186	19	9	31	17	11	28	19	28	12	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16914	1662	1577	1623	1589	1557	1732	1769	1836	1702	1867					
9	Число недействительных избирательных бюллетеней	325	27	24	30	31	41	24	34	37	34	43					
10	Число действительных избирательных бюллетеней	16775	1654	1562	1624	1575	1527	1736	1754	1827	1680	1836					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	667	60	60	60	60	75	112	60	60	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	543	52	30	43	45	74	103	60	51	25	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	215	15	14	27	30	20	16	22	18	41	12					
14	Число погашенных неиспользованных открепительных удостоверений	124	8	30	17	15	1	9	0	9	35	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	2	1	3	2	3	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	562	44	46	56	70	45	76	52	61	60	52					
		3.29%	2.62%	2.90%	3.39%	4.36%	2.87%	4.32%	2.91%	3.27%	3.50%	2.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	469	51	67	36	32	37	47	51	42	52	54					
		2.74%	3.03%	4.22%	2.18%	1.99%	2.36%	2.67%	2.85%	2.25%	3.03%	2.87%					
20	3.Политическая партия «Демократическая партия России»	36	4	0	4	5	5	5	3	4	4	2					
		0.21%	0.24%	0.00%	0.24%	0.31%	0.32%	0.28%	0.17%	0.21%	0.23%	0.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2678	257	276	248	269	282	272	290	246	258	280					
		15.66%	15.29%	17.40%	14.99%	16.75%	17.98%	15.45%	16.22%	13.20%	15.05%	14.90%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	259	46	16	27	31	19	20	25	20	27	28					
		1.51%	2.74%	1.01%	1.63%	1.93%	1.21%	1.14%	1.40%	1.07%	1.58%	1.49%					
23	6.Политическая партия «Партия социальной справедливости»	67	5	11	9	7	5	9	8	4	6	3					
		0.39%	0.30%	0.69%	0.54%	0.44%	0.32%	0.51%	0.45%	0.21%	0.35%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	1526	152	157	153	110	119	163	153	201	147	171					
		8.92%	9.04%	9.90%	9.25%	6.85%	7.59%	9.26%	8.56%	10.78%	8.58%	9.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1493	160	116	142	136	168	131	172	151	163	154					
		8.73%	9.52%	7.31%	8.59%	8.47%	10.71%	7.44%	9.62%	8.10%	9.51%	8.20%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	421	45	29	27	49	29	48	54	31	49	60					
		2.46%	2.68%	1.83%	1.63%	3.05%	1.85%	2.73%	3.02%	1.66%	2.86%	3.19%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8679	839	785	875	798	754	922	882	1023	833	968					
		50.75%	49.91%	49.50%	52.90%	49.69%	48.09%	52.39%	49.33%	54.88%	48.60%	51.52%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	585	51	59	47	68	64	43	64	44	81	64					
		3.42%	3.03%	3.72%	2.84%	4.23%	4.08%	2.44%	3.58%	2.36%	4.73%	3.41%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
