Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Рыбинск, Волжская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №895									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81656	793	1719	1834	1737	1451	1439	1417	1627	1532	1519	1634	1533	1841	1495	1391	1477	1694	1965	1771	1778	1685	1518	1665	1459	1209	1114	1713	1265	1412	1555	1687	1690	2000	1659	1648	1513	1578	1474	1508	1531	1581	1331	1795	1297	1325	1099	1473	1583	1226	1887	1542	1597	1284	106									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80156	750	1700	1800	1700	1400	1400	1400	1600	1500	1500	1600	1500	1800	1500	1300	1500	1700	1900	1700	1700	1700	1500	1600	1400	1200	1100	1700	1200	1400	1500	1700	1700	2000	1600	1600	1500	1600	1500	1500	1500	1600	1300	1700	1300	1300	1100	1400	1600	1200	1900	1500	1500	1200	106									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30053	301	679	727	625	624	582	628	590	539	479	562	486	645	515	468	481	600	675	609	665	629	627	631	550	456	417	635	415	465	659	686	564	673	655	531	565	621	533	569	540	574	527	710	495	593	461	646	629	444	646	456	489	471	11									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	595	10	24	7	8	2	6	4	5	10	7	8	6	27	10	12	5	14	7	8	12	5	14	6	17	4	9	14	8	8	8	8	5	9	13	14	4	16	11	17	13	10	16	4	8	5	8	7	9	8	9	8	8	5	95									
6	Число погашенных избирательных бюллетеней	49508	439	997	1066	1067	774	812	768	1005	951	1014	1030	1008	1128	975	820	1014	1086	1218	1083	1023	1066	859	963	833	740	674	1051	777	927	833	1006	1131	1318	932	1055	931	963	956	914	947	1016	757	986	797	702	631	747	962	748	1245	1036	1003	724	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	595	10	24	7	8	2	6	4	5	10	7	8	6	27	10	12	5	14	7	8	12	5	14	6	17	4	9	14	8	8	8	8	5	9	13	14	4	16	11	17	13	10	16	4	8	5	8	7	9	8	9	8	8	5	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30035	301	678	727	625	624	581	628	589	539	479	562	486	645	515	466	481	599	674	609	665	624	627	631	550	456	417	635	415	465	658	686	563	673	655	531	565	621	533	567	540	574	527	710	494	593	461	646	628	444	646	456	489	471	11									
9	Число недействительных избирательных бюллетеней	494	3	15	15	17	10	15	9	14	6	7	8	9	22	5	6	10	12	11	11	10	10	8	7	5	5	8	6	6	9	9	8	4	7	11	5	11	7	11	12	11	10	8	7	6	9	9	13	8	7	11	8	9	12	2									
10	Число действительных избирательных бюллетеней	30136	308	687	719	616	616	572	623	580	543	479	562	483	650	520	472	476	601	670	606	667	619	633	630	562	455	418	643	417	464	657	686	564	675	657	540	558	630	533	572	542	574	535	707	496	589	460	640	629	445	644	456	488	464	104									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1300	10	30	35	30	20	20	20	30	30	30	20	20	30	20	20	20	30	35	30	30	30	20	30	20	20	20	30	20	20	30	30	30	35	30	30	20	20	20	20	20	30	20	30	20	20	20	20	20	20	35	20	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	509	1	19	10	7	8	6	14	4	13	13	5	12	5	6	6	7	10	12	6	16	7	13	10	8	9	9	15	5	11	14	10	5	7	13	11	10	10	11	10	14	14	10	11	13	13	12	9	7	6	15	8	7	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	334	4	5	5	5	8	4	8	1	9	2	4	5	12	0	9	5	3	12	6	6	6	7	8	7	4	3	3	7	9	10	9	2	0	4	5	5	5	3	5	10	8	12	10	9	10	9	3	2	8	5	7	9	7	10									
14	Число погашенных неиспользованных открепительных удостоверений	791	9	11	25	23	12	14	6	26	17	17	15	8	25	14	14	13	20	23	24	14	23	7	20	12	11	11	15	15	9	16	20	25	28	17	19	10	10	9	10	6	16	10	19	7	7	8	11	13	14	20	12	13	18	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	1	0	0	1	0	1	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	1	2	2	0	0	0	2	0	0	0	0	3	0	0	1	0	0	1	1	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	881	6	23	22	18	15	16	9	17	17	14	24	9	20	11	26	16	18	22	20	19	15	15	22	17	16	8	15	8	11	19	12	22	21	16	23	16	24	19	26	11	13	8	25	11	13	8	20	17	17	27	11	14	17	2									
		2.88%	1.93%	3.28%	2.99%	2.84%	2.40%	2.73%	1.42%	2.86%	3.10%	2.88%	4.21%	1.83%	2.98%	2.10%	5.44%	3.29%	2.94%	3.23%	3.24%	2.81%	2.38%	2.34%	3.45%	2.99%	3.48%	1.88%	2.31%	1.89%	2.33%	2.85%	1.73%	3.87%	3.08%	2.40%	4.22%	2.81%	3.77%	3.49%	4.45%	1.99%	2.23%	1.47%	3.50%	2.19%	2.17%	1.71%	3.06%	2.67%	3.76%	4.12%	2.37%	2.82%	3.57%	1.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	472	4	7	15	7	8	12	15	14	10	6	14	7	5	8	9	11	8	15	10	9	4	14	7	14	5	3	15	6	10	7	13	7	16	12	5	2	15	6	13	11	8	9	8	9	7	6	9	3	10	5	7	6	5	1									
		1.54%	1.29%	0.99%	2.04%	1.11%	1.28%	2.04%	2.37%	2.36%	1.82%	1.23%	2.46%	1.42%	0.74%	1.52%	1.88%	2.26%	1.31%	2.20%	1.62%	1.33%	0.64%	2.18%	1.10%	2.47%	1.09%	0.70%	2.31%	1.42%	2.11%	1.05%	1.87%	1.23%	2.35%	1.80%	0.92%	0.35%	2.35%	1.10%	2.23%	1.99%	1.37%	1.66%	1.12%	1.79%	1.17%	1.28%	1.38%	0.47%	2.21%	0.76%	1.51%	1.21%	1.05%	0.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	660	5	13	11	15	9	18	9	18	4	18	11	10	17	18	10	14	11	16	19	13	18	10	14	9	8	9	11	9	12	13	13	8	21	16	13	18	14	18	17	19	14	6	17	7	8	7	7	9	11	13	6	13	11	2									
		2.15%	1.61%	1.85%	1.50%	2.37%	1.44%	3.07%	1.42%	3.03%	0.73%	3.70%	1.93%	2.03%	2.53%	3.43%	2.09%	2.88%	1.79%	2.35%	3.08%	1.92%	2.86%	1.56%	2.20%	1.59%	1.74%	2.11%	1.69%	2.13%	2.54%	1.95%	1.87%	1.41%	3.08%	2.40%	2.39%	3.16%	2.20%	3.31%	2.91%	3.44%	2.40%	1.10%	2.38%	1.39%	1.34%	1.49%	1.07%	1.41%	2.43%	1.98%	1.29%	2.62%	2.31%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11431	125	247	271	230	239	213	225	237	210	196	224	179	255	190	156	183	261	265	218	285	226	234	236	174	168	160	240	166	170	176	257	196	230	202	220	201	244	192	211	209	233	208	262	184	293	174	273	289	177	263	168	193	151	42									
		37.32%	40.19%	35.19%	36.92%	36.33%	38.18%	36.29%	35.60%	39.90%	38.25%	40.33%	39.30%	36.38%	37.95%	36.19%	32.64%	37.65%	42.58%	38.91%	35.33%	42.10%	35.93%	36.51%	37.05%	30.69%	36.52%	37.56%	36.98%	39.24%	35.94%	26.43%	37.03%	34.51%	33.72%	30.24%	40.37%	35.33%	38.30%	35.29%	36.13%	37.79%	39.90%	38.31%	36.69%	36.65%	48.99%	37.10%	41.81%	45.37%	39.16%	40.15%	36.21%	38.83%	31.72%	39.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	562	4	17	5	10	10	7	9	7	10	1	10	7	15	9	21	13	12	10	11	12	19	9	9	13	9	5	13	11	10	10	17	11	14	16	11	11	9	11	14	11	8	10	12	11	11	8	13	8	7	10	12	9	9	1									
		1.83%	1.29%	2.42%	0.68%	1.58%	1.60%	1.19%	1.42%	1.18%	1.82%	0.21%	1.75%	1.42%	2.23%	1.71%	4.39%	2.67%	1.96%	1.47%	1.78%	1.77%	3.02%	1.40%	1.41%	2.29%	1.96%	1.17%	2.00%	2.60%	2.11%	1.50%	2.45%	1.94%	2.05%	2.40%	2.02%	1.93%	1.41%	2.02%	2.40%	1.99%	1.37%	1.84%	1.68%	2.19%	1.84%	1.71%	1.99%	1.26%	1.55%	1.53%	2.59%	1.81%	1.89%	0.94%									
24	"6. Политическая партия ""Гражданская Платформа"""	48	0	2	2	3	0	0	1	1	0	1	0	1	3	0	0	0	2	2	1	0	1	1	0	2	0	2	2	3	0	0	0	1	0	1	2	2	1	0	0	1	0	1	1	1	0	1	2	0	1	0	1	0	1	1									
		0.16%	0.00%	0.28%	0.27%	0.47%	0.00%	0.00%	0.16%	0.17%	0.00%	0.21%	0.00%	0.20%	0.45%	0.00%	0.00%	0.00%	0.33%	0.29%	0.16%	0.00%	0.16%	0.16%	0.00%	0.35%	0.00%	0.47%	0.31%	0.71%	0.00%	0.00%	0.00%	0.18%	0.00%	0.15%	0.37%	0.35%	0.16%	0.00%	0.00%	0.18%	0.00%	0.18%	0.14%	0.20%	0.00%	0.21%	0.31%	0.00%	0.22%	0.00%	0.22%	0.00%	0.21%	0.94%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4806	67	113	117	96	79	78	87	109	99	94	99	99	90	85	74	77	90	87	113	92	111	98	103	89	85	63	110	61	68	109	115	101	122	90	78	81	113	79	82	72	86	90	115	75	66	90	87	88	78	88	98	75	71	24									
		15.69%	21.54%	16.10%	15.94%	15.17%	12.62%	13.29%	13.77%	18.35%	18.03%	19.34%	17.37%	20.12%	13.39%	16.19%	15.48%	15.84%	14.68%	12.78%	18.31%	13.59%	17.65%	15.29%	16.17%	15.70%	18.48%	14.79%	16.95%	14.42%	14.38%	16.37%	16.57%	17.78%	17.89%	13.47%	14.31%	14.24%	17.74%	14.52%	14.04%	13.02%	14.73%	16.57%	16.11%	14.94%	11.04%	19.19%	13.32%	13.81%	17.26%	13.44%	21.12%	15.09%	14.92%	22.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	302	2	4	5	4	9	3	4	5	1	2	6	6	3	11	7	4	4	9	11	3	9	7	7	10	9	8	8	2	4	10	7	4	2	5	12	8	3	5	6	1	8	6	14	5	5	5	5	4	0	9	1	6	4	0									
		0.99%	0.64%	0.57%	0.68%	0.63%	1.44%	0.51%	0.63%	0.84%	0.18%	0.41%	1.05%	1.22%	0.45%	2.10%	1.46%	0.82%	0.65%	1.32%	1.78%	0.44%	1.43%	1.09%	1.10%	1.76%	1.96%	1.88%	1.23%	0.47%	0.85%	1.50%	1.01%	0.70%	0.29%	0.75%	2.20%	1.41%	0.47%	0.92%	1.03%	0.18%	1.37%	1.10%	1.96%	0.99%	0.84%	1.07%	0.77%	0.63%	0.00%	1.37%	0.22%	1.21%	0.84%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	420	2	10	9	6	6	5	11	8	5	3	6	8	4	6	10	10	7	5	9	11	13	19	12	4	4	2	8	3	2	18	6	13	6	10	10	7	5	3	5	6	11	6	13	6	18	6	11	5	8	15	6	10	8	0									
