Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Кимовская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33985	1123	2330	350	1178	1224	1194	1110	929	1299	1370	1077	704	1409	504	1657	864	1433	588	1260	1176	997	391	181	195	135	113	345	428	1595	128	222	182	192	241	320	389	712	179	190	501	284	226	375	388	1073	356	278	590									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34595	1155	2370	355	1130	1245	1225	1135	940	1325	1385	1100	705	1415	525	1705	885	1455	620	1290	1200	1015	420	190	200	130	115	355	435	1605	125	220	185	200	245	325	410	725	185	190	510	290	225	390	390	1115	350	285	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15235	406	854	157	443	460	480	523	500	504	562	482	341	586	183	632	363	615	59	492	528	328	263	93	120	75	80	243	270	473	65	108	127	118	140	220	266	353	75	116	308	247	177	227	184	493	284	196	416									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2302	31	34	7	44	23	12	20	13	23	101	46	63	23	35	53	18	25	125	27	49	50	85	39	31	34	18	32	96	67	20	68	21	55	57	56	47	166	49	30	86	5	20	83	106	100	25	45	39									
6	Число погашенных избирательных бюллетеней	17058	718	1482	191	643	762	733	592	427	798	722	572	301	806	307	1020	504	815	436	771	623	637	72	58	49	21	17	80	69	1065	40	44	37	27	48	49	97	206	61	44	116	38	28	80	100	522	41	44	145									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2302	31	34	7	44	23	12	20	13	23	101	46	63	23	35	53	18	25	125	27	49	50	85	39	31	34	18	32	96	67	20	68	21	55	57	56	47	166	49	30	86	5	20	83	106	100	25	45	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15232	406	854	157	443	460	480	523	500	504	562	482	341	586	183	632	363	615	59	489	528	328	263	93	120	75	80	243	270	473	65	108	127	118	140	220	266	353	75	116	308	247	177	227	184	493	284	196	416									
9	Число недействительных избирательных бюллетеней	508	9	14	1	13	20	9	15	5	4	12	17	14	5	5	13	39	24	4	11	18	9	17	0	25	1	7	9	1	14	1	0	9	38	15	14	13	0	0	0	0	0	4	0	9	34	6	18	12									
10	Число действительных избирательных бюллетеней	17026	428	874	163	474	463	483	528	508	523	651	511	390	604	213	672	342	616	180	505	559	369	331	132	126	108	91	266	365	526	84	176	139	135	182	262	300	519	124	146	394	252	193	310	281	559	303	223	443									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	392	11	35	5	10	15	15	10	10	10	10	11	10	15	10	11	10	11	5	13	10	10	5	5	5	0	5	5	5	10	5	5	5	5	0	5	5	9	5	5	5	5	5	8	8	10	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	392	11	35	5	10	15	15	10	10	10	10	11	10	15	10	11	10	11	5	13	10	10	5	5	5	0	5	5	5	10	5	5	5	5	0	5	5	9	5	5	5	5	5	8	8	10	5	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	157	1	5	7	4	6	4	3	3	2	8	5	5	5	3	2	1	6	2	4	3	2	0	2	2	2	7	2	2	12	4	1	0	1	2	3	0	2	2	8	1	1	1	2	8	5	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	208	10	24	5	5	4	6	9	7	8	10	12	6	12	1	13	0	8	5	10	8	2	2	0	3	0	0	0	2	9	0	0	0	1	1	2	0	0	1	0	4	3	2	2	4	3	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	8	17	4	5	5	6	5	3	5	11	7	1	9	2	8	5	9	0	6	5	4	0	0	0	0	1	3	1	12	1	0	1	0	0	0	1	4	1	0	2	2	0	1	1	5	5	4	1									
		0.98%	1.83%	1.91%	2.44%	1.03%	1.04%	1.22%	0.92%	0.58%	0.95%	1.66%	1.33%	0.25%	1.48%	0.92%	1.17%	1.31%	1.41%	0.00%	1.16%	0.87%	1.06%	0.00%	0.00%	0.00%	0.00%	1.02%	1.09%	0.27%	2.22%	1.18%	0.00%	0.68%	0.00%	0.00%	0.00%	0.32%	0.77%	0.81%	0.00%	0.51%	0.79%	0.00%	0.32%	0.34%	0.84%	1.62%	1.66%	0.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	469	14	30	3	11	16	20	16	15	20	27	15	16	22	7	25	11	20	9	20	13	13	6	2	1	3	0	5	2	10	2	3	0	1	2	0	14	8	1	4	7	6	0	10	4	21	7	1	6									
		2.67%	3.20%	3.38%	1.83%	2.26%	3.31%	4.07%	2.95%	2.92%	3.80%	4.07%	2.84%	3.96%	3.61%	3.21%	3.65%	2.89%	3.13%	4.89%	3.88%	2.25%	3.44%	1.72%	1.52%	0.66%	2.75%	0.00%	1.82%	0.55%	1.85%	2.35%	1.70%	0.00%	0.58%	1.02%	0.00%	4.47%	1.54%	0.81%	2.74%	1.78%	2.38%	0.00%	3.23%	1.38%	3.54%	2.27%	0.41%	1.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	323	4	29	3	10	17	20	14	8	8	9	14	9	12	4	17	14	14	5	18	9	7	1	1	2	1	1	3	4	14	1	3	0	1	3	0	6	8	1	0	4	2	1	7	4	4	2	0	4									
		1.84%	0.92%	3.27%	1.83%	2.05%	3.52%	4.07%	2.58%	1.56%	1.52%	1.36%	2.65%	2.23%	1.97%	1.83%	2.48%	3.67%	2.19%	2.72%	3.49%	1.56%	1.85%	0.29%	0.76%	1.32%	0.92%	1.02%	1.09%	1.09%	2.59%	1.18%	1.70%	0.00%	0.58%	1.52%	0.00%	1.92%	1.54%	0.81%	0.00%	1.02%	0.79%	0.51%	2.26%	1.38%	0.67%	0.65%	0.00%	0.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10808	220	417	121	231	216	226	313	317	282	333	280	211	295	139	351	191	290	116	239	395	193	293	103	106	92	77	206	290	342	53	139	131	130	165	235	194	391	81	124	310	200	160	236	200	399	207	196	372									
		61.64%	50.34%	46.96%	73.78%	47.43%	44.72%	45.93%	57.64%	61.79%	53.51%	50.23%	53.03%	52.23%	48.44%	63.76%	51.24%	50.13%	45.31%	63.04%	46.32%	68.46%	51.06%	84.20%	78.03%	70.20%	84.40%	78.57%	74.91%	79.23%	63.33%	62.35%	78.98%	88.51%	75.14%	83.76%	85.14%	61.98%	75.34%	65.32%	84.93%	78.68%	79.37%	81.22%	76.13%	68.97%	67.28%	66.99%	81.33%	81.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	138	4	11	1	2	3	2	7	1	6	7	7	2	6	1	4	2	8	2	7	3	5	1	0	1	2	0	2	0	5	0	6	1	0	1	0	5	5	1	0	7	0	0	2	3	1	4	0	0									
		0.79%	0.92%	1.24%	0.61%	0.41%	0.62%	0.41%	1.29%	0.19%	1.14%	1.06%	1.33%	0.50%	0.99%	0.46%	0.58%	0.52%	1.25%	1.09%	1.36%	0.52%	1.32%	0.29%	0.00%	0.66%	1.83%	0.00%	0.73%	0.00%	0.93%	0.00%	3.41%	0.68%	0.00%	0.51%	0.00%	1.60%	0.96%	0.81%	0.00%	1.78%	0.00%	0.00%	0.65%	1.03%	0.17%	1.29%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	3	0	1	1	2	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	2	1	0	0									
		0.14%	0.00%	0.34%	0.00%	0.21%	0.21%	0.41%	0.00%	0.00%	0.38%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.36%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.51%	0.40%	0.00%	0.00%	0.69%	0.34%	0.32%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1906	45	113	13	65	64	73	67	59	68	96	52	61	88	20	93	48	91	17	71	45	63	13	19	6	3	6	17	29	61	11	19	3	1	6	13	49	55	20	9	21	22	13	29	34	63	33	12	27									
		10.87%	10.30%	12.73%	7.93%	13.35%	13.25%	14.84%	12.34%	11.50%	12.90%	14.48%	9.85%	15.10%	14.45%	9.17%	13.58%	12.60%	14.22%	9.24%	13.76%	7.80%	16.67%	3.74%	14.39%	3.97%	2.75%	6.12%	6.18%	7.92%	11.30%	12.94%	10.80%	2.03%	0.58%	3.05%	4.71%	15.65%	10.60%	16.13%	6.16%	5.33%	8.73%	6.60%	9.35%	11.72%	10.62%	10.68%	4.98%	5.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	80	2	3	0	1	5	0	6	7	2	4	4	3	8	1	7	0	7	0	8	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1									
		0.46%	0.46%	0.34%	0.00%	0.21%	1.04%	0.00%	1.10%	1.36%	0.38%	0.60%	0.76%	0.74%	1.31%	0.46%	1.02%	0.00%	1.09%	0.00%	1.55%	0.00%	0.26%	0.57%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.40%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	85	5	8	0	3	4	1	4	5	1	3	3	4	4	0	6	1	6	1	7	2	0	1	0	1	0	2	1	0	2	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	2	0	0	2									
		0.48%	1.14%	0.90%	0.00%	0.62%	0.83%	0.20%	0.74%	0.97%	0.19%	0.45%	0.57%	0.99%	0.66%	0.00%	0.88%	0.26%	0.94%	0.54%	1.36%	0.35%	0.00%	0.29%	0.00%	0.66%	0.00%	2.04%	0.36%	0.00%	0.37%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.68%	0.25%	0.00%	0.00%	0.00%	0.34%	0.34%	0.00%	0.00%	0.44%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	7	0	1									
		0.14%	0.23%	0.00%	0.00%	0.00%	0.21%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.15%	0.26%	0.16%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.19%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.76%	0.00%	0.00%	0.32%	0.00%	0.00%	2.27%	0.00%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	132	2	4	0	4	3	3	5	4	5	3	5	3	6	0	12	2	11	3	6	6	6	2	0	2	1	1	1	2	4	0	0	0	0	2	0	3	1	1	1	0	2	0	0	2	3	8	1	2									
		0.75%	0.46%	0.45%	0.00%	0.82%	0.62%	0.61%	0.92%	0.78%	0.95%	0.45%	0.95%	0.74%	0.99%	0.00%	1.75%	0.52%	1.72%	1.63%	1.16%	1.04%	1.59%	0.57%	0.00%	1.32%	0.92%	1.02%	0.36%	0.55%	0.74%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.96%	0.19%	0.81%	0.68%	0.00%	0.79%	0.00%	0.00%	0.69%	0.51%	2.59%	0.41%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2376	110	208	16	110	104	108	81	69	106	119	104	71	126	33	123	52	141	24	97	63	66	9	7	5	6	3	18	32	66	15	4	2	1	2	10	26	36	14	5	28	14	18	18	19	45	15	6	21									
		13.55%	25.17%	23.42%	9.76%	22.59%	21.53%	21.95%	14.92%	13.45%	20.11%	17.95%	19.70%	17.57%	20.69%	15.14%	17.96%	13.65%	22.03%	13.04%	18.80%	10.92%	17.46%	2.59%	5.30%	3.31%	5.50%	3.06%	6.55%	8.74%	12.22%	17.65%	2.27%	1.35%	0.58%	1.02%	3.62%	8.31%	6.94%	11.29%	3.42%	7.11%	5.56%	9.14%	5.81%	6.55%	7.59%	4.85%	2.49%	4.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	0	3	0	3	2	0	2	1	3	1	2	2	1	0	5	1	2	0	1	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	3	1	0	1									
		0.28%	0.00%	0.34%	0.00%	0.62%	0.41%	0.00%	0.37%	0.19%	0.57%	0.15%	0.38%	0.50%	0.16%	0.00%	0.73%	0.26%	0.31%	0.00%	0.19%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.40%	0.00%	0.65%	0.34%	0.51%	0.32%	0.00%	0.22%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	440	13	28	2	28	22	21	8	19	15	36	18	6	27	6	20	14	16	3	24	13	10	2	0	2	0	0	6	0	9	0	1	0	1	1	4	1	8	4	0	6	1	1	4	10	9	13	3	5									
