Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Завьяловская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758					
1	"Число избирателей, внесенных в списки избирателей"	45000	1353	405	234	81	87	265	96	2318	932	333	125	183	1981	1738	1391	596	1310	834	1914	363	1196	1213	263	236	186	193	682	644	208	825	200	2657	1933	543	2364	895	1326	284	175	157	895	731	254	605	877	317	1015	2297	664	825	79	59	1221	467	179	359	1380	57					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42200	1300	400	250	100	100	250	100	2150	900	350	150	200	1750	1600	1200	600	1200	800	1850	350	1100	1100	250	250	200	200	650	650	200	750	200	2500	1900	550	2200	800	1200	300	200	150	800	700	250	550	850	350	900	1900	650	800	100	50	1000	450	150	350	1300	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	26456	734	226	148	53	52	155	57	1496	505	186	80	76	1295	935	749	305	641	446	1375	211	606	673	140	130	113	102	383	395	120	519	140	1730	1207	317	1327	606	741	182	96	84	610	474	210	395	569	198	517	1172	376	398	62	47	668	232	78	194	876	44					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1158	12	3	7	6	7	13	9	29	44	17	11	43	16	6	9	18	1	2	10	17	42	18	3	1	0	4	42	33	0	21	8	20	24	13	72	49	41	13	27	16	40	42	4	27	20	28	61	20	9	10	3	3	109	9	10	8	16	12					
6	Число погашенных избирательных бюллетеней	14586	554	171	95	41	41	82	34	625	351	147	59	81	439	659	442	277	558	352	465	122	452	409	107	119	87	94	225	222	80	210	52	750	669	220	801	145	418	105	77	50	150	184	36	128	261	124	322	708	265	392	35	0	223	209	62	148	408	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1157	12	3	7	6	7	13	9	29	44	17	11	43	16	6	9	18	1	2	10	17	42	18	3	1	0	4	42	33	0	21	8	20	24	13	72	49	41	13	27	16	40	41	4	27	20	28	61	20	9	10	3	3	109	9	10	8	16	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26429	734	226	148	53	52	155	57	1495	505	186	80	76	1294	921	749	305	641	446	1375	211	606	673	139	130	113	102	383	395	120	519	140	1729	1207	317	1324	606	741	182	96	84	608	473	210	395	569	198	517	1172	375	398	62	47	668	232	78	194	874	44					
9	Число недействительных избирательных бюллетеней	515	11	6	2	2	2	2	1	24	9	6	4	1	25	9	12	16	11	13	25	7	7	18	4	4	5	3	19	6	3	9	9	29	18	4	24	10	15	4	2	1	12	4	6	14	7	4	9	16	4	5	1	0	18	9	0	1	20	3					
10	Число действительных избирательных бюллетеней	27071	735	223	153	57	57	166	65	1500	540	197	87	118	1285	918	746	307	631	435	1360	221	641	673	138	127	108	103	406	422	117	531	139	1720	1213	326	1372	645	767	191	121	99	636	510	208	408	582	222	569	1176	380	403	64	50	759	232	88	201	870	53					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	590	10	3	3	3	3	3	3	20	10	5	5	5	20	10	10	5	10	5	20	10	10	10	3	3	3	3	13	10	10	25	3	30	95	10	30	10	10	3	3	3	8	10	5	5	10	8	7	25	10	5	4	2	10	5	3	3	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	390	10	1	0	0	0	0	3	18	7	2	1	1	12	5	7	1	4	2	15	0	3	10	1	1	0	0	12	8	0	25	1	21	95	2	12	1	5	0	0	0	6	5	5	1	10	6	6	22	10	4	4	2	3	5	0	0	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	445	7	3	2	0	0	0	1	13	6	5	4	1	23	8	45	1	10	4	17	3	4	5	0	0	0	2	5	6	4	8	3	73	14	2	29	19	8	0	0	0	4	2	6	1	4	2	7	42	7	6	2	3	7	3	2	4	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	200	0	2	3	3	3	3	0	2	3	3	4	4	8	5	3	4	6	3	5	10	7	0	2	2	3	3	1	2	10	0	2	9	0	8	18	9	5	3	3	3	2	5	0	4	0	2	1	3	0	1	0	0	7	0	3	3	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	1.Политическая партия «Аграрная партия России»	742	33	20	14	0	15	14	2	17	14	2	0	2	52	33	18	11	22	17	45	5	37	27	1	9	2	1	7	8	3	14	1	43	22	4	28	15	17	3	0	3	18	7	3	13	27	6	4	30	5	1	0	0	9	10	2	5	19	2					
		2.69%	4.42%	8.73%	9.03%	0.00%	25.42%	8.33%	3.03%	1.12%	2.55%	0.99%	0.00%	1.68%	3.97%	3.56%	2.37%	3.41%	3.43%	3.79%	3.25%	2.19%	5.71%	3.91%	0.70%	6.87%	1.77%	0.94%	1.65%	1.87%	2.50%	2.59%	0.68%	2.46%	1.79%	1.21%	2.01%	2.29%	2.17%	1.54%	0.00%	3.00%	2.78%	1.36%	1.40%	3.08%	4.58%	2.65%	0.69%	2.52%	1.30%	0.25%	0.00%	0.00%	1.16%	4.15%	2.27%	2.48%	2.13%	3.57%					
19	2.Всероссийская политическая партия «Гражданская Сила»	193	4	0	1	0	0	1	0	12	1	2	0	2	13	5	8	2	3	3	12	1	1	4	1	0	1	0	3	2	0	1	2	19	17	5	10	6	3	0	0	1	3	3	0	1	1	1	3	11	4	2	1	0	6	1	0	3	7	0					
		0.70%	0.54%	0.00%	0.65%	0.00%	0.00%	0.60%	0.00%	0.79%	0.18%	0.99%	0.00%	1.68%	0.99%	0.54%	1.06%	0.62%	0.47%	0.67%	0.87%	0.44%	0.15%	0.58%	0.70%	0.00%	0.88%	0.00%	0.71%	0.47%	0.00%	0.19%	1.35%	1.09%	1.38%	1.52%	0.72%	0.92%	0.38%	0.00%	0.00%	1.00%	0.46%	0.58%	0.00%	0.24%	0.17%	0.44%	0.52%	0.92%	1.04%	0.49%	1.54%	0.00%	0.77%	0.41%	0.00%	1.49%	0.79%	0.00%					
20	3.Политическая партия «Демократическая партия России»	46	0	0	0	0	0	0	0	4	1	0	0	0	3	0	1	1	0	2	1	1	1	1	0	2	0	0	2	0	0	1	1	4	4	0	2	1	1	2	0	1	0	0	1	0	1	0	0	1	1	0	2	0	2	0	0	0	1	0					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.18%	0.00%	0.00%	0.00%	0.23%	0.00%	0.13%	0.31%	0.00%	0.45%	0.07%	0.44%	0.15%	0.14%	0.00%	1.53%	0.00%	0.00%	0.47%	0.00%	0.00%	0.19%	0.68%	0.23%	0.32%	0.00%	0.14%	0.15%	0.13%	1.03%	0.00%	1.00%	0.00%	0.00%	0.47%	0.00%	0.17%	0.00%	0.00%	0.08%	0.26%	0.00%	3.08%	0.00%	0.26%	0.00%	0.00%	0.00%	0.11%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2012	55	10	5	2	4	7	1	100	37	10	4	5	133	86	75	20	82	48	68	22	33	73	21	5	6	11	17	39	12	39	3	192	126	20	115	61	42	7	1	2	46	21	15	16	33	10	20	70	14	22	1	2	43	16	6	16	56	6					
		7.29%	7.37%	4.37%	3.23%	3.39%	6.78%	4.17%	1.52%	6.56%	6.74%	4.93%	4.40%	4.20%	10.15%	9.28%	9.89%	6.19%	12.77%	10.71%	4.91%	9.65%	5.09%	10.56%	14.79%	3.82%	5.31%	10.38%	4.00%	9.11%	10.00%	7.22%	2.03%	10.98%	10.24%	6.06%	8.24%	9.31%	5.37%	3.59%	0.81%	2.00%	7.10%	4.09%	7.01%	3.79%	5.60%	4.42%	3.46%	5.87%	3.65%	5.39%	1.54%	4.00%	5.53%	6.64%	6.82%	7.92%	6.29%	10.71%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	117	3	0	0	0	0	1	0	4	0	0	0	1	15	8	8	0	2	6	5	2	2	3	0	0	0	0	0	0	0	1	1	9	5	0	9	3	0	1	0	0	2	0	1	0	4	0	1	9	4	2	0	0	1	1	0	0	3	0					
