Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Завьяловская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757					
1	"Число избирателей, внесенных в список избирателей"	47835	2585	681	2002	1433	940	1025	1863	945	2176	564	980	334	173	148	1240	1576	419	251	83	277	260	197	1306	288	213	652	277	928	754	1363	196	187	291	955	1064	305	2425	835	249	635	617	250	900	222	780	784	80	2247	2070	373	427	1410	249	365	851	1665	1470					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47850	2500	650	2000	1400	950	1000	1850	950	2150	550	1000	350	200	150	1250	1600	450	250	100	300	250	200	1300	300	200	700	250	950	750	1400	200	200	300	950	1000	300	2450	800	250	650	600	250	950	200	800	800	100	2300	2100	350	400	1350	250	400	850	1600	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26798	1492	348	1161	703	517	515	1139	550	1285	312	516	185	87	85	739	834	213	149	52	161	115	90	702	139	121	395	172	574	435	786	60	91	159	460	501	160	1375	529	172	337	370	119	491	118	375	410	52	1352	1419	209	203	743	104	177	417	896	927					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1144	19	19	21	22	13	4	15	16	29	14	44	13	26	16	38	45	6	6	6	9	6	5	4	4	7	20	10	35	40	30	54	12	20	15	55	24	80	38	11	19	25	7	32	4	19	8	6	27	10	13	12	49	13	4	5	16	24					
6	Число погашенных избирательных бюллетеней	19906	989	283	817	675	420	481	696	384	836	224	440	152	87	49	473	721	231	95	42	130	129	105	594	156	72	285	68	341	275	584	86	97	121	475	444	116	995	233	67	294	205	124	427	78	406	382	42	921	671	128	185	558	133	219	428	688	549					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1144	19	19	21	22	13	4	15	16	29	14	44	13	26	16	38	45	6	6	6	9	6	5	4	4	7	20	10	35	40	30	54	12	20	15	55	24	80	38	11	19	25	7	32	4	19	8	6	27	10	13	12	49	13	4	5	16	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26782	1491	348	1161	702	517	514	1138	550	1285	312	516	185	87	85	739	831	213	149	52	161	115	90	702	140	121	394	172	574	435	786	60	91	159	460	501	160	1375	529	172	337	370	119	491	118	375	410	52	1351	1418	209	198	743	104	177	416	895	927					
9	Число недействительных избирательных бюллетеней	528	31	7	28	11	6	17	20	20	27	11	4	5	2	2	21	16	2	4	1	1	4	1	18	0	4	11	5	8	6	11	1	3	3	4	13	4	27	11	3	9	10	3	7	5	8	4	0	24	21	4	0	17	1	7	4	13	18					
10	Число действительных избирательных бюллетеней	27398	1479	360	1154	713	524	501	1133	546	1287	315	556	193	111	99	756	860	217	151	57	169	117	94	688	144	124	403	177	601	469	805	113	100	176	471	543	180	1428	556	180	347	385	123	516	117	386	414	58	1354	1407	218	210	775	116	174	417	898	933					
