Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
"Наименование Избирательной комиссии:    Пенза, Октябрьская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154					
1	"Число избирателей, внесенных в список избирателей"	149419	2801	2424	1510	2658	2568	2086	2476	2064	2895	2479	2598	2498	2443	2446	2450	414	2501	2575	2711	2345	2407	2377	2678	2727	223	220	266	1869	1942	1931	2470	2298	2387	2810	2334	1430	1628	286	2210	1686	935	2366	2495	2221	1652	2399	2424	2458	2593	2350	2132	2316	2498	2331	2669	1455	2210	1558	1748	1617	1758	1882	1841	2298	182	2383	2011	2503	1767	2037	2590	2619					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	148530	2800	2400	1400	2600	2500	2100	2400	2000	2900	2500	2600	2500	2400	2500	2400	500	2500	2600	2700	2400	2400	2400	2600	2700	300	250	300	1800	1900	1900	2500	2300	2400	2700	2300	1300	1600	280	2200	1600	1000	2300	2500	2200	2500	2400	2400	2400	2600	2300	2100	2300	2400	2300	2600	1400	2200	1700	1700	1600	1700	1900	1800	2200	400	2300	2000	2100	1700	2000	2600	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80876	1512	1281	678	1388	1389	1114	1189	1140	1509	1203	1354	1285	1335	1378	1303	295	1467	1271	1460	1566	1481	1439	1669	1576	175	220	258	822	1015	952	1311	1246	1202	1463	1189	729	860	268	1269	935	935	1339	1479	1255	1603	1465	1525	1433	1486	1148	1203	990	1456	1148	1192	641	1133	880	812	719	849	1200	925	1308	182	1052	941	857	672	1163	1213	1476					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2718	15	9	14	7	13	22	33	17	49	47	22	34	26	53	41	82	24	36	45	42	71	53	51	41	48	0	8	16	21	9	25	23	25	55	27	17	23	0	34	36	0	37	53	27	49	44	41	22	41	32	44	32	51	39	17	26	57	31	23	40	33	41	55	38	0	22	30	425	35	29	40	50					
6	Число погашенных избирательных бюллетеней	64936	1273	1110	708	1205	1098	964	1178	843	1342	1250	1224	1181	1039	1069	1056	123	1009	1293	1195	792	848	908	880	1083	77	30	34	962	864	939	1164	1031	1173	1182	1084	554	717	12	897	629	65	924	968	918	848	891	834	945	1073	1120	853	1278	893	1113	1391	733	1010	789	865	841	818	659	820	854	218	1226	1029	818	993	808	1347	974					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2718	15	9	14	7	13	22	33	17	49	47	22	34	26	53	41	82	24	36	45	42	71	53	51	41	48	0	8	16	21	9	25	23	25	55	27	17	23	0	34	36	0	37	53	27	49	44	41	22	41	32	44	32	51	39	17	26	57	31	23	40	33	41	55	38	0	22	30	425	35	29	40	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80782	1512	1281	678	1384	1389	1113	1189	1140	1508	1203	1354	1285	1335	1378	1303	295	1467	1270	1460	1524	1481	1439	1669	1576	175	220	258	822	1015	952	1311	1245	1191	1463	1189	729	860	268	1269	935	935	1339	1479	1225	1603	1465	1525	1433	1486	1148	1203	990	1456	1148	1192	641	1133	880	812	719	849	1200	925	1308	182	1049	941	857	672	1163	1213	1476					
9	Число недействительных избирательных бюллетеней	1211	25	19	4	11	24	13	18	15	25	11	20	22	19	19	19	8	18	13	23	17	18	21	16	25	2	0	3	10	15	10	18	20	9	18	11	12	15	14	22	17	91	15	12	22	19	20	17	21	15	17	12	15	21	17	20	11	12	10	8	7	15	17	4	15	0	20	14	40	18	21	23	23					
10	Число действительных избирательных бюллетеней	82289	1502	1271	688	1380	1378	1122	1204	1142	1532	1239	1356	1297	1342	1412	1325	369	1473	1293	1482	1549	1534	1471	1704	1592	221	220	263	828	1021	951	1318	1248	1207	1500	1205	734	868	254	1281	954	844	1361	1520	1230	1633	1489	1549	1434	1512	1163	1235	1007	1486	1170	1189	656	1178	901	827	752	867	1224	976	1331	182	1051	957	1242	689	1171	1230	1503					
