Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
"Наименование Избирательной комиссии:    Пенза, Октябрьская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
1	"Число избирателей, внесенных в списки избирателей"	149800	2621	2415	2649	2491	1856	1792	1971	2887	2597	2780	2595	2549	2535	2514	349	2651	2496	2759	2578	2298	2463	2563	2337	2434	2476	2405	2364	2503	2299	281	805	2449	2507	2338	2672	2491	2463	2549	2722	1997	2173	2447	2582	2430	2650	90	1167	1955	2471	244	2073	2877	72	1902	2108	2391	2388	2745	2568	413	195	2930	2375	1562	2016	2828	1826	1716	1847	2258					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	119545	2170	1935	2117	1990	1482	1409	1573	2256	2074	2167	2054	2029	2048	2013	350	2105	2005	2122	2015	1846	1982	2000	1861	1958	1947	1930	1903	2007	1798	276	800	1957	2003	1874	2092	1998	1986	2030	2174	1606	1742	1928	2053	1924	2094	77	908	1550	1998	300	1636	2225	100	1465	1670	1868	1896	2196	2054	396	250	2319	1884	1182	1628	2211	1449	1358	1459	1783					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	84423	1640	1439	1593	1478	1067	946	1200	1647	1468	1560	1395	1470	1491	1435	210	1600	1407	1591	1586	1340	1421	1457	1421	1394	1396	1365	1249	1402	1317	237	749	1365	1433	1399	1560	1475	1368	1447	1530	1136	1339	1237	1541	1326	1444	53	695	966	1264	201	1130	1137	66	807	1205	1242	1393	1550	1468	239	195	1507	1336	768	1089	1460	1026	878	1039	1138					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2734	13	9	18	16	14	17	7	25	30	35	37	38	37	36	36	28	28	50	33	39	41	22	37	19	64	25	27	33	15	11	0	16	13	25	34	27	49	40	40	48	26	27	42	28	22	0	27	26	32	27	49	688	3	52	30	59	23	26	14	46	0	28	36	33	64	41	28	50	43	32					
6	Число погашенных избирательных бюллетеней	32388	517	487	506	496	401	446	366	584	576	572	622	521	520	542	104	477	570	481	396	467	520	521	403	545	487	540	627	572	466	28	51	576	557	450	498	496	569	543	604	422	377	664	470	570	628	24	186	558	702	72	457	400	31	606	435	567	480	620	572	111	55	784	512	381	475	710	395	430	377	613					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2734	13	9	18	16	14	17	7	25	30	35	37	38	37	36	36	28	28	50	33	39	41	22	37	19	64	25	27	33	15	11	0	16	13	25	34	27	49	40	40	48	26	27	42	28	22	0	27	26	32	27	49	688	3	52	30	59	23	26	14	46	0	28	36	33	64	41	28	50	43	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	84252	1635	1437	1593	1474	1065	946	1200	1645	1409	1560	1393	1470	1479	1435	210	1598	1407	1589	1581	1340	1420	1457	1415	1394	1396	1364	1248	1402	1317	237	749	1365	1433	1399	1557	1473	1368	1443	1527	1136	1313	1237	1539	1326	1442	53	694	966	1264	201	1130	1137	66	807	1205	1242	1392	1549	1464	239	195	1504	1335	768	1089	1456	1026	876	1036	1135					
9	Число недействительных избирательных бюллетеней	1342	32	27	19	9	12	12	14	29	10	13	28	24	25	16	7	20	25	12	51	17	18	17	29	14	23	23	13	16	12	7	8	19	8	25	23	12	24	29	25	27	26	35	56	41	18	0	10	15	17	1	19	89	1	10	18	14	10	15	19	12	2	16	16	9	19	20	20	7	12	21					
10	Число действительных избирательных бюллетеней	85644	1616	1419	1592	1481	1067	951	1193	1641	1429	1582	1402	1484	1491	1455	239	1606	1410	1627	1563	1362	1443	1462	1423	1399	1437	1366	1262	1419	1320	241	741	1362	1438	1399	1568	1488	1393	1454	1542	1157	1313	1229	1525	1313	1446	53	711	977	1279	227	1160	1736	68	849	1217	1287	1405	1560	1459	273	193	1516	1355	792	1134	1477	1034	919	1067	1146					
