Выборы Президента Российской Федерации																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Пятигорская городская																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102					
1	"Число избирателей, внесенных в список"	136292	1858	2471	2608	2077	2078	1270	806	1035	2393	1755	1754	178	1985	2706	230	251	1615	1950	2234	2233	1730	1590	1974	151	1451	216	2215	1854	1787	2101	1656	2200	1871	1929	1608	2198	1607	2727	1876	1401	1970	2702	2451	2066	1643	1725	2585	2604	2105	2487	1496	1983	2515	2404	1707	1756	1261	1737	1871	2204	480	403	2344	1667	1751	2026	2420	2632	129	1735	2098	2109	2213	2841	2372	118	53					
2	Число полученных избирательных бюллетеней	130825	1800	2350	2500	2050	2000	1250	750	1050	2300	1500	1550	180	1850	2600	210	260	1600	1900	2200	2150	1750	1550	1900	140	1400	200	2150	1750	1750	2000	1600	2100	1750	1800	1550	2100	1550	2600	1700	1350	1850	2600	2350	2050	1550	1650	2450	2500	2000	2250	1450	1850	2450	2300	1600	1700	1150	1750	1800	2150	450	400	2250	1700	1700	1950	2350	2650	140	1700	1950	2050	2150	2750	2250	125	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	79953	1059	1320	1689	1341	1236	776	522	1034	1485	948	1019	149	1145	1657	139	251	906	1171	1311	1462	1175	1090	1252	136	836	148	1350	1153	1189	1199	964	1288	1090	1071	955	1086	780	1494	1178	707	1208	1513	1292	1315	905	1042	1448	1511	950	1362	849	1196	1417	1396	891	845	771	1105	974	1283	323	245	1300	962	1090	1187	1478	1611	129	1046	1158	1234	1165	1519	1304	115	53					
5	"Число избирательных бюллетеней, выданных вне помещения"	3162	59	71	13	73	78	28	21	0	53	146	66	0	108	83	0	0	52	41	57	43	51	16	43	0	41	25	38	39	62	42	53	46	48	48	27	52	54	57	36	84	23	35	36	40	28	26	32	42	35	36	30	58	44	48	39	92	30	51	46	45	8	15	59	13	19	24	48	26	0	20	34	58	72	41	52	3	0					
6	Число погашенных избирательных бюллетеней	47710	682	959	798	636	686	446	207	16	762	406	465	31	597	860	71	9	642	688	832	645	524	444	605	4	523	27	762	558	499	759	583	766	612	681	568	962	716	1049	486	559	619	1052	1022	695	617	582	970	947	1015	852	571	596	989	856	670	763	349	594	780	822	119	140	891	725	591	739	824	1013	11	634	758	758	913	1190	894	7	17					
7	Число избирательных бюллетеней в переносных ящиках	3162	59	71	13	73	78	28	21	0	53	146	66	0	108	83	0	0	52	41	57	43	51	16	43	0	41	25	38	39	62	42	53	46	48	48	27	52	54	57	36	84	23	35	36	40	28	26	32	42	35	36	30	58	44	48	39	92	30	51	46	45	8	15	59	13	19	24	48	26	0	20	34	58	72	41	52	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	79897	1058	1320	1687	1341	1236	776	522	1034	1484	948	1019	149	1145	1656	139	251	904	1171	1311	1462	1175	1090	1252	136	836	148	1349	1142	1189	1198	964	1283	1090	1070	955	1086	778	1494	1178	704	1208	1506	1292	1313	905	1042	1443	1511	950	1362	849	1196	1413	1396	891	845	770	1105	969	1283	323	245	1300	962	1090	1187	1478	1611	129	1046	1158	1234	1165	1519	1303	115	53					
9	Число недействительных избирательных бюллетеней	685	9	8	8	7	13	23	2	21	4	12	5	1	7	6	2	4	8	3	12	6	2	4	5	0	6	0	11	45	6	6	9	8	28	16	11	14	17	11	9	4	5	10	18	0	3	5	10	5	8	4	5	6	13	14	19	3	11	8	11	24	2	5	13	5	6	8	6	6	1	5	4	6	37	16	10	0	0					
10	Число действительных избирательных бюллетеней	82374	1108	1383	1692	1407	1301	781	541	1013	1533	1082	1080	148	1246	1733	137	247	948	1209	1356	1499	1224	1102	1290	136	871	173	1376	1136	1245	1234	1008	1321	1110	1102	971	1124	815	1540	1205	784	1226	1531	1310	1353	930	1063	1465	1548	977	1394	874	1248	1444	1430	911	934	789	1148	1004	1304	329	255	1346	970	1103	1203	1520	1631	128	1061	1188	1286	1200	1544	1345	118	53					
