Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    район Старое Крюково																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22531	1230	1588	1371	1141	1411	1989	1330	1500	1404	1283	1279	1570	1357	1357	1326	1395									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17200	1000	1300	1000	1000	1000	1500	1000	1200	1000	1000	1000	1200	1000	1000	1000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8394	467	543	489	444	542	769	424	561	481	542	478	555	563	534	479	523									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	414	24	55	20	14	18	18	32	12	23	33	23	22	24	28	39	29									
6	Число погашенных избирательных бюллетеней	8392	509	702	491	542	440	713	544	627	496	425	499	623	413	438	482	448									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	414	24	55	20	14	18	18	32	12	23	33	23	22	24	28	39	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8385	467	542	489	444	542	768	424	561	481	538	478	555	563	534	478	521									
9	Число недействительных избирательных бюллетеней	173	11	10	10	6	4	14	15	13	14	15	10	10	8	14	9	10									
10	Число действительных избирательных бюллетеней	8626	480	587	499	452	556	772	441	560	490	556	491	567	579	548	508	540									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	15	15	15	15	15	25	15	15	15	20	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	161	12	8	6	8	12	20	10	12	5	15	6	12	11	8	9	7									
