Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Ардатовская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41					
1	"Число избирателей, внесенных в списки избирателей"	23676	716	2072	1169	1146	2128	771	1025	950	1151	512	1519	173	196	355	328	272	698	304	100	178	179	476	516	307	253	133	167	401	562	211	790	158	341	897	258	264	278	250	104	651	717					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23718	710	2063	1163	1145	2107	772	1032	952	1153	516	1530	176	197	354	332	280	698	305	104	178	180	476	516	307	253	135	167	400	556	211	795	159	336	910	262	266	282	253	104	658	725					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21972	655	1974	1042	1118	1992	724	895	939	1115	487	1450	168	164	286	303	265	682	264	95	160	171	434	444	301	227	132	155	398	534	182	778	110	334	676	233	252	268	208	94	599	664					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1406	55	76	115	27	115	39	119	11	24	25	34	4	30	66	22	5	11	40	5	16	8	42	68	6	25	1	12	0	22	29	7	47	2	115	24	12	8	39	10	45	45					
6	Число погашенных избирательных бюллетеней	340	0	13	6	0	0	9	18	2	14	4	46	4	3	2	7	10	5	1	4	2	1	0	4	0	1	2	0	2	0	0	10	2	0	119	5	2	6	6	0	14	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1406	55	76	115	27	115	39	119	11	24	25	34	4	30	66	22	5	11	40	5	16	8	42	68	6	25	1	12	0	22	29	7	47	2	115	24	12	8	39	10	45	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21972	655	1974	1042	1118	1992	724	895	939	1115	487	1450	168	164	286	303	265	682	264	95	160	171	434	444	301	227	132	155	398	534	182	778	110	334	676	233	252	268	208	94	599	664					
9	Число недействительных избирательных бюллетеней	6	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	23372	709	2050	1157	1145	2107	762	1014	950	1139	508	1484	172	194	352	325	270	693	304	100	176	179	476	512	307	252	133	167	398	556	211	785	157	336	791	257	264	276	247	104	644	709					
