Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Гудермесская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №436	УИК №450	УИК №463									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81858	1465	2863	1600	3033	2989	1305	1842	1107	1343	1379	1835	2946	1867	1462	1596	1936	478	1799	2784	2953	2120	1006	1308	1814	1982	1021	809	2208	1588	2121	1850	2212	1768	1877	2803	1608	1283	2895	494	815	2560	1149	2088	1176	1001	1260	460									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79747	1442	2813	1549	2960	2913	1264	1793	1093	1307	1341	1777	2873	1819	1401	1566	1918	467	1739	2734	2914	2056	985	1300	1765	1922	1000	790	2140	1535	2042	1783	2146	1719	1802	2734	1560	1245	2793	475	789	2478	1126	2030	1166	973	1260	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	78180	1385	2775	1513	2924	2872	1226	1755	1037	1291	1304	1752	2828	1776	1384	1535	1867	450	1707	2690	2878	2037	950	1239	1716	1886	961	768	2117	1502	2014	1757	2104	1670	1783	2687	1526	1217	2776	466	780	2457	1082	1996	1123	954	1223	440									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	275	4	11	8	12	14	6	4	4	5	4	6	14	6	3	4	5	0	6	7	6	5	4	7	6	8	3	2	8	6	7	7	9	6	7	6	6	5	8	0	3	9	7	9	6	2	0	0									
6	Число погашенных избирательных бюллетеней	1292	53	27	28	24	27	32	34	52	11	33	19	31	37	14	27	46	17	26	37	30	14	31	54	43	28	36	20	15	27	21	19	33	43	12	41	28	23	9	9	6	12	37	25	37	17	37	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	275	4	11	8	12	14	6	4	4	5	4	6	14	6	3	4	5	0	6	7	6	5	4	7	6	8	3	2	8	6	7	7	9	6	7	6	6	5	8	0	3	9	7	9	6	2	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	78180	1385	2775	1513	2924	2872	1226	1755	1037	1291	1304	1752	2828	1776	1384	1535	1867	450	1707	2690	2878	2037	950	1239	1716	1886	961	768	2117	1502	2014	1757	2104	1670	1783	2687	1526	1217	2776	466	780	2457	1082	1996	1123	954	1223	440									
9	Число недействительных избирательных бюллетеней	29	0	1	0	1	0	1	0	1	0	1	0	0	1	1	2	0	0	1	0	0	0	1	0	1	0	1	2	0	0	0	0	1	0	2	0	2	0	1	1	1	0	1	0	2	1	0	2									
10	Число действительных избирательных бюллетеней	78426	1389	2785	1521	2935	2886	1231	1759	1040	1296	1307	1758	2842	1781	1386	1537	1872	450	1712	2697	2884	2042	953	1246	1721	1894	963	768	2125	1508	2021	1764	2112	1676	1788	2693	1530	1222	2783	465	782	2466	1088	2005	1127	955	1223	438									
