Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кочкуровская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8098	2539	527	183	276	138	397	339	226	337	445	841	1094	361	395									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8528	2695	530	191	292	175	421	348	226	344	460	871	1181	369	425									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6558	1979	439	149	238	131	304	268	187	252	378	731	904	276	322									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	661	164	35	19	19	7	32	35	23	53	30	26	102	51	65									
6	Число погашенных избирательных бюллетеней	1309	552	56	23	35	37	85	45	16	39	52	114	175	42	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	661	164	35	19	19	7	32	35	23	53	30	26	102	51	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6558	1979	439	149	238	131	304	268	187	252	378	731	904	276	322									
9	Число недействительных избирательных бюллетеней	28	5	12	0	0	0	0	0	1	0	0	6	0	0	4									
10	Число действительных избирательных бюллетеней	7191	2138	462	168	257	138	336	303	209	305	408	751	1006	327	383									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	193	36	12	12	12	12	12	12	12	12	12	12	13	12	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	91	33	12	2	1	1	6	2	3	2	6	5	13	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	17	13	2	3	2	5	1	7	5	12	7	5	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	102	3	0	10	11	11	6	10	9	10	6	7	0	7	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	10	0	0	5	0	2	0	3	0	1	2	3	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	2	2	0	1	0	0	1	1	0	3	7	9	1	0									
		0.37%	0.09%	0.42%	0.00%	0.39%	0.00%	0.00%	0.33%	0.48%	0.00%	0.74%	0.92%	0.89%	0.31%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	63	5	7	0	0	0	1	0	2	2	3	11	10	2	20									
		0.87%	0.23%	1.48%	0.00%	0.00%	0.00%	0.30%	0.00%	0.95%	0.66%	0.74%	1.45%	0.99%	0.61%	5.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	29	4	7	1	1	0	0	0	0	1	1	4	7	2	1									
		0.40%	0.19%	1.48%	0.60%	0.39%	0.00%	0.00%	0.00%	0.00%	0.33%	0.25%	0.53%	0.70%	0.61%	0.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6332	1858	349	160	232	125	300	271	187	272	349	670	915	297	347									
		87.71%	86.70%	73.63%	95.24%	90.27%	90.58%	89.29%	89.44%	89.05%	89.18%	85.54%	88.51%	90.95%	90.83%	89.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	2	3	0	2	0	0	0	0	1	0	1	3	0	0									
		0.17%	0.09%	0.63%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.13%	0.30%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	2	0	0	0	0	0	0	0	0	1	1	1	0	0									
		0.07%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.13%	0.10%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	277	68	48	5	7	7	12	11	8	12	22	28	34	7	8									
		3.84%	3.17%	10.13%	2.98%	2.72%	5.07%	3.57%	3.63%	3.81%	3.93%	5.39%	3.70%	3.38%	2.14%	2.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	5	2	0	0	0	0	0	0	0	1	0	0	1	0									
		0.12%	0.23%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.31%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.03%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	2	4	0	1	0	0	1	0	0	1	0	1	1	0									
		0.15%	0.09%	0.84%	0.00%	0.39%	0.00%	0.00%	0.33%	0.00%	0.00%	0.25%	0.00%	0.10%	0.31%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	332	151	27	2	13	4	19	14	10	11	25	23	16	15	2									
		4.60%	7.05%	5.70%	1.19%	5.06%	2.90%	5.65%	4.62%	4.76%	3.61%	6.13%	3.04%	1.59%	4.59%	0.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	0	5	0	0	0	0	0	0	0	0	0	0	0	1									
		0.08%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	84	38	8	0	0	1	4	5	1	5	2	6	10	1	3									
		1.16%	1.77%	1.69%	0.00%	0.00%	0.72%	1.19%	1.65%	0.48%	1.64%	0.49%	0.79%	0.99%	0.31%	0.78%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
