Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Кигинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №3498									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13954	357	342	163	455	127	134	196	155	396	2215	1751	1008	126	424	179	188	597	334	220	319	321	453	130	250	249	365	232	530	185	503	516	534									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14344	369	350	169	467	133	139	211	158	403	2252	1772	995	130	430	185	198	615	347	228	327	329	462	136	257	252	372	234	515	191	567	577	574									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11379	294	253	145	211	101	120	122	113	308	1977	1505	877	119	270	139	184	497	284	163	255	267	393	115	195	206	321	212	350	116	406	400	461									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	575	16	39	4	56	10	4	0	0	20	39	28	40	7	34	8	1	23	8	0	0	9	5	0	35	20	12	0	56	11	29	21	40									
6	Число погашенных избирательных бюллетеней	2390	59	58	20	200	22	15	89	45	75	236	239	78	4	126	38	13	95	55	65	72	53	64	21	27	26	39	22	109	64	132	156	73									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	575	16	39	4	56	10	4	0	0	20	39	28	40	7	34	8	1	23	8	0	0	9	5	0	35	20	12	0	56	11	29	21	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11379	294	253	145	211	101	120	122	113	308	1977	1505	877	119	270	139	184	497	284	163	255	267	393	115	195	206	321	212	350	116	406	400	461									
9	Число недействительных избирательных бюллетеней	134	7	6	0	8	1	0	0	2	3	0	0	0	0	11	0	4	13	9	8	3	7	0	0	5	0	1	0	11	5	15	15	0									
10	Число действительных избирательных бюллетеней	11820	303	286	149	259	110	124	122	111	325	2016	1533	917	126	293	147	181	507	283	155	252	269	398	115	225	226	332	212	395	122	420	406	501									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	5	3	0	5	2	2	10	2	4	15	15	15	2	5	3	5	10	2	3	3	4	2	2	2	0	0	0	5	3	2	3	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	140	5	3	0	5	2	2	10	2	4	15	15	15	2	5	3	5	10	2	3	3	4	2	2	2	0	0	0	5	3	2	3	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	0	0	0	1	0	0	0	1	1	2	3	4	0	3	1	1	0	0	0	0	1	0	0	2	0	0	0	1	1	2	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	186	1	2	1	5	1	3	0	0	4	63	24	29	0	7	0	0	8	4	3	0	2	0	0	7	0	1	0	2	2	8	9	0									
		1.56%	0.32%	0.68%	0.67%	1.87%	0.90%	2.42%	0.00%	0.00%	1.22%	3.13%	1.57%	3.16%	0.00%	2.30%	0.00%	0.00%	1.54%	1.37%	1.84%	0.00%	0.72%	0.00%	0.00%	3.04%	0.00%	0.30%	0.00%	0.49%	1.57%	1.84%	2.14%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	515	23	7	11	18	11	0	0	14	21	108	9	33	11	44	2	0	16	24	7	13	16	41	6	17	0	11	5	16	3	10	18	0									
		4.31%	7.42%	2.40%	7.38%	6.74%	9.91%	0.00%	0.00%	12.39%	6.40%	5.36%	0.59%	3.60%	8.73%	14.47%	1.36%	0.00%	3.08%	8.22%	4.29%	5.10%	5.80%	10.30%	5.22%	7.39%	0.00%	3.30%	2.36%	3.94%	2.36%	2.30%	4.28%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	285	6	3	3	10	3	0	0	0	13	95	13	0	0	9	0	5	8	4	6	5	4	5	2	4	22	0	2	26	5	20	8	4									
		2.38%	1.94%	1.03%	2.01%	3.75%	2.70%	0.00%	0.00%	0.00%	3.96%	4.71%	0.85%	0.00%	0.00%	2.96%	0.00%	2.70%	1.54%	1.37%	3.68%	1.96%	1.45%	1.26%	1.74%	1.74%	9.73%	0.00%	0.94%	6.40%	3.94%	4.60%	1.90%	0.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6903	206	177	104	112	70	64	85	46	188	603	973	577	104	181	114	169	335	114	88	174	185	279	84	128	167	241	170	193	71	211	223	467									
		57.75%	66.45%	60.62%	69.80%	41.95%	63.06%	51.61%	69.67%	40.71%	57.32%	29.91%	63.47%	62.92%	82.54%	59.54%	77.55%	91.35%	64.42%	39.04%	53.99%	68.24%	67.03%	70.10%	73.04%	55.65%	73.89%	72.37%	80.19%	47.54%	55.91%	48.51%	52.97%	93.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	3	0	0	0	0	0	0	1	0	55	26	8	0	3	0	0	6	1	5	1	2	2	1	2	0	0	1	2	1	4	2	0									
		1.05%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	2.73%	1.70%	0.87%	0.00%	0.99%	0.00%	0.00%	1.15%	0.34%	3.07%	0.39%	0.72%	0.50%	0.87%	0.87%	0.00%	0.00%	0.47%	0.49%	0.79%	0.92%	0.48%	0.00%									
