Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Адамовская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в список избирателей"	22365	1400	1718	1186	1619	101	483	35	827	203	302	748	139	205	161	275	206	393	382	226	1075	303	164	1240	59	42	828	220	290	446	562	159	734	257	1152	617	300	312	223	1238	636	600	299					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22755	1444	1731	1216	1656	99	480	36	834	206	302	784	147	224	160	275	204	404	353	229	1093	306	169	1263	60	49	849	225	320	455	600	162	734	255	1125	624	298	316	224	1284	657	607	296					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10734	564	745	602	707	46	238	20	418	106	148	453	62	147	117	106	128	203	234	104	445	181	91	485	33	28	431	128	163	182	276	80	359	113	527	275	159	163	142	542	220	369	194					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	634	15	48	24	30	11	0	0	17	0	10	31	14	13	8	22	0	0	0	0	31	0	0	30	1	0	15	0	5	19	7	0	32	13	73	13	18	14	12	45	46	17	0					
6	Число погашенных избирательных бюллетеней	11387	865	938	590	919	42	242	16	399	100	144	300	71	64	35	147	76	201	119	125	617	125	78	748	26	21	403	97	152	254	317	82	343	129	525	336	121	139	70	697	391	221	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	634	15	48	24	30	11	0	0	17	0	10	31	14	13	8	22	0	0	0	0	31	0	0	30	1	0	15	0	5	19	7	0	32	13	73	13	18	14	12	45	46	17	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10703	564	745	601	677	46	238	20	418	106	148	453	62	147	117	106	128	203	234	104	445	181	91	485	33	28	431	128	163	182	276	80	359	113	527	275	159	163	142	542	220	369	194					
9	Число недействительных избирательных бюллетеней	159	6	11	7	8	0	5	0	6	0	3	7	1	2	0	1	1	5	1	2	10	0	1	2	2	0	7	2	1	3	6	1	2	4	14	2	3	0	1	10	12	7	3					
10	Число действительных избирательных бюллетеней	11178	573	782	618	699	57	233	20	429	106	155	477	75	158	125	127	127	198	233	102	466	181	90	513	32	28	439	126	167	198	277	79	389	122	586	286	174	177	153	577	254	379	191					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	25	20	10	10	2	4	2	15	2	2	10	2	2	2	4	2	4	15	2	15	2	2	20	2	2	15	2	2	10	10	2	10	2	10	10	2	2	2	15	15	6	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	175	10	18	10	10	0	4	0	8	2	0	10	2	2	2	1	2	0	5	1	6	0	0	5	2	0	11	0	0	8	10	2	3	0	10	7	2	0	0	13	1	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	5	4	5	3	0	2	2	0	1	1	2	0	1	1	1	1	1	3	1	2	1	1	4	4	0	3	1	1	1	0	3	0	1	41	1	3	1	1	3	1	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	120	15	2	0	0	2	0	2	7	0	2	0	0	0	0	3	0	4	10	1	9	2	2	15	0	2	4	2	2	2	0	0	7	2	0	3	0	2	2	2	14	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
