Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Карталинская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
1	"Число избирателей, внесенных в списки избирателей"	37629	845	842	830	858	1024	861	1314	945	1667	550	1050	1093	1227	1019	1343	1169	1593	1687	1541	1186	561	403	1074	164	170	467	200	119	217	825	405	263	942	110	93	775	165	96	653	216	186	1105	549	244	916	357	141	162	1764	328	219	703	176	217					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35620	800	800	800	800	950	800	1200	900	1600	500	1000	1000	1100	1000	1250	1100	1500	1600	1400	1100	540	380	1000	170	170	470	200	100	200	800	400	260	900	110	90	750	170	100	600	210	170	1000	540	240	920	340	130	160	1700	310	210	690	170	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21327	443	475	476	464	489	461	745	498	861	275	636	639	707	622	750	752	932	1050	848	640	350	210	597	87	99	297	126	97	136	426	221	167	492	72	56	426	82	52	404	127	108	646	301	137	538	208	86	106	892	179	103	469	122	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1537	31	18	20	40	24	17	35	14	36	17	29	39	44	48	95	34	52	83	47	11	24	67	18	13	12	18	10	0	15	57	18	12	32	3	5	42	20	10	34	8	16	30	44	19	36	21	0	3	115	30	33	20	4	14					
6	Число погашенных избирательных бюллетеней	12757	326	307	306	296	437	322	420	388	703	208	335	322	349	330	405	314	516	467	505	449	166	103	384	70	59	155	64	3	49	317	161	81	376	35	29	282	68	38	162	75	46	324	195	84	346	111	44	51	693	101	74	201	44	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1537	31	18	20	40	24	17	35	14	36	17	29	39	44	48	95	34	52	83	47	11	24	67	18	13	12	18	10	0	15	57	18	12	32	3	5	42	20	10	34	8	16	30	44	19	36	21	0	3	115	30	33	20	4	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21327	443	475	476	464	489	461	745	498	861	275	636	639	707	622	750	752	932	1050	848	640	350	210	597	87	99	297	126	97	136	426	221	167	492	72	56	426	82	52	404	127	108	646	301	137	538	208	86	106	892	179	103	469	122	145					
9	Число недействительных избирательных бюллетеней	255	4	3	3	5	1	10	2	9	17	5	6	9	16	8	10	0	0	10	3	6	5	1	8	1	0	4	4	0	0	6	2	3	9	2	1	9	6	4	7	0	0	17	7	2	5	1	0	6	4	6	2	0	1	5					
10	Число действительных избирательных бюллетеней	22609	470	490	493	499	512	468	778	503	880	287	659	669	735	662	835	786	984	1123	892	645	369	276	607	99	111	311	132	97	151	477	237	176	515	73	60	459	96	58	431	135	124	659	338	154	569	228	86	103	1003	203	134	489	125	154					
