Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Карталинская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1713	УИК №1714					
1	"Число избирателей, внесенных в список избирателей"	37778	1446	1110	1183	2240	1819	1707	803	1931	1183	2159	2382	1465	1876	1401	593	397	1109	163	168	478	206	134	224	819	403	269	910	105	106	788	162	90	659	222	170	1091	587	251	962	313	124	169	864	881	318	228	733	167	210					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37100	1400	1100	1100	2200	1800	1650	800	1900	1150	2200	2400	1400	1900	1300	600	400	1100	150	150	500	200	100	200	850	400	250	900	100	100	800	150	100	650	200	150	1100	550	250	950	300	100	150	900	900	300	200	700	150	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16585	567	454	403	734	708	697	262	815	562	993	1081	666	791	550	319	158	509	75	78	254	90	84	110	390	166	128	394	41	57	382	62	41	427	192	116	608	308	151	425	148	65	78	344	356	120	64	395	69	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1447	36	21	9	47	23	93	11	71	59	49	30	60	20	18	31	61	22	14	9	17	21	0	14	48	18	8	63	0	6	33	12	8	44	0	18	59	42	35	49	27	4	4	56	27	30	41	38	8	33					
6	Число погашенных избирательных бюллетеней	19068	797	625	688	1419	1069	860	527	1014	529	1158	1289	674	1089	732	250	181	569	61	63	229	89	16	76	412	216	114	443	59	37	385	76	51	179	8	16	433	200	64	476	125	31	68	500	517	150	95	267	73	69					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1447	36	21	9	47	23	93	11	71	59	49	30	60	20	18	31	61	22	14	9	17	21	0	14	48	18	8	63	0	6	33	12	8	44	0	18	59	42	35	49	27	4	4	56	27	30	41	38	8	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16584	567	454	403	734	708	697	262	815	562	993	1081	666	791	550	319	158	509	75	78	253	90	84	110	390	166	128	394	41	57	382	62	41	427	192	116	608	308	151	425	148	65	78	344	356	120	64	395	69	98					
9	Число недействительных избирательных бюллетеней	314	10	8	4	10	13	15	1	18	12	26	29	17	10	9	4	4	10	2	0	5	1	3	1	13	1	3	8	0	0	3	1	1	17	3	1	11	4	2	6	0	0	1	6	7	2	1	7	3	1					
10	Число действительных избирательных бюллетеней	17717	593	467	408	771	718	775	272	868	609	1016	1082	709	801	559	346	215	521	87	87	265	110	81	123	425	183	133	449	41	63	412	73	48	454	189	133	656	346	184	468	175	69	81	394	376	148	104	426	74	130					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	247	12	5	8	5	6	7	2	18	10	19	18	14	9	6	7	4	2	1	1	6	1	1	1	12	1	1	2	1	4	5	1	1	10	1	1	7	2	2	8	2	1	1	3	2	2	2	10	1	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	217	10	5	8	5	6	7	2	11	10	19	18	14	9	6	7	4	2	0	1	5	1	0	0	12	1	0	2	0	3	5	0	0	10	0	0	7	2	0	8	2	1	0	3	1	1	0	8	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	186	7	8	2	2	2	5	3	8	3	8	58	1	3	5	1	5	4	1	1	2	0	0	1	0	1	0	6	2	1	2	0	0	5	0	1	6	13	5	1	0	0	0	4	3	3	1	2	0	0					
