Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    район Гольяново 																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977					
1	"Число избирателей, внесенных в списки избирателей"	107651	2649	2629	2418	2782	2639	2310	2494	2919	2815	2406	2104	2116	2065	2247	2154	2734	2286	2338	2152	2383	2688	2575	2501	2362	2339	2975	2684	2881	2634	2242	2319	2675	2659	2708	2937	2893	2763	2846	2731	2831	2878	2890					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	85300	2100	2100	1950	2250	2100	1800	1950	2350	2250	1950	1600	1650	1650	1800	1700	2200	1800	1800	1700	1800	2100	2000	2000	1900	1800	2300	2100	2200	2100	1700	1800	2200	2150	2250	2300	2300	2200	2300	2200	2300	2300	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	54577	1397	1234	1207	1348	1091	1108	1292	1506	1384	1101	1083	1081	1078	1094	1045	1576	1096	1285	1129	1284	1385	1357	1216	1145	1205	1550	1387	1319	1257	1199	1076	1371	1319	1806	1462	1443	1435	1419	1382	1380	1508	1537					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1881	36	32	36	49	55	49	47	69	59	43	40	61	48	53	39	41	46	30	63	38	51	41	38	37	28	49	71	38	36	55	55	61	54	48	62	26	41	50	36	30	21	19					
6	Число погашенных избирательных бюллетеней	28842	667	834	707	853	954	643	611	775	807	806	477	508	524	653	616	583	658	485	508	478	664	602	746	718	567	701	642	843	807	446	669	768	777	396	776	831	724	831	782	890	771	744					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1881	36	32	36	49	55	49	47	69	59	43	40	61	48	53	39	41	46	30	63	38	51	41	38	37	28	49	71	38	36	55	55	61	54	48	62	26	41	50	36	30	21	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53944	1393	1231	1207	1346	1085	1108	1287	1506	1380	1100	1083	1081	1072	1094	1045	1526	1094	1281	1129	1279	1385	1357	1214	1142	1205	1545	1387	1316	1254	1194	1072	1354	1316	1371	1454	1440	1409	1414	1371	1375	1505	1537					
9	Число недействительных избирательных бюллетеней	737	28	25	21	26	12	11	15	18	12	14	13	20	16	23	24	22	14	23	14	21	18	7	20	23	13	26	23	14	6	23	20	25	19	10	16	7	14	15	10	18	25	13					
10	Число действительных избирательных бюллетеней	55088	1401	1238	1222	1369	1128	1146	1319	1557	1427	1129	1110	1122	1104	1124	1060	1545	1126	1288	1178	1296	1418	1391	1232	1156	1220	1568	1435	1340	1284	1226	1107	1390	1351	1409	1500	1459	1436	1449	1397	1387	1501	1543					
