Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Приморская №28																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535					
1	"Число избирателей, внесенных в список"	136106	2624	2628	2439	2772	2663	2269	2343	2436	2071	2020	2643	2431	2860	2729	1906	2467	2762	2695	2816	2701	2772	2754	2489	2463	2566	2878	2707	2954	2738	2813	2747	2618	2157	1643	2190	2427	2121	2466	2850	2331	2464	1828	2671	2569	2712	2450	1462	1248	243	2515	2134	2095	2232	2666	2436	2611	390	421					
2	Число полученных избирательных бюллетеней	135300	2600	2600	2450	2750	2600	2200	2350	2150	2050	2050	2650	2450	2900	2650	1900	2450	2800	2750	2800	2700	2750	2750	2500	2450	2550	2900	2800	2950	2750	2800	2750	2600	2150	1600	2200	2450	2100	2500	2850	2350	2450	1800	2650	2550	2700	2350	1400	1200	250	2550	2050	2050	2200	2650	2400	2550	400	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	74384	1405	1487	1425	1522	1407	1307	1419	1324	1124	1195	1572	1289	1642	1401	1067	1315	1510	1451	1528	1413	1594	1407	1342	1374	1289	1599	1502	1635	1480	1565	1624	1483	1203	949	1223	1361	1198	1375	1533	1231	1336	1045	1296	1355	1483	1229	695	528	151	1312	1140	1206	1267	1534	1335	1305	365	32					
5	"Число избирательных бюллетеней, выданных вне помещения"	1878	24	48	36	34	45	38	25	19	30	18	49	29	37	31	20	33	43	37	23	30	30	35	26	19	20	16	16	20	30	26	26	29	5	16	18	24	34	29	15	29	23	16	20	39	11	26	37	83	3	38	7	13	10	14	13	24	0	389					
6	Число погашенных избирательных бюллетеней	59038	1171	1065	989	1194	1148	855	906	807	896	837	1029	1132	1221	1218	813	1102	1247	1262	1249	1257	1126	1308	1132	1057	1241	1285	1282	1295	1240	1209	1100	1088	942	635	959	1065	868	1096	1302	1090	1091	739	1334	1156	1206	1095	668	589	96	1200	903	831	923	1102	1052	1221	35	79					
7	Число избирательных бюллетеней в переносных ящиках	1878	24	48	36	34	45	38	25	19	30	18	49	29	37	31	20	33	43	37	23	30	30	35	26	19	20	16	16	20	30	26	26	29	5	16	18	24	34	29	15	29	23	16	20	39	11	26	37	83	3	38	7	13	10	14	13	24	0	389					
8	Число бюллетеней в стационарных ящиках для голосования	74056	1396	1483	1418	1521	1407	1306	1415	1321	1117	1194	1568	1285	1603	1398	1062	1289	1509	1446	1522	1410	1591	1407	1342	1372	1286	1595	1497	1635	1480	1561	1592	1481	1203	947	1219	1361	1194	1371	1531	1230	1335	1044	1291	1352	1478	1229	695	441	151	1311	1140	1205	1267	1519	1335	1301	365	32					
9	Число недействительных избирательных бюллетеней	541	8	14	3	7	11	9	22	9	10	6	13	10	31	14	5	7	9	6	7	48	11	2	1	7	5	2	7	9	12	11	17	5	9	3	7	13	12	1	8	10	9	6	9	8	6	12	4	3	0	30	9	6	6	3	11	5	8	5					
10	Число действительных избирательных бюллетеней	75393	1412	1517	1451	1548	1441	1335	1418	1331	1137	1206	1604	1304	1609	1415	1077	1315	1543	1477	1538	1392	1610	1440	1367	1384	1301	1609	1506	1646	1498	1576	1601	1505	1199	960	1230	1372	1216	1399	1538	1249	1349	1054	1302	1383	1483	1243	728	521	154	1319	1138	1212	1271	1530	1337	1320	357	416					
