Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Туймазинская																																																																																							
																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																							
																																																																																							
		Сумма	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360					
1	"Число избирателей, внесенных в списки"	91590	2329	2214	1938	1756	2330	2140	2052	1965	2137	2142	2178	2081	1488	1304	1839	106	1987	2124	2041	2221	2039	2054	2088	2303	1951	2160	1945	2055	2266	1997	2531	2526	2253	2835	443	627	276	718	217	569	323	622	766	1401	274	783	517	744	256	317	355	474	272	357	404	576	374	727	414	386	988	589	348	239	540	549	846	1200	459	149	262	218	142	162	646	330	192	589	315	260					
2	"Число бюллетеней, полученных участковыми комиссиями"	82005	2000	2010	1490	1520	1870	1870	1800	1710	1960	1870	1990	1820	1290	1130	1490	150	1690	1890	1800	1920	1810	1840	1740	1900	1760	1960	1700	1840	1980	1735	2080	2225	2010	2530	430	615	269	705	213	551	317	620	747	1380	250	770	482	735	260	306	357	462	255	347	386	570	373	708	481	380	940	579	348	221	503	535	805	1046	445	140	250	241	135	148	655	331	198	577	303	256					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	66391	1676	1471	1316	1261	1623	1527	1513	1455	1588	1602	1697	1459	976	892	1131	12	1412	1524	1469	1607	1483	1435	1393	1617	1432	1457	1542	1570	1751	1386	1835	2016	1702	1789	329	469	203	438	152	417	200	400	600	1095	206	651	360	639	218	271	280	351	219	206	256	420	267	465	364	272	786	438	302	176	396	376	637	893	387	114	178	212	120	128	593	260	145	449	242	192					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3260	24	15	35	44	32	8	43	48	28	28	22	16	42	51	41	78	20	60	38	18	17	27	51	66	21	49	30	32	27	73	40	11	27	114	50	76	42	126	15	60	63	66	69	37	30	72	86	33	38	30	46	11	24	73	36	38	31	84	50	53	81	61	17	0	37	60	23	103	32	10	20	6	9	10	23	25	27	20	57	24					
6	Число погашенных бюллетеней	12349	300	524	139	215	215	335	244	207	344	240	271	345	272	187	318	60	258	306	293	294	310	378	296	217	307	452	128	238	202	276	205	198	281	627	51	70	24	141	46	74	54	154	78	247	14	47	36	63	4	5	31	100	12	68	94	112	75	159	67	55	73	80	29	45	70	99	145	50	26	16	52	23	6	10	39	46	26	108	4	39					
7	Число бюллетеней в переносных ящиках для голосования	3260	24	15	35	44	32	8	43	48	28	28	22	16	42	51	41	78	20	60	38	18	17	27	51	66	21	49	30	32	27	73	40	11	27	114	50	76	42	126	15	60	63	66	69	37	30	72	86	33	38	30	46	11	24	73	36	38	31	84	50	53	81	61	17	0	37	60	23	103	32	10	20	6	9	10	23	25	27	20	57	24					
8	Число бюллетеней в стационарных ящиках для голосования	66240	1676	1471	1316	1261	1623	1527	1430	1454	1586	1602	1697	1443	976	892	1131	12	1410	1515	1469	1607	1481	1435	1393	1617	1432	1457	1540	1569	1751	1386	1803	2016	1701	1789	329	469	203	438	152	417	200	400	600	1095	206	651	360	639	218	271	280	351	219	206	256	420	267	465	364	272	786	438	302	176	396	376	637	893	387	114	178	212	120	128	593	260	145	449	242	192					
9	Число недействительных бюллетеней	2409	38	36	22	27	45	35	52	25	24	26	44	43	23	27	7	1	36	35	48	60	47	22	49	0	24	55	41	48	53	72	19	43	38	22	19	39	16	24	19	33	20	33	42	68	4	30	15	2	23	17	27	32	23	28	13	31	29	125	47	18	41	12	23	14	30	33	46	74	34	7	12	12	5	11	11	26	5	19	16	14					
10	Число действительных бюллетеней	67091	1662	1450	1329	1278	1610	1500	1421	1477	1590	1604	1675	1416	995	916	1165	89	1394	1540	1459	1565	1451	1440	1395	1683	1429	1451	1529	1553	1725	1387	1824	1984	1690	1881	360	506	229	540	148	444	243	433	627	1064	232	693	431	670	233	284	299	330	220	251	279	427	269	424	367	307	826	487	296	162	403	403	614	922	385	117	186	206	124	127	605	259	167	450	283	202					
