Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Золотухинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18532	482	125	243	267	339	379	756	954	183	237	335	313	318	269	276	309	520	329	368	241	457	1101	878	872	1027	549	172	1103	1111	501	1055	1008	714	472	269									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15725	400	110	210	230	290	320	650	820	150	200	280	260	270	230	230	260	450	280	300	210	400	950	750	750	850	470	150	900	900	430	900	900	600	400	225									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6519	133	49	110	71	114	144	202	368	57	75	147	61	96	110	73	145	144	102	77	90	153	447	428	324	359	236	56	403	380	133	327	361	291	185	68									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2181	97	25	31	111	97	55	110	83	44	58	63	116	119	54	121	32	85	59	69	40	116	51	24	16	45	78	28	53	34	83	9	5	64	36	70									
6	Число погашенных избирательных бюллетеней	7025	170	36	69	48	79	121	338	369	49	67	70	83	55	66	36	83	221	119	154	80	131	452	298	410	446	156	66	444	486	214	564	534	245	179	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2181	97	25	31	111	97	55	110	83	44	58	63	116	119	54	121	32	85	59	69	40	116	51	24	16	45	78	28	53	34	83	9	5	64	36	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6519	133	49	110	71	114	144	202	368	57	75	147	61	96	110	73	145	144	102	77	90	153	447	428	324	359	236	56	403	380	133	327	361	291	185	68									
9	Число недействительных избирательных бюллетеней	203	9	0	3	0	4	6	9	12	2	1	11	1	8	0	1	2	11	2	2	3	4	12	9	7	10	12	1	10	8	5	11	10	8	7	2									
10	Число действительных избирательных бюллетеней	8497	221	74	138	182	207	193	303	439	99	132	199	176	207	164	193	175	218	159	144	127	265	486	443	333	394	302	83	446	406	211	325	356	347	214	136									
