Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Радужная городская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
1	"Число избирателей, внесенных в списки"	14327	2405	2419	2413	2342	2416	2332					
2	"Число бюллетеней, полученных участковыми комиссиями"	14000	2250	2375	2385	2310	2385	2295					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7374	1287	1228	1215	1197	1225	1222					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	124	22	19	14	21	30	18					
6	Число погашенных бюллетеней	6502	941	1128	1156	1092	1130	1055					
7	Число бюллетеней в переносных ящиках для голосования	124	22	19	14	21	30	18					
8	Число бюллетеней в стационарных ящиках для голосования	7366	1285	1227	1215	1192	1225	1222					
9	Число недействительных бюллетеней	77	15	12	13	14	18	5					
10	Число действительных бюллетеней	7413	1292	1234	1216	1199	1237	1235					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	165	27	27	27	28	28	28					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	12	8	5	10	8	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	5	2	0	3	3	9					
14	Число погашенных открепительных удостоверений	111	15	19	22	18	20	17					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	52	16	11	5	8	10	2					
		0.69%	1.22%	0.88%	0.40%	0.65%	0.79%	0.16%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	269	54	52	43	44	34	42					
		3.59%	4.13%	4.17%	3.49%	3.62%	2.70%	3.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	696	128	96	105	120	122	125					
		9.29%	9.79%	7.70%	8.54%	9.89%	9.72%	10.08%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	435	76	72	79	62	80	66					
		5.80%	5.81%	5.77%	6.42%	5.11%	6.37%	5.32%					
22	"5. ""За Русь Святую"""	36	7	4	7	5	11	2					
		0.48%	0.53%	0.32%	0.56%	0.41%	0.87%	0.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	8	1	3	6	2	0					
		0.26%	0.61%	0.08%	0.24%	0.49%	0.15%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	86	16	13	18	16	12	11					
		1.14%	1.22%	1.04%	1.46%	1.31%	0.95%	0.88%					
25	"8. ""Народно-республиканская партия России"""	6	3	1	2	0	0	0					
		0.08%	0.22%	0.08%	0.16%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	217	40	28	33	49	41	26					
		2.89%	3.06%	2.24%	2.68%	4.03%	3.26%	2.09%					
27	"10. ""Аграрная партия России"""	184	45	32	21	33	21	32					
		2.45%	3.44%	2.56%	1.70%	2.72%	1.67%	2.58%					
28	"11. ""Истинные патриоты России"""	3	0	1	0	1	1	0					
		0.04%	0.0%	0.08%	0.0%	0.08%	0.07%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	91	14	13	10	15	20	19					
		1.21%	1.07%	1.04%	0.81%	1.23%	1.59%	1.53%					
30	"13. ""Демократическая партия России"""	7	2	1	1	1	0	2					
		0.09%	0.15%	0.08%	0.08%	0.08%	0.0%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	5	3	5	6	1	4					
		0.32%	0.38%	0.24%	0.40%	0.49%	0.07%	0.32%					
32	"15. ""Партия СЛОН"""	18	6	3	2	1	4	2					
		0.24%	0.45%	0.24%	0.16%	0.08%	0.31%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	886	120	129	173	142	128	194					
		11.82%	9.18%	10.35%	14.07%	11.70%	10.19%	15.64%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	0	0	4	2	5	3					
		0.18%	0.0%	0.0%	0.32%	0.16%	0.39%	0.24%					
35	"18. ""ЛДПР"""	902	160	138	149	152	163	140					
		12.04%	12.24%	11.07%	12.12%	12.53%	12.98%	11.29%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	107	29	18	16	16	18	10					
		1.42%	2.21%	1.44%	1.30%	1.31%	1.43%	0.80%					
37	"20. ""Политическая партия ""Единая Россия"""	2095	352	388	332	306	376	341					
		27.97%	26.93%	31.13%	27.01%	25.22%	29.96%	27.5%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	2	1	1	0	1	1					
		0.08%	0.15%	0.08%	0.08%	0.0%	0.07%	0.08%					
39	"22. ""Развитие предпринимательства"""	36	4	8	3	6	10	5					
		0.48%	0.30%	0.64%	0.24%	0.49%	0.79%	0.40%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	662	101	123	98	123	87	130					
		8.83%	7.72%	9.87%	7.97%	10.14%	6.93%	10.48%					
													
41	Против всех	561	104	98	106	85	90	78					
		7.48%	7.95%	7.86%	8.62%	7.00%	7.17%	6.29%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
