Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Тунгусско-Чунская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263					
1	"Число избирателей, внесенных в списки избирателей"	2900	1148	807	683	44	148	53	17					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2737	1062	759	639	46	157	55	19					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1555	616	375	357	37	101	53	16					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	160	66	77	16	0	1	0	0					
6	Число погашенных избирательных бюллетеней	1022	380	307	266	9	55	2	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	160	66	77	16	0	1	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1555	616	375	357	37	101	53	16					
9	Число недействительных избирательных бюллетеней	11	5	2	2	0	1	1	0					
10	Число действительных избирательных бюллетеней	1704	677	450	371	37	101	52	16					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	98	40	20	20	5	5	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	17	4	7	3	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	10	5	0	0	1	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	81	36	13	17	5	2	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	30	15	5	7	0	1	1	1					
		1.75%	2.20%	1.11%	1.88%	0.00%	0.98%	1.89%	6.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	3	2	1	0	0	0	0					
		0.35%	0.44%	0.44%	0.27%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	3	1	0	2	0	0	0	0					
		0.17%	0.15%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	131	73	24	28	0	3	3	0					
		7.64%	10.70%	5.31%	7.51%	0.00%	2.94%	5.66%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	3	1	2	0	0	1	0					
		0.41%	0.44%	0.22%	0.54%	0.00%	0.00%	1.89%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	1	0	0	0	0					
		0.06%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	135	55	26	36	3	12	2	1					
		7.87%	8.06%	5.75%	9.65%	8.11%	11.76%	3.77%	6.25%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	115	48	21	29	4	12	0	1					
		6.71%	7.04%	4.65%	7.77%	10.81%	11.76%	0.00%	6.25%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	6	3	3	0	0	0	0	0					
		0.35%	0.44%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1258	475	364	260	30	71	45	13					
		73.35%	69.65%	80.53%	69.71%	81.08%	69.61%	84.91%	81.25%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	1	4	5	0	2	0	0					
		0.70%	0.15%	0.88%	1.34%	0.00%	1.96%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
