Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Тасеевская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953					
1	"Число избирателей, внесенных в списки"	10872	812	985	736	1475	726	861	818	61	675	83	59	128	56	46	374	139	109	109	300	207	302	86	64	404	207	98	71	120	58	529	174					
2	"Число бюллетеней, полученных участковыми комиссиями"	11168	830	1010	760	1478	750	870	830	70	680	90	70	140	60	60	380	150	120	120	300	210	310	90	70	420	210	100	70	130	60	550	180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4832	295	390	279	574	202	350	301	46	330	67	45	100	45	40	201	71	63	57	162	110	184	58	59	158	106	57	57	82	48	201	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	437	60	24	44	79	46	32	26	0	40	0	0	0	0	0	15	0	0	6	9	0	5	3	0	9	0	0	0	0	0	20	19					
6	Число погашенных бюллетеней	5858	475	596	437	825	502	488	503	24	310	23	25	40	15	20	164	79	57	57	129	100	121	29	11	212	104	43	13	48	12	329	67					
7	Число бюллетеней в переносных ящиках для голосования	478	60	24	44	79	46	32	26	0	40	0	0	0	0	0	15	0	0	6	9	0	5	3	0	50	0	0	0	0	0	20	19					
8	Число бюллетеней в стационарных ящиках для голосования	4829	294	390	279	574	202	349	301	46	330	67	45	100	45	40	201	71	63	57	162	110	183	58	59	158	106	57	57	82	48	201	94					
9	Число недействительных бюллетеней	102	12	6	3	10	3	7	4	2	9	3	3	1	0	0	3	2	2	1	6	1	7	0	0	0	1	3	0	7	0	6	0					
10	Число действительных бюллетеней	5205	342	408	320	643	245	374	323	44	361	64	42	99	45	40	213	69	61	62	165	109	181	61	59	208	105	54	57	75	48	215	113					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	4	1	0	4	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	83	0	3	4	0	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	2	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
