Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Звенигородская городская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК  5004	УИК  5005	УИК  5109	УИК  5110	УИК  5111	УИК  5112	УИК  5116	УИК  5117	УИК  5118	УИК  5119	УИК  5120	УИК  5121	УИК  5122	УИК  5123	УИК  5124	УИК  5125	УИК  5134	УИК  5224	УИК  5225					
1	"Число избирателей, внесенных в списки"	25409	839	800	795	941	1253	1256	958	637	588	1465	1288	1356	184	833	2086	137	1097	1043	65	20	206	548	304	193	703	101	245	149	630	2165	1275	463	786					
2	"Число бюллетеней, полученных участковыми комиссиями"	46961	720	690	690	820	1110	1070	850	370	520	1300	1130	1260	160	670	1800	200	898	900	270	30	3000	7000	3000	1500	3000	1500	2700	300	1000	2500	2003	2000	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	310					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14236	444	371	339	430	594	650	386	342	271	672	530	734	100	341	951	22	421	165	65	17	206	547	304	189	702	100	236	149	630	1827	743	463	295					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	410	29	140	10	9	12	20	19	8	11	17	7	12	3	14	0	0	0	83	0	0	0	1	0	4	1	1	9	0	0	0	0	0	0					
6	Число погашенных бюллетеней	31852	247	179	341	381	504	400	445	20	238	611	593	514	57	315	849	178	477	652	205	13	2794	6452	2696	1307	2297	1399	2455	151	370	520	1260	1537	1395					
7	Число бюллетеней в переносных ящиках для голосования	871	29	140	10	9	12	20	19	8	11	17	7	12	3	14	0	0	0	83	0	0	0	1	0	4	1	1	9	0	0	151	0	0	310					
8	Число бюллетеней в стационарных ящиках для голосования	14231	444	371	339	430	594	650	386	342	271	672	530	734	100	341	951	22	421	165	65	17	205	547	303	189	702	100	236	149	630	1825	743	463	294					
9	Число недействительных бюллетеней	145	11	26	6	2	5	11	5	1	3	3	12	11	5	2	2	0	2	0	0	0	1	1	0	1	8	0	2	0	1	9	7	2	6					
10	Число действительных бюллетеней	14957	462	485	343	437	601	659	400	349	279	686	525	735	98	353	949	22	419	248	65	17	204	547	303	192	695	101	243	149	629	1967	736	461	598					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	746	18	18	18	18	18	18	18	18	18	18	18	18	18	18	13	0	12	4	2	2	100	210	0	0	0	10	50	0	30	50	5	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	2	1	2	3	10	1	7	1	1	7	2	8	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	456	15	5	24	12	4	0	8	186	3	6	10	11	4	5	37	0	12	9	1	0	5	74	0	1	0	4	2	0	1	1	8	8	0					
14	Число погашенных открепительных удостоверений	695	16	17	16	15	8	17	11	17	17	11	16	10	17	16	13	0	9	4	2	2	100	210	0	0	0	10	50	0	30	50	5	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	155	3	8	1	4	7	2	2	0	2	5	4	6	1	6	7	1	4	8	2	0	7	4	1	2	6	1	6	3	7	19	3	4	19					
		1.02%	0.63%	1.56%	0.28%	0.91%	1.15%	0.29%	0.49%	0.0%	0.70%	0.72%	0.74%	0.80%	0.97%	1.69%	0.73%	4.54%	0.95%	3.22%	3.07%	0.0%	3.41%	0.72%	0.33%	1.03%	0.85%	0.99%	2.44%	2.01%	1.11%	0.96%	0.40%	0.86%	3.14%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	767	20	17	8	17	20	24	20	12	11	32	13	20	1	4	95	2	49	31	3	1	7	51	16	8	13	4	16	2	12	60	153	16	9					
		5.07%	4.22%	3.32%	2.29%	3.87%	3.30%	3.58%	4.93%	3.42%	3.90%	4.64%	2.42%	2.68%	0.97%	1.12%	9.98%	9.09%	11.63%	12.5%	4.61%	5.88%	3.41%	9.30%	5.28%	4.14%	1.84%	3.96%	6.53%	1.34%	1.90%	3.03%	20.59%	3.45%	1.49%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	345	7	7	13	13	13	14	20	10	5	21	10	24	1	11	15	2	11	4	2	0	6	5	10	6	11	3	1	0	6	75	5	6	8					
		2.28%	1.47%	1.36%	3.72%	2.96%	2.14%	2.08%	4.93%	2.85%	1.77%	3.04%	1.86%	3.21%	0.97%	3.09%	1.57%	9.09%	2.61%	1.61%	3.07%	0.0%	2.92%	0.91%	3.30%	3.10%	1.56%	2.97%	0.40%	0.0%	0.95%	3.79%	0.67%	1.29%	1.32%					
