Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Устюженская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826					
1	"Число избирателей, внесенных в список избирателей"	14496	1015	994	577	480	1024	293	1054	895	797	396	213	325	444	263	168	522	170	133	182	265	184	190	551	245	360	330	784	105	630	257	367	283					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14666	1029	1014	598	481	1033	252	1084	920	807	402	175	327	421	230	151	540	151	147	199	273	204	197	572	265	384	332	803	86	659	257	375	298					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6495	494	390	319	229	494	124	452	408	356	172	98	144	155	104	55	205	97	86	94	114	137	95	206	125	150	125	399	66	250	39	187	126					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2026	57	39	23	49	35	66	58	28	56	88	74	84	112	68	47	119	38	12	32	69	19	63	144	32	79	67	75	20	157	112	51	53					
6	Число погашенных избирательных бюллетеней	6145	478	585	256	203	504	62	574	484	395	142	3	99	154	58	49	216	16	49	73	90	48	39	222	108	155	140	329	0	252	106	137	119					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2026	57	39	23	49	35	66	58	28	56	88	74	84	112	68	47	119	38	12	32	69	19	63	144	32	79	67	75	20	157	112	51	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6494	494	390	319	229	494	124	452	408	355	172	98	144	155	104	55	205	97	86	94	114	137	95	206	125	150	125	399	66	250	39	187	126					
9	Число недействительных избирательных бюллетеней	161	8	11	10	5	11	4	12	4	10	3	3	3	5	7	1	4	4	3	0	2	5	6	7	1	1	6	16	1	2	1	3	2					
10	Число действительных избирательных бюллетеней	8359	543	418	332	273	518	186	498	432	401	257	169	225	262	165	101	320	131	95	126	181	151	152	343	156	228	186	458	85	405	150	235	177					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	558	14	14	17	17	17	9	17	12	17	17	17	17	17	17	17	17	17	17	19	15	17	17	17	17	27	17	43	6	25	12	17	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	426	12	12	7	5	13	2	9	9	11	12	0	17	7	13	2	17	17	15	18	15	17	14	17	17	25	5	43	5	25	6	17	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	4	6	4	8	7	4	2	7	4	3	3	1	4	12	4	3	7	5	5	5	2	3	3	1	1	4	6	1	4	2	7	1					
