Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Нерюнгринская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57010	1769	2451	1948	1644	1549	2215	1993	2067	2172	2181	2198	1780	2146	1750	2148	2355	1529	2149	2089	2236	2014	1568	1626	2238	1355	214	1274	1337	1220	1642	584	666	382	521									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57160	1850	2480	2000	1650	1450	2240	2010	2070	2190	2190	2200	1790	2170	1750	2130	2370	1550	2130	2060	2230	2000	1550	1590	2200	1300	220	1200	1400	1300	1600	550	670	420	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25393	550	1095	648	756	648	878	853	1079	869	866	947	830	1020	819	1048	1070	735	983	964	1026	900	656	576	988	621	101	445	579	579	866	330	359	205	504									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	307	15	12	6	10	0	11	8	5	6	8	3	4	7	4	31	14	3	4	2	9	5	22	34	12	17	6	6	7	5	10	3	13	5	0									
6	Число погашенных избирательных бюллетеней	31420	1285	1373	1346	884	802	1351	1149	986	1315	1316	1250	956	1143	927	1051	1286	812	1143	1094	1195	1095	872	980	1200	662	113	749	814	716	724	217	258	210	146									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	347	15	12	6	10	0	11	8	5	6	8	3	4	7	4	31	14	3	4	2	9	5	22	34	12	17	6	6	7	5	10	3	53	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25372	550	1095	648	756	646	878	845	1079	867	866	946	830	1020	818	1047	1069	733	982	963	1026	900	656	576	987	621	101	445	579	579	866	330	359	205	504									
9	Число недействительных избирательных бюллетеней	659	25	25	23	15	16	29	32	18	47	27	18	19	19	12	28	25	16	20	18	30	22	16	16	23	9	4	14	20	12	17	9	11	0	24									
10	Число действительных избирательных бюллетеней	25060	540	1082	631	751	630	860	821	1066	826	847	931	815	1008	810	1050	1058	720	966	947	1005	883	662	594	976	629	103	437	566	572	859	324	401	210	480									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	900	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25	10	25	25	25	25	20	15	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	313	5	10	11	9	11	12	6	15	20	14	13	12	16	5	18	12	14	16	9	17	12	7	2	6	6	1	3	3	2	9	1	15	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	333	7	9	11	16	29	5	7	12	5	3	9	2	12	12	10	6	25	17	23	9	9	7	14	5	4	5	13	5	4	11	2	7	5	13									
14	Число погашенных неиспользованных открепительных удостоверений	587	25	20	19	21	19	18	24	15	10	16	17	18	14	25	12	18	16	14	21	13	18	23	28	24	19	9	22	22	23	16	19	0	9	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	2	10	3	2	4	4	1	8	0	6	3	5	3	4	1	2	5	3	9	4	3	0	0	1	0	1	2	0	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	656	8	33	22	21	17	26	22	28	18	30	25	20	33	28	32	32	14	26	30	32	19	19	10	28	13	1	10	7	8	17	3	2	6	16									
		2.55%	1.42%	2.98%	3.36%	2.74%	2.63%	2.92%	2.58%	2.58%	2.06%	3.43%	2.63%	2.40%	3.21%	3.41%	2.97%	2.95%	1.90%	2.64%	3.11%	3.09%	2.10%	2.80%	1.64%	2.80%	2.04%	0.93%	2.22%	1.19%	1.37%	1.94%	0.90%	0.49%	2.86%	3.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	858	15	42	18	21	25	20	24	35	21	26	30	23	27	20	31	29	27	36	26	38	39	36	25	41	31	3	8	19	28	31	9	20	18	16									
		3.34%	2.65%	3.79%	2.75%	2.74%	3.87%	2.25%	2.81%	3.23%	2.41%	2.97%	3.16%	2.76%	2.63%	2.43%	2.88%	2.68%	3.67%	3.65%	2.69%	3.67%	4.31%	5.31%	4.10%	4.10%	4.86%	2.80%	1.77%	3.24%	4.79%	3.54%	2.70%	4.85%	8.57%	3.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	825	30	50	16	29	17	21	26	27	24	20	32	24	38	27	28	24	27	26	24	26	27	35	21	40	17	2	9	15	24	44	19	16	7	13									
		3.21%	5.31%	4.52%	2.45%	3.79%	2.63%	2.36%	3.05%	2.49%	2.75%	2.29%	3.37%	2.88%	3.70%	3.28%	2.60%	2.22%	3.67%	2.64%	2.49%	2.51%	2.98%	5.16%	3.44%	4.00%	2.66%	1.87%	1.99%	2.56%	4.11%	5.02%	5.71%	3.88%	3.33%	2.58%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9926	229	395	282	282	291	337	340	435	342	349	349	305	393	333	400	406	270	369	380	392	362	246	246	361	248	47	190	224	209	321	129	242	76	146									
		38.59%	40.53%	35.68%	43.12%	36.81%	45.05%	37.91%	39.86%	40.13%	39.18%	39.93%	36.78%	36.57%	38.27%	40.51%	37.11%	37.49%	36.68%	37.42%	39.38%	37.87%	40.00%	36.28%	40.33%	36.14%	38.87%	43.93%	42.13%	38.23%	35.79%	36.64%	38.74%	58.74%	36.19%	28.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	198	4	14	3	4	7	6	5	5	6	7	6	7	9	3	11	11	8	9	11	7	16	2	3	5	6	2	3	8	5	3	0	0	1	1									
		0.77%	0.71%	1.26%	0.46%	0.52%	1.08%	0.67%	0.59%	0.46%	0.69%	0.80%	0.63%	0.84%	0.88%	0.36%	1.02%	1.02%	1.09%	0.91%	1.14%	0.68%	1.77%	0.29%	0.49%	0.50%	0.94%	1.87%	0.67%	1.37%	0.86%	0.34%	0.00%	0.00%	0.48%	0.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	70	0	2	3	3	1	1	2	4	3	7	5	0	1	1	5	3	5	0	2	4	2	1	3	4	1	0	2	0	1	1	1	2	0	0									
		0.27%	0.00%	0.18%	0.46%	0.39%	0.15%	0.11%	0.23%	0.37%	0.34%	0.80%	0.53%	0.00%	0.10%	0.12%	0.46%	0.28%	0.68%	0.00%	0.21%	0.39%	0.22%	0.15%	0.49%	0.40%	0.16%	0.00%	0.44%	0.00%	0.17%	0.11%	0.30%	0.49%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6860	157	290	177	212	136	265	231	282	222	236	254	217	259	203	259	299	185	268	249	290	186	179	154	281	164	31	137	179	160	252	135	35	89	187									
