Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
"Наименование Избирательной комиссии:    Кемерово, Центральная"																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331					
1	"Число избирателей, внесенных в списки избирателей"	78778	1953	1307	2295	1875	1972	1480	1911	2218	1753	1800	2072	1647	1424	1776	2707	2456	1526	1700	1649	2385	2067	1542	2168	2135	2333	2068	1984	1690	2106	2209	2394	2627	2310	2306	2300	2344	2769	2437	700	383					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	70900	1650	1200	2050	1650	1700	1200	1800	1950	1600	1650	1850	1500	1200	1450	2500	2200	1350	1550	1600	2200	1950	1400	2050	2000	1950	1900	1800	1500	1800	1950	2150	2400	2050	2100	2050	2150	2550	2200	700	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53350	1193	918	1543	1284	1333	1007	1313	1468	1437	1387	1209	1033	967	1030	1989	2022	1124	1105	1149	1548	1194	1010	1691	1375	1709	1414	1139	1061	1085	1779	1692	1565	1278	1866	1469	1556	1755	1570	700	383					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3611	100	88	77	62	84	73	115	335	71	157	93	59	33	177	36	39	64	149	57	99	85	64	103	169	211	71	77	80	107	114	72	47	78	61	89	89	88	38	0	0					
6	Число погашенных избирательных бюллетеней	13939	357	194	430	304	283	120	372	147	92	106	548	408	200	243	475	139	162	296	394	553	671	326	256	456	30	415	584	359	608	57	386	788	694	173	492	505	707	592	0	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3609	100	88	77	62	84	73	115	335	71	157	92	59	33	177	36	39	64	149	57	99	84	64	103	169	211	71	77	80	107	114	72	47	78	61	89	89	88	38	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53251	1181	918	1543	1284	1333	1007	1313	1468	1437	1387	1208	1033	966	1030	1977	2022	1124	1105	1149	1548	1192	1010	1691	1375	1709	1343	1139	1061	1085	1779	1692	1565	1278	1866	1469	1556	1755	1570	700	383					
9	Число недействительных избирательных бюллетеней	601	10	0	15	1	18	40	8	16	5	8	21	11	11	10	19	35	7	32	14	12	5	7	11	0	17	7	12	7	13	0	25	12	10	115	14	22	14	3	10	4					
10	Число действительных избирательных бюллетеней	56259	1271	1006	1605	1345	1399	1040	1420	1787	1503	1536	1279	1081	988	1197	1994	2026	1181	1222	1192	1635	1271	1067	1783	1544	1903	1407	1204	1134	1179	1893	1739	1600	1346	1812	1544	1623	1829	1605	690	379					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2007	25	40	60	55	30	43	45	35	40	40	40	45	50	29	348	50	25	40	45	50	35	28	90	87	45	40	50	20	20	50	50	55	25	54	40	50	72	61	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1997	25	40	60	55	30	43	42	35	40	40	40	43	50	29	348	50	25	40	45	50	35	28	88	87	44	40	50	20	20	50	50	55	25	54	39	50	71	61	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1774	41	21	39	64	67	72	44	130	48	22	35	21	73	96	147	29	22	23	32	19	29	22	34	8	20	69	50	28	41	13	34	34	37	14	35	31	21	38	132	39					
14	Число погашенных неиспользованных открепительных удостоверений	10	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	189	6	6	5	2	6	4	6	16	3	10	5	7	5	2	0	6	3	3	1	7	8	4	8	4	3	8	3	0	5	5	4	9	2	3	3	8	3	6	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	819	31	9	33	9	8	11	18	46	6	15	34	33	27	22	46	32	15	18	22	24	26	10	16	23	17	9	21	17	25	18	10	29	25	26	21	9	39	6	7	6					
		1.44%	2.42%	0.89%	2.04%	0.67%	0.56%	1.02%	1.26%	2.55%	0.40%	0.97%	2.62%	3.02%	2.70%	1.82%	2.29%	1.55%	1.26%	1.44%	1.82%	1.46%	2.04%	0.93%	0.89%	1.49%	0.89%	0.64%	1.73%	1.49%	2.10%	0.95%	0.57%	1.80%	1.84%	1.35%	1.35%	0.55%	2.12%	0.37%	1.00%	1.57%					
19	2.Всероссийская политическая партия «Гражданская Сила»	783	24	18	49	11	11	19	20	18	8	13	34	21	20	37	41	33	4	21	25	35	22	12	20	21	12	15	15	14	23	4	8	34	11	21	23	10	37	8	3	8					
		1.38%	1.87%	1.79%	3.02%	0.82%	0.78%	1.76%	1.40%	0.99%	0.53%	0.84%	2.62%	1.92%	2.00%	3.07%	2.04%	1.60%	0.34%	1.67%	2.07%	2.13%	1.72%	1.12%	1.11%	1.36%	0.63%	1.06%	1.23%	1.23%	1.93%	0.21%	0.45%	2.11%	0.81%	1.09%	1.48%	0.61%	2.01%	0.50%	0.43%	2.09%					
20	3.Политическая партия «Демократическая партия России»	81	4	3	1	3	3	0	1	2	3	0	2	1	1	3	11	2	0	1	3	1	1	1	3	0	2	2	1	0	1	2	0	4	2	0	2	6	6	2	1	0					
		0.14%	0.31%	0.30%	0.06%	0.22%	0.21%	0.00%	0.07%	0.11%	0.20%	0.00%	0.15%	0.09%	0.10%	0.25%	0.55%	0.10%	0.00%	0.08%	0.25%	0.06%	0.08%	0.09%	0.17%	0.00%	0.10%	0.14%	0.08%	0.00%	0.08%	0.11%	0.00%	0.25%	0.15%	0.00%	0.13%	0.36%	0.33%	0.12%	0.14%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4962	175	137	232	145	133	36	198	155	116	195	157	141	108	145	209	120	89	155	81	104	117	102	102	100	75	152	110	59	108	105	94	168	129	131	145	35	143	180	46	30					
		8.73%	13.66%	13.62%	14.32%	10.77%	9.39%	3.33%	13.87%	8.60%	7.69%	12.63%	12.08%	12.91%	10.81%	12.01%	10.38%	5.82%	7.49%	12.36%	6.72%	6.31%	9.17%	9.50%	5.69%	6.48%	3.91%	10.75%	9.05%	5.17%	9.06%	5.55%	5.33%	10.42%	9.51%	6.80%	9.31%	2.13%	7.76%	11.19%	6.57%	7.83%					
