Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Северобайкальская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539					
1	"Число избирателей, внесенных в списки избирателей"	19114	1783	1684	1615	1628	1648	1654	1534	1689	1604	1649	1366	1260					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18945	1747	1696	1625	1620	1662	1663	1536	1690	1614	1454	1367	1271					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10676	1074	1015	999	1009	995	868	776	847	780	932	699	682					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	239	21	20	25	22	28	18	14	21	18	16	18	18					
6	Число погашенных избирательных бюллетеней	8030	652	661	601	589	639	777	746	822	816	506	650	571					
7	Число избирательных бюллетеней в переносных ящиках для голосования	239	21	20	25	22	28	18	14	21	18	16	18	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10653	1073	1015	999	1009	995	868	776	847	762	928	699	682					
9	Число недействительных избирательных бюллетеней	150	21	6	6	12	19	17	11	24	12	10	10	2					
10	Число действительных избирательных бюллетеней	10742	1073	1029	1018	1019	1004	869	779	844	768	934	707	698					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	694	59	60	60	60	60	60	55	60	55	55	55	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	195	14	25	24	22	22	12	15	18	12	15	9	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	64	5	10	7	24	3	5	4	1	3	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	499	45	35	36	38	38	48	40	42	43	40	46	48					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	1	0	1	0	0	1	1	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	125	11	13	14	16	13	16	7	11	4	8	5	7					
		1.15%	1.01%	1.26%	1.37%	1.55%	1.27%	1.81%	0.89%	1.27%	0.51%	0.85%	0.70%	1.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	4	3	3	4	4	6	6	6	1	6	2	6					
		0.47%	0.37%	0.29%	0.29%	0.39%	0.39%	0.68%	0.76%	0.69%	0.13%	0.64%	0.28%	0.86%					
20	3.Политическая партия «Демократическая партия России»	7	2	0	1	0	1	0	0	0	0	3	0	0					
		0.06%	0.18%	0.00%	0.10%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1060	128	114	115	98	119	71	52	61	72	81	59	90					
		9.73%	11.70%	11.01%	11.23%	9.51%	11.63%	8.01%	6.58%	7.03%	9.23%	8.58%	8.23%	12.86%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	23	1	0	3	1	5	2	3	4	2	1	0	1					
		0.21%	0.09%	0.00%	0.29%	0.10%	0.49%	0.23%	0.38%	0.46%	0.26%	0.11%	0.00%	0.14%					
23	6.Политическая партия «Партия социальной справедливости»	8	1	2	0	1	0	0	0	1	0	1	1	1					
		0.07%	0.09%	0.19%	0.00%	0.10%	0.00%	0.00%	0.00%	0.12%	0.00%	0.11%	0.14%	0.14%					
24	7.Политическая партия «Либерально-демократическая партия России»	960	102	85	77	77	77	88	87	59	66	87	88	67					
		8.81%	9.32%	8.21%	7.52%	7.47%	7.53%	9.93%	11.01%	6.80%	8.46%	9.22%	12.27%	9.57%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	896	102	122	97	114	110	42	40	56	48	59	49	57					
		8.23%	9.32%	11.79%	9.47%	11.06%	10.75%	4.74%	5.06%	6.45%	6.15%	6.25%	6.83%	8.14%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	39	4	6	4	6	4	1	2	5	4	2	0	1					
		0.36%	0.37%	0.58%	0.39%	0.58%	0.39%	0.11%	0.25%	0.58%	0.51%	0.21%	0.00%	0.14%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7479	703	674	694	691	660	633	579	639	567	682	494	463					
		68.67%	64.26%	65.12%	67.77%	67.02%	64.52%	71.44%	73.29%	73.62%	72.69%	72.25%	68.90%	66.14%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	94	15	10	10	11	11	10	3	2	4	4	9	5					
		0.86%	1.37%	0.97%	0.98%	1.07%	1.08%	1.13%	0.38%	0.23%	0.51%	0.42%	1.26%	0.71%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
