Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
"Наименование Избирательной комиссии:    Тольятти, Комсомольская"																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89560	2274	2124	2058	2306	1979	1976	1888	1621	1790	1912	2157	1962	2064	1950	1777	1850	2504	1926	2221	2084	1714	1915	2280	2035	2794	2255	1386	1615	1716	2704	2475	2187	2267	2249	1683	2122	1680	2191	1913	1296	1631	2369	2254	2406									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85400	2200	2000	2000	2200	1800	1900	1800	1600	1700	1800	2100	1900	2000	1900	1700	1800	2400	1800	2100	2000	1600	1800	2200	1900	2600	2200	1300	1400	1600	2600	2400	2100	2200	2200	1600	2000	1600	2100	1800	1200	1500	2300	2200	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42748	1167	1070	1053	1053	1002	1025	972	869	814	966	1066	891	977	943	829	895	1258	995	1010	1021	864	962	1122	738	1298	917	586	847	759	1327	1039	1073	1146	1129	720	1047	781	962	918	539	618	1065	1183	1232									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1402	18	12	21	40	93	39	49	22	33	50	32	40	24	29	25	14	39	17	34	32	28	18	13	78	27	18	22	23	12	10	24	25	12	21	32	18	53	26	33	61	81	49	36	19									
6	Число погашенных избирательных бюллетеней	41250	1015	918	926	1107	705	836	779	709	853	784	1002	969	999	928	846	891	1103	788	1056	947	708	820	1065	1084	1275	1265	692	530	829	1263	1337	1002	1042	1050	848	935	766	1112	849	600	801	1186	981	1049									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1401	18	12	21	40	93	39	49	22	32	50	32	40	24	29	25	14	39	17	34	32	28	18	13	78	27	18	22	23	12	10	24	25	12	21	32	18	53	26	33	61	81	49	36	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42686	1161	1070	1053	1053	1002	1025	972	869	814	966	1056	891	977	943	826	895	1258	995	1005	1020	864	958	1122	738	1295	916	586	847	757	1327	1039	1062	1146	1124	716	1047	779	962	917	539	617	1065	1183	1229									
9	Число недействительных избирательных бюллетеней	1314	30	28	20	29	49	21	20	22	30	46	33	25	22	33	26	25	31	26	38	25	22	18	37	25	49	32	17	40	33	45	37	33	43	47	26	22	31	43	6	18	14	36	36	25									
10	Число действительных избирательных бюллетеней	42773	1149	1054	1054	1064	1046	1043	1001	869	816	970	1055	906	979	939	825	884	1266	986	1001	1027	870	958	1098	791	1273	902	591	830	736	1292	1026	1054	1115	1098	722	1043	801	945	944	582	684	1078	1183	1223									
