Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Дюртюлинская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1791	УИК №1792	УИК №1794	УИК №1795	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1804	УИК №1805	УИК №1807	УИК №1808	УИК №1810	УИК №1812	УИК №1815	УИК №1817	УИК №1819	УИК №1820	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1871									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49234	1167	1354	1173	1120	1277	1178	1315	1074	1061	489	1090	1103	1082	1132	1236	1274	1251	1292	715	1341	1320	671	805	1206	300	604	1011	297	595	500	344	193	534	306	484	295	607	796	262	911	1259	826	448	402	445	467	411	94	549	231	321	480	867	396	661	1530	372	274	585	365	87	471	174	672	541	242	434	478	387									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48517	1020	1240	1120	1050	1230	1080	1250	1000	1000	500	1010	1030	1010	1060	1180	1180	1180	1230	720	1270	1230	700	820	1210	310	620	1010	300	610	601	350	200	540	320	500	300	620	790	270	950	1270	840	460	410	460	460	420	99	640	240	320	480	880	410	774	1560	380	280	590	380	86	480	180	670	550	250	460	490	387									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38406	612	856	802	631	672	589	732	780	843	320	709	735	708	786	798	851	802	1101	437	776	826	614	740	1071	281	565	843	287	575	500	330	183	478	263	420	253	565	733	240	877	1188	775	405	369	407	339	367	88	434	212	299	443	814	356	612	1433	356	239	557	341	65	419	143	624	510	227	389	424	387									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1238	53	0	10	22	10	24	23	9	25	4	35	33	5	17	9	15	11	20	18	2	32	25	25	75	4	9	30	0	0	0	0	0	31	21	37	26	12	23	8	5	8	10	23	17	16	114	25	5	15	8	6	14	10	20	27	23	4	13	3	9	8	28	22	21	21	7	23	30	0									
6	Число погашенных избирательных бюллетеней	8873	355	384	308	397	548	467	495	211	132	176	266	262	297	257	373	314	367	109	265	492	372	61	55	64	25	46	137	13	35	101	20	17	31	36	43	21	43	34	22	68	74	55	32	24	37	7	28	6	191	20	15	23	56	34	135	104	20	28	30	30	13	33	15	25	19	16	48	36	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1238	53	0	10	22	10	24	23	9	25	4	35	33	5	17	9	15	11	20	18	2	32	25	25	75	4	9	30	0	0	0	0	0	31	21	37	26	12	23	8	5	8	10	23	17	16	114	25	5	15	8	6	14	10	20	27	23	4	13	3	9	8	28	22	21	21	7	23	30	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38405	612	856	802	630	672	589	732	780	843	320	709	735	708	786	798	851	802	1101	437	776	826	614	740	1071	281	565	843	287	575	500	330	183	478	263	420	253	565	733	240	877	1188	775	405	369	407	339	367	88	434	212	299	443	814	356	612	1433	356	239	557	341	65	419	143	624	510	227	389	424	387									
9	Число недействительных избирательных бюллетеней	280	0	0	4	27	11	20	20	13	9	2	0	0	10	16	4	0	0	0	6	0	2	0	5	0	0	0	0	0	0	12	0	0	1	0	5	0	7	13	0	7	5	0	1	0	2	0	0	0	15	4	0	2	0	0	18	4	6	0	2	0	0	0	3	12	0	0	12	0	0									
10	Число действительных избирательных бюллетеней	39363	665	856	808	625	671	593	735	776	859	322	744	768	703	787	803	866	813	1121	449	778	856	639	760	1146	285	574	873	287	575	488	330	183	508	284	452	279	570	743	248	875	1191	785	427	386	421	453	392	93	434	216	305	455	824	376	621	1452	354	252	558	350	73	447	162	633	531	234	400	454	387									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	559	10	14	20	15	10	10	10	10	13	5	10	10	10	14	25	10	10	10	5	15	10	10	10	10	5	10	10	3	5	5	3	3	5	5	5	5	10	10	3	15	10	10	3	5	7	10	5	3	5	3	3	5	10	5	10	10	5	3	5	3	5	5	3	5	5	3	25	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	381	10	14	17	12	10	10	7	9	13	1	9	6	7	14	20	6	2	5	4	12	10	10	5	5	3	1	3	1	2	3	1	0	2	0	1	0	5	6	1	15	10	9	1	1	7	8	5	0	3	0	0	0	10	3	1	9	1	0	3	2	4	5	0	3	2	2	20	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	2	2	4	1	9	7	1	2	4	2	4	6	2	4	7	7	2	1	2	2	2	0	8	4	0	1	4	2	0	2	0	0	1	0	2	2	2	1	0	1	4	0	1	0	0	3	3	0	4	1	3	3	0	1	3	3	1	2	0	3	3	2	0	1	1	0	0	6	50									
14	Число погашенных неиспользованных открепительных удостоверений	178	0	0	3	3	0	0	3	1	0	4	1	4	3	0	5	4	8	5	1	3	0	0	5	5	2	9	7	2	3	2	2	3	3	5	4	5	5	4	2	0	0	1	2	4	0	2	0	3	2	3	3	5	0	2	9	1	4	3	2	1	1	0	3	2	3	1	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	4	4	6	2	6	4	2	4	3	1	1	3	5	2	3	2	6	3	0	9	2	1	2	3	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	194	8	3	2	15	6	15	14	10	10	2	5	0	9	7	4	2	5	0	0	0	3	0	1	0	2	5	7	2	2	6	0	1	3	0	5	1	0	0	1	0	0	1	0	0	0	0	0	0	10	1	0	0	2	1	8	1	1	0	5	0	0	2	0	2	0	0	3	0	1									
		0.49%	1.20%	0.35%	0.25%	2.30%	0.88%	2.45%	1.85%	1.27%	1.15%	0.62%	0.67%	0.00%	1.26%	0.87%	0.50%	0.23%	0.62%	0.00%	0.00%	0.00%	0.35%	0.00%	0.13%	0.00%	0.70%	0.87%	0.80%	0.70%	0.35%	1.20%	0.00%	0.55%	0.59%	0.00%	1.09%	0.36%	0.00%	0.00%	0.40%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.23%	0.45%	0.00%	0.00%	0.24%	0.27%	1.25%	0.07%	0.28%	0.00%	0.89%	0.00%	0.00%	0.45%	0.00%	0.31%	0.00%	0.00%	0.73%	0.00%	0.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	554	27	2	0	20	0	44	30	41	10	0	13	0	0	28	7	3	0	0	6	0	2	0	9	0	2	23	0	2	4	46	8	0	16	0	33	1	0	0	2	8	2	2	2	0	0	0	0	0	23	0	0	3	6	4	28	3	3	1	38	0	7	1	9	3	0	4	24	4	0									
		1.40%	4.06%	0.23%	0.00%	3.07%	0.00%	7.18%	3.97%	5.20%	1.15%	0.00%	1.75%	0.00%	0.00%	3.49%	0.87%	0.35%	0.00%	0.00%	1.32%	0.00%	0.23%	0.00%	1.18%	0.00%	0.70%	4.01%	0.00%	0.70%	0.70%	9.20%	2.42%	0.00%	3.14%	0.00%	7.22%	0.36%	0.00%	0.00%	0.81%	0.91%	0.17%	0.25%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	5.12%	0.00%	0.00%	0.66%	0.73%	1.06%	4.38%	0.21%	0.83%	0.40%	6.79%	0.00%	9.59%	0.22%	5.45%	0.47%	0.00%	1.71%	5.83%	0.88%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	411	13	2	2	19	21	14	24	11	12	6	12	0	25	20	18	4	7	2	2	0	9	0	13	1	2	20	9	2	5	6	8	0	10	4	14	1	0	0	10	2	5	2	5	8	0	0	0	0	8	3	4	5	0	1	4	3	2	0	5	0	0	3	1	4	6	4	6	2	0									
