Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Буинская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16338	1068	1105	1201	1136	1122	1080	1078	1090	977	1061	1123	1160	1045	1034	1058									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16700	1087	1133	1237	1159	1129	1118	1104	1127	993	1089	1145	1185	1063	1049	1082									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14989	966	990	1077	1023	992	1000	971	1040	923	898	1076	1116	971	960	986									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	465	54	30	9	13	35	49	31	6	19	122	3	8	27	35	24									
6	Число погашенных избирательных бюллетеней	1246	67	113	151	123	102	69	102	81	51	69	66	61	65	54	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	465	54	30	9	13	35	49	31	6	19	122	3	8	27	35	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14988	966	990	1077	1023	992	1000	971	1040	923	897	1076	1116	971	960	986									
9	Число недействительных избирательных бюллетеней	8	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	15445	1020	1020	1084	1036	1027	1049	1002	1046	942	1013	1079	1124	998	995	1010									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	346	15	26	31	18	12	40	19	34	18	36	20	23	19	14	21									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	4	1	1	2	10	4	3	0	4	12	5	4	6	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	254	25	14	9	22	28	0	21	6	22	4	20	17	21	26	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	4	1	4	1	0	8	2	4	0	2	2	2	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
