Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444					
1	"Число избирателей, внесенных в списки"	79059	1550	1384	1360	1134	1173	1476	1058	1016	605	1543	1205	1011	1103	773	1428	1106	848	1123	1093	919	1060	1147	1206	897	840	1339	1207	1312	1094	1336	1358	1102	1460	1385	1127	1413	1340	2237	1714	1501	1877	1948	1308	1359	1146	1146	1927	1915	1723	1613	1896	1916	1187	1048	37	1814	1281	1532	1343	548	1512					
2	"Число бюллетеней, полученных участковыми комиссиями"	80590	1300	1400	1350	1120	1150	1470	1050	1040	700	1550	1200	1010	1000	750	1380	1100	1000	1110	1060	910	1100	1200	1200	1570	850	1360	1200	1300	1050	1340	1350	1050	1500	1400	1130	1430	1330	2230	1720	1600	1860	1960	1300	1400	1140	1150	1900	1900	1700	1600	1900	1930	1170	1070	350	1900	1330	1530	1340	1100	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42523	779	729	813	536	639	643	492	477	581	917	621	478	552	378	809	501	498	476	461	500	678	691	703	864	439	657	547	640	439	481	745	748	859	647	514	795	831	1175	924	804	996	1119	781	860	758	641	976	1011	1004	825	1006	1059	628	516	35	1008	677	790	757	240	775					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1631	25	16	14	43	38	21	59	27	0	28	18	11	141	16	39	16	26	29	19	26	22	18	22	33	13	18	22	30	13	26	22	16	18	12	17	35	13	17	26	21	34	12	17	17	4	17	58	25	10	14	33	17	12	44	2	51	53	50	27	68	40					
6	Число погашенных бюллетеней	36436	496	655	523	541	473	806	499	536	119	605	561	521	307	356	532	583	476	605	580	384	400	491	475	673	398	685	631	630	598	833	583	286	623	741	599	600	486	1038	770	775	830	829	502	523	378	492	866	864	686	761	861	854	530	510	313	841	600	690	556	792	685					
7	Число бюллетеней в переносных ящиках для голосования	1632	25	16	14	43	38	21	59	27	0	28	18	11	141	16	39	16	26	29	19	26	22	18	22	33	13	18	22	30	13	26	22	16	18	12	17	35	14	17	26	21	34	12	17	17	4	17	58	25	10	14	33	17	12	44	2	51	53	50	27	68	40					
8	Число бюллетеней в стационарных ящиках для голосования	42470	779	729	813	536	639	643	492	477	580	915	621	478	552	378	799	499	498	476	461	500	678	691	703	864	439	656	547	640	439	481	719	748	859	646	514	795	830	1173	924	804	996	1116	781	860	758	641	974	1011	1004	825	1006	1059	628	516	35	1007	676	790	757	240	775					
9	Число недействительных бюллетеней	569	12	20	3	7	8	14	8	13	37	7	9	9	5	7	10	8	4	4	14	3	12	2	5	4	12	9	3	14	7	7	1	10	7	13	19	13	2	8	11	6	23	15	7	7	4	3	11	7	13	8	11	14	6	9	1	6	7	11	11	10	18					
10	Число действительных бюллетеней	43533	792	725	824	572	669	650	543	491	543	936	630	480	688	387	828	507	520	501	466	523	688	707	720	893	440	665	566	656	445	500	740	754	870	645	512	817	842	1182	939	819	1007	1113	791	870	758	655	1021	1029	1001	831	1028	1062	634	551	36	1052	722	829	773	298	797					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1730	35	35	30	20	20	30	15	15	0	25	15	10	15	15	35	20	40	15	20	15	40	40	30	25	10	25	60	15	10	20	15	30	30	20	25	30	35	40	60	80	30	55	60	40	25	20	25	25	40	35	50	28	22	20	10	80	25	20	25	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	804	30	5	16	10	6	18	10	8	0	23	4	10	12	5	15	12	8	5	11	9	9	10	12	18	6	13	5	8	9	6	12	16	19	12	12	26	12	19	29	19	7	25	20	29	8	11	9	17	20	21	32	27	9	12	1	18	11	12	19	4	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	778	11	12	8	5	7	14	13	10	7	13	68	14	14	14	10	16	28	13	11	12	15	11	20	32	9	8	9	14	11	18	8	14	8	6	10	14	16	12	10	6	10	6	10	10	8	9	6	8	9	3	16	8	10	11	19	7	16	8	14	32	7					
14	Число погашенных открепительных удостоверений	926	5	30	14	10	14	12	5	7	0	2	11	0	3	10	20	8	32	10	9	6	31	30	18	7	4	12	55	7	1	14	3	14	11	8	13	4	23	21	31	61	23	30	40	11	17	9	16	8	20	14	18	1	13	8	9	62	14	8	6	11	12					
15	Число открепительных удостоверений выданных ТИК	37	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	1	2	0	0	0	0	4	1	0	0	1	0	0	2	2	1	0	1	1	0	2	3	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	431	9	10	4	7	7	8	4	9	17	4	9	0	10	2	3	6	11	7	6	2	2	4	8	4	9	9	3	5	7	5	2	8	8	10	4	6	11	4	6	11	6	10	0	5	6	0	12	12	20	9	7	10	9	5	0	6	12	6	10	9	16					
		0.97%	1.11%	1.34%	0.48%	1.20%	1.03%	1.20%	0.72%	1.78%	2.93%	0.42%	1.40%	0.0%	1.44%	0.50%	0.35%	1.16%	2.09%	1.38%	1.25%	0.38%	0.28%	0.56%	1.10%	0.44%	1.99%	1.33%	0.52%	0.74%	1.54%	0.98%	0.26%	1.04%	0.91%	1.51%	0.75%	0.72%	1.30%	0.33%	0.63%	1.33%	0.58%	0.88%	0.0%	0.57%	0.78%	0.0%	1.16%	1.15%	1.97%	1.07%	0.67%	0.92%	1.40%	0.89%	0.0%	0.56%	1.64%	0.71%	1.27%	2.92%	1.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1871	20	23	63	21	27	22	36	27	26	68	23	21	35	17	31	23	18	21	15	42	34	32	45	66	20	26	27	18	22	23	34	27	27	18	17	30	51	53	42	44	49	50	40	62	44	29	28	33	28	24	39	26	19	18	2	37	18	29	25	17	19					
		4.24%	2.48%	3.08%	7.61%	3.62%	3.98%	3.31%	6.53%	5.35%	4.48%	7.21%	3.59%	4.29%	5.05%	4.31%	3.69%	4.46%	3.43%	4.15%	3.12%	7.98%	4.85%	4.51%	6.20%	7.35%	4.42%	3.85%	4.74%	2.68%	4.86%	4.53%	4.58%	3.53%	3.07%	2.73%	3.20%	3.61%	6.04%	4.45%	4.42%	5.33%	4.75%	4.43%	5.01%	7.06%	5.77%	4.40%	2.71%	3.18%	2.76%	2.86%	3.75%	2.41%	2.96%	3.21%	5.40%	3.49%	2.46%	3.45%	3.18%	5.51%	2.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	991	13	25	11	18	15	9	13	21	24	19	15	15	7	6	17	17	6	13	17	13	15	20	11	16	7	19	19	15	10	15	15	23	25	19	19	10	21	18	18	12	26	20	12	5	22	7	30	28	23	11	17	18	13	20	0	24	19	21	17	8	29					
		2.24%	1.61%	3.35%	1.33%	3.10%	2.21%	1.35%	2.35%	4.16%	4.13%	2.01%	2.34%	3.06%	1.01%	1.52%	2.02%	3.30%	1.14%	2.57%	3.54%	2.47%	2.14%	2.82%	1.51%	1.78%	1.54%	2.81%	3.33%	2.23%	2.21%	2.95%	2.02%	3.01%	2.85%	2.88%	3.57%	1.20%	2.48%	1.51%	1.89%	1.45%	2.52%	1.77%	1.50%	0.57%	2.88%	1.06%	2.90%	2.70%	2.26%	1.31%	1.63%	1.67%	2.03%	3.57%	0.0%	2.26%	2.60%	2.5%	2.16%	2.59%	3.55%					
