Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Кузнецкая городская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
1	"Число избирателей, внесенных в списки"	72502	1664	1941	2682	2153	2561	2770	2792	1607	2700	2456	2980	2599	2986	1494	2381	2083	2298	1841	139	1771	1938	1193	2408	1982	1769	2272	1165	1207	2490	2779	2243	1405	1744	782	118	1272	1837					
2	"Число бюллетеней, полученных участковыми комиссиями"	73381	1686	1950	2654	2142	2578	2781	2791	1613	2710	2455	2968	2576	3000	1493	2385	2102	2315	1855	300	1779	1943	1194	2368	1989	1751	2282	1164	1203	2495	2775	2227	1407	1740	782	120	1874	1934					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34884	671	814	892	950	1230	1494	1517	822	1299	1131	1432	1322	1337	588	1164	1144	1145	1019	60	852	1013	450	1212	1015	871	1103	498	391	1012	1277	955	608	677	341	82	1262	1234					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1982	28	52	102	79	92	48	34	15	35	28	39	29	15	58	48	55	61	67	78	36	58	172	112	45	61	82	27	47	97	83	54	33	34	21	29	10	18					
6	Число погашенных бюллетеней	36515	987	1084	1660	1113	1256	1239	1240	776	1376	1296	1497	1225	1648	847	1173	903	1109	769	162	891	872	572	1044	929	819	1097	639	765	1386	1415	1218	766	1029	420	9	602	682					
7	Число бюллетеней в переносных ящиках для голосования	1982	28	52	102	79	92	48	34	15	35	28	39	29	15	58	48	55	61	67	78	36	58	172	112	45	61	82	27	47	97	83	54	33	34	21	29	10	18					
8	Число бюллетеней в стационарных ящиках для голосования	34857	671	813	892	950	1230	1486	1517	822	1299	1131	1432	1322	1335	588	1161	1142	1145	1018	60	847	1013	449	1212	1014	871	1101	498	391	1012	1277	954	608	677	341	82	1262	1234					
9	Число недействительных бюллетеней	447	9	11	15	15	13	21	18	11	22	15	13	18	7	14	9	13	14	11	6	7	5	12	23	10	15	14	3	9	10	18	17	18	4	6	3	10	8					
10	Число действительных бюллетеней	36392	690	854	979	1014	1309	1513	1533	826	1312	1144	1458	1333	1343	632	1200	1184	1192	1074	132	876	1066	609	1301	1049	917	1169	522	429	1099	1342	991	623	707	356	108	1262	1244					
