Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																		
Дата голосования: 04.12.2011																																																																																																																																		
																																																																																																																																		
Наименование Избирательной комиссии:    Таганрогская городская																																																																																																																																		
																																																																																																																																		
Сводная таблица результатов выборов																																																																																																																																		
																																																																																																																																		
		Сумма	УИК №1322	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2474	УИК №2479	УИК №2522	УИК №2523	УИК №2620					
1	"Число избирателей, внесенных в список избирателей"	231281	459	1764	1799	2151	1820	1856	1825	1824	2088	2252	1938	1698	1985	2039	1935	1733	1814	1861	1536	2154	2107	2338	2145	2172	1996	2112	1204	1720	1754	1685	2019	2212	2166	1883	1708	1678	1807	992	1650	1317	1480	2227	2157	2944	2373	1795	1868	1861	1824	1806	2343	2968	1126	1880	2565	2445	2012	1687	1953	2036	1761	1984	1183	1664	2560	1842	2115	1837	1862	2266	2098	2654	2195	2098	1939	1998	2487	2105	2205	1347	1758	1763	1458	1837	1947	1824	2098	2040	2141	1892	1497	1654	1623	1428	1312	2076	1889	2410	2243	1987	1712	2345	1959	2137	1630	2169	1591	1418	1783	1530	1039	1974	2056	2079	1855	2873	2481	2401	400	652	1935	1617	22					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	207870	550	1550	1650	1800	1650	1650	1600	1650	1900	2050	1750	1550	1800	1800	1750	1600	1600	1650	1400	1950	1900	2050	1950	2000	1800	1850	1050	1550	1600	1550	1800	2000	1950	1700	1550	1500	1650	900	1500	1200	1300	2000	1950	2400	2150	1600	1650	1700	1600	1700	2100	2600	1050	1700	2200	2200	1850	1500	1800	1850	1550	1800	1050	1500	2050	1650	1650	1650	1700	2050	1900	2350	1950	1850	1750	1750	2250	1850	1900	1200	1600	1600	1300	1650	1750	1650	1850	1850	1900	1600	1350	1500	1500	1300	1200	1800	1700	2150	2050	1850	1500	2000	1800	1950	1500	2000	1450	1300	1600	1400	950	1750	1850	1900	1700	2550	2250	2150	450	620	1800	1500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	125523	459	983	1255	1057	943	885	936	1008	1082	1189	942	867	1090	884	844	856	949	1074	690	1058	1196	1160	1177	1227	1119	1192	624	942	954	813	1031	1086	1096	966	956	860	914	537	806	777	896	1248	1173	1827	1315	958	1071	1093	907	816	1204	1554	681	1118	1239	1371	1090	826	1101	1215	897	903	666	866	1489	1095	1475	1082	1066	1222	858	1651	1329	1093	1004	933	1118	983	1365	725	984	1027	839	1070	1088	1069	904	1025	1258	986	862	1004	1004	904	652	1007	946	1306	1157	1164	1105	1237	1121	1159	850	1208	869	848	1061	858	520	1097	1187	1265	858	1614	1314	1282	182	361	1303	939	22					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4594	0	36	5	45	28	48	24	29	47	25	70	31	42	55	48	45	51	38	30	48	33	25	34	47	18	58	26	31	30	36	52	52	50	40	39	40	31	25	30	33	29	36	25	13	16	20	18	55	12	13	22	26	7	15	53	64	45	45	28	35	71	5	19	31	42	13	21	44	30	55	38	49	39	118	78	37	29	42	39	28	50	48	45	20	17	42	27	20	30	11	57	20	22	9	15	18	41	36	86	34	15	72	15	33	27	37	39	35	21	40	27	28	35	39	37	24	26	26	216	249	9	16	0					
6	Число погашенных избирательных бюллетеней	77752	91	531	390	698	679	717	640	613	771	836	738	652	668	861	858	699	600	538	680	844	671	865	739	726	663	600	400	577	616	701	717	862	804	694	555	600	705	338	664	390	375	716	752	560	819	622	561	552	681	871	874	1020	362	567	908	765	715	629	671	600	581	892	365	603	519	542	154	524	604	773	1004	650	582	639	668	780	1103	825	496	447	566	525	416	560	645	539	919	805	612	603	431	476	474	387	533	775	713	808	807	652	380	691	664	758	623	755	542	417	518	502	403	625	628	596	805	912	910	842	52	10	488	545	478					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4594	0	36	5	45	28	48	24	29	47	25	70	31	42	55	48	45	51	38	30	48	33	25	34	47	18	58	26	31	30	36	52	52	50	40	39	40	31	25	30	33	29	36	25	13	16	20	18	55	12	13	22	26	7	15	53	64	45	45	28	35	71	5	19	31	42	13	21	44	30	55	38	49	39	118	78	37	29	42	39	28	50	48	45	20	17	42	27	20	30	11	57	20	22	9	15	18	41	36	86	34	15	72	15	33	27	37	39	35	21	40	27	28	35	39	37	24	26	26	216	249	9	16	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	125438	459	982	1252	1057	943	885	936	1008	1081	1185	938	867	1090	883	844	856	949	1072	690	1057	1196	1160	1177	1227	1110	1191	624	937	954	813	1031	1086	1096	966	955	860	914	537	806	777	895	1247	1173	1827	1315	956	1071	1092	907	816	1204	1548	681	1117	1238	1371	1089	826	1101	1215	896	901	666	866	1486	1095	1472	1081	1066	1219	858	1651	1329	1091	1004	933	1118	982	1364	725	983	1023	839	1070	1088	1069	904	1025	1258	986	862	1004	1003	903	652	1007	945	1305	1157	1159	1104	1237	1121	1159	849	1208	869	847	1061	858	519	1097	1187	1265	858	1614	1313	1282	182	361	1301	939	22					
9	Число недействительных избирательных бюллетеней	1772	26	18	22	12	16	14	14	16	8	14	8	13	23	6	14	8	17	10	19	11	7	15	13	15	9	20	5	11	10	14	14	8	3	15	14	14	4	6	13	5	10	16	16	26	17	6	16	29	17	13	26	17	4	13	22	22	15	4	18	20	10	7	9	8	19	16	17	19	18	19	20	25	22	18	28	15	12	19	19	11	19	11	14	7	7	19	15	11	14	16	13	2	14	6	11	20	20	25	21	12	13	23	18	14	18	21	9	11	20	8	9	16	16	19	10	22	19	18	15	4	23	7	0					
10	Число действительных избирательных бюллетеней	128260	433	1000	1235	1090	955	919	946	1021	1120	1196	1000	885	1109	932	878	893	983	1100	701	1094	1222	1170	1198	1259	1119	1229	645	957	974	835	1069	1130	1143	991	980	886	941	556	823	805	914	1267	1182	1814	1314	970	1073	1118	902	816	1200	1557	684	1119	1269	1413	1119	867	1111	1230	957	899	676	889	1509	1092	1476	1106	1078	1255	876	1675	1346	1191	1054	955	1135	1005	1384	742	1014	1060	870	1083	1098	1092	916	1034	1274	981	906	1022	1011	906	656	1005	966	1316	1222	1181	1106	1286	1118	1178	858	1224	899	871	1062	890	537	1109	1206	1285	885	1616	1320	1290	383	606	1287	948	22					
