Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Моркинская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393					
1	"Число избирателей, внесенных в списки"	25209	2161	2261	2557	110	633	305	511	878	108	414	314	636	309	249	184	495	368	321	557	893	904	279	109	489	383	293	407	237	397	303	393	298	505	586	662	164	879	359	162	624	428	285	585	433	781					
2	"Число бюллетеней, полученных участковыми комиссиями"	24631	2000	2100	2300	150	636	302	515	866	108	407	304	663	308	247	178	505	366	311	567	906	894	275	110	487	380	291	415	236	401	288	381	289	505	588	657	160	873	376	167	620	416	280	584	425	794					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13597	1230	1240	1499	50	269	154	233	550	49	231	135	394	152	114	71	346	207	119	296	270	535	173	82	233	201	166	211	111	243	193	212	169	229	337	334	69	482	200	123	382	242	168	282	188	423					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1155	24	16	11	40	41	35	39	66	7	15	13	1	13	5	64	27	45	54	54	108	31	12	0	40	23	15	12	16	12	8	23	14	33	17	39	10	17	0	0	12	23	28	40	41	11					
6	Число погашенных бюллетеней	9879	746	844	790	60	326	113	243	250	52	161	156	268	143	128	43	132	114	138	217	528	328	90	28	214	156	110	192	109	146	87	146	106	243	234	284	81	374	176	44	226	151	84	262	196	360					
7	Число бюллетеней в переносных ящиках для голосования	1155	24	16	11	40	41	35	39	66	7	15	13	1	13	5	64	27	45	54	54	108	31	12	0	40	23	15	12	16	12	8	23	14	33	17	39	10	17	0	0	12	23	28	40	41	11					
8	Число бюллетеней в стационарных ящиках для голосования	13592	1230	1240	1496	50	269	154	233	550	49	231	135	394	152	114	71	346	207	119	296	270	535	173	82	233	201	166	211	111	243	193	211	169	229	337	334	69	482	200	123	382	242	168	282	188	422					
9	Число недействительных бюллетеней	350	20	10	7	0	22	8	12	2	0	8	0	14	14	11	0	15	5	5	9	8	6	4	3	10	7	3	0	11	12	8	9	4	4	6	4	5	10	14	0	15	8	8	7	11	11					
10	Число действительных бюллетеней	14397	1234	1246	1500	90	288	181	260	614	56	238	148	381	151	108	135	358	247	168	341	370	560	181	79	263	217	178	223	116	243	193	225	179	258	348	369	74	489	186	123	379	257	188	315	218	422					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	494	42	44	49	0	13	6	10	17	2	8	6	13	6	5	4	10	7	6	12	18	18	5	2	10	8	6	8	5	8	6	8	6	10	12	13	3	18	8	3	12	8	6	12	8	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	166	32	40	22	0	3	1	2	3	0	0	0	13	1	0	0	7	1	2	3	1	2	1	0	4	2	2	1	0	2	1	1	0	2	4	2	0	5	2	0	0	0	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	3	2	5	8	3	3	2	4	1	1	5	1	2	2	7	4	1	1	3	1	4	4	1	3	3	2	3	1	4	4	3	1	2	3	0	2	7	3	2	2	2	3	1	2	6					
14	Число погашенных открепительных удостоверений	328	10	4	27	0	10	5	8	14	2	8	6	0	5	5	4	3	6	4	9	17	16	4	2	6	6	4	7	5	6	5	7	6	8	8	11	3	13	6	3	12	8	6	12	7	10					
15	Число открепительных удостоверений выданных ТИК	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	474	29	15	39	4	8	7	13	7	3	4	1	6	6	3	1	7	13	0	15	10	9	5	7	4	4	5	10	1	9	4	6	1	11	16	16	3	20	10	0	87	21	16	9	4	5					
		3.21%	2.31%	1.19%	2.58%	4.44%	2.58%	3.70%	4.77%	1.13%	5.35%	1.62%	0.67%	1.51%	3.63%	2.52%	0.74%	1.87%	5.15%	0.0%	4.28%	2.64%	1.59%	2.70%	8.53%	1.46%	1.78%	2.76%	4.48%	0.78%	3.52%	1.99%	2.56%	0.54%	4.19%	4.51%	4.28%	3.79%	4.00%	5.0%	0.0%	22.08%	7.92%	8.16%	2.79%	1.74%	1.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	115	13	19	24	0	1	2	2	2	0	1	1	1	0	3	0	2	0	0	0	2	3	0	1	2	3	2	2	2	0	3	0	2	0	1	3	2	3	1	2	4	0	1	1	1	3					
		0.77%	1.03%	1.51%	1.59%	0.0%	0.32%	1.05%	0.73%	0.32%	0.0%	0.40%	0.67%	0.25%	0.0%	2.52%	0.0%	0.53%	0.0%	0.0%	0.0%	0.52%	0.53%	0.0%	1.21%	0.73%	1.33%	1.10%	0.89%	1.57%	0.0%	1.49%	0.0%	1.09%	0.0%	0.28%	0.80%	2.53%	0.60%	0.5%	1.62%	1.01%	0.0%	0.51%	0.31%	0.43%	0.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	220	26	32	23	1	6	3	2	12	0	2	1	1	2	2	5	2	1	3	5	2	6	1	3	4	3	7	1	3	3	1	9	4	1	4	2	2	4	4	3	4	0	0	2	4	14					
		1.49%	2.07%	2.54%	1.52%	1.11%	1.93%	1.58%	0.73%	1.94%	0.0%	0.81%	0.67%	0.25%	1.21%	1.68%	3.70%	0.53%	0.39%	1.73%	1.42%	0.52%	1.06%	0.54%	3.65%	1.46%	1.33%	3.86%	0.44%	2.36%	1.17%	0.49%	3.84%	2.18%	0.38%	1.12%	0.53%	2.53%	0.80%	2.0%	2.43%	1.01%	0.0%	0.0%	0.62%	1.74%	3.23%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	112	12	10	9	0	1	3	7	3	2	1	1	0	0	1	0	1	1	0	0	2	10	0	0	2	4	5	2	0	0	0	0	1	0	1	3	0	2	4	7	3	0	6	2	3	3					
		0.75%	0.95%	0.79%	0.59%	0.0%	0.32%	1.58%	2.57%	0.48%	3.57%	0.40%	0.67%	0.0%	0.0%	0.84%	0.0%	0.26%	0.39%	0.0%	0.0%	0.52%	1.76%	0.0%	0.0%	0.73%	1.78%	2.76%	0.89%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.28%	0.80%	0.0%	0.40%	2.0%	5.69%	0.76%	0.0%	3.06%	0.62%	1.31%	0.69%					
22	"5. ""За Русь Святую"""	70	10	6	14	0	0	1	1	2	1	1	1	0	0	0	2	2	2	1	0	0	3	2	1	0	1	0	0	2	0	0	1	3	1	0	1	1	2	1	0	0	2	0	2	0	3					
		0.47%	0.79%	0.47%	0.92%	0.0%	0.0%	0.52%	0.36%	0.32%	1.78%	0.40%	0.67%	0.0%	0.0%	0.0%	1.48%	0.53%	0.79%	0.57%	0.0%	0.0%	0.53%	1.08%	1.21%	0.0%	0.44%	0.0%	0.0%	1.57%	0.0%	0.0%	0.42%	1.63%	0.38%	0.0%	0.26%	1.26%	0.40%	0.5%	0.0%	0.0%	0.75%	0.0%	0.62%	0.0%	0.69%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	1	6	3	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	2	2	1					
		0.18%	0.07%	0.47%	0.19%	0.0%	0.0%	0.0%	0.36%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.28%	0.26%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.26%	0.0%	0.20%	1.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.87%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	4	9	3	0	1	0	0	3	0	0	0	2	1	2	0	0	0	1	0	0	3	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0					
		0.26%	0.31%	0.71%	0.19%	0.0%	0.32%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.50%	0.60%	1.68%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.53%	0.0%	1.21%	0.73%	0.44%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.43%	0.0%					
25	"8. ""Народно-республиканская партия России"""	36	1	2	5	0	2	0	2	2	0	1	1	0	0	0	0	2	1	0	0	1	0	1	1	2	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	3					
		0.24%	0.07%	0.15%	0.33%	0.0%	0.64%	0.0%	0.73%	0.32%	0.0%	0.40%	0.67%	0.0%	0.0%	0.0%	0.0%	0.53%	0.39%	0.0%	0.0%	0.26%	0.0%	0.54%	1.21%	0.73%	0.44%	0.0%	0.0%	0.78%	0.0%	0.0%	0.42%	0.0%	0.38%	0.0%	0.26%	0.0%	0.0%	0.5%	0.81%	0.0%	0.0%	0.0%	0.31%	0.43%	0.69%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	4	2	6	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	4	0	0	1	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	1	2					
