Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Очерская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  2601	УИК  2602	УИК  2603	УИК  2605	УИК  2606	УИК  2607	УИК  2608	УИК  2609	УИК  2610	УИК  2611	УИК  2612	УИК  2613	УИК  2614	УИК  2615	УИК  2616	УИК  2617	УИК  2618	УИК  2619	УИК  2620	УИК  2621	УИК  2622	УИК  2623	УИК  2624	УИК  2625	УИК  2626	УИК  2627	УИК  2628					
1	"Число избирателей, внесенных в списки"	18869	1422	1517	1192	1255	1391	776	705	1640	1044	646	1534	1259	238	328	474	418	112	189	404	431	378	313	94	77	550	308	174					
2	"Число бюллетеней, полученных участковыми комиссиями"	19040	1420	1500	1180	1270	1370	770	700	1600	1030	650	1500	1270	240	360	500	450	125	200	420	460	410	340	100	80	580	330	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10782	721	801	744	782	911	374	374	917	578	355	898	704	122	119	287	225	96	134	199	272	223	218	37	62	273	212	144					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1154	41	55	17	52	39	32	38	112	46	21	53	50	40	144	35	35	4	18	51	32	64	16	39	4	93	11	12					
6	Число погашенных бюллетеней	7104	658	644	419	436	420	364	288	571	406	274	549	516	78	97	178	190	25	48	170	156	123	106	24	14	214	107	29					
7	Число бюллетеней в переносных ящиках для голосования	1154	41	55	17	52	39	32	38	112	46	21	53	50	40	144	35	35	4	18	51	32	64	16	39	4	93	11	12					
8	Число бюллетеней в стационарных ящиках для голосования	10780	720	801	743	782	911	374	374	917	578	355	898	704	122	119	287	225	96	134	199	272	223	218	37	62	273	212	144					
9	Число недействительных бюллетеней	250	13	19	11	20	9	11	6	3	5	14	17	15	8	1	9	7	4	4	8	10	4	8	0	5	15	13	11					
10	Число действительных бюллетеней	11684	748	837	749	814	941	395	406	1026	619	362	934	739	154	262	313	253	96	148	242	294	283	226	76	61	351	210	145					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	309	25	20	25	15	20	5	10	20	15	10	15	15	5	5	10	8	3	3	10	8	8	13	3	3	19	8	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	219	20	15	20	11	20	2	4	18	12	7	15	14	1	2	7	6	1	1	2	2	6	9	0	0	14	2	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	176	5	18	16	10	17	6	13	12	16	4	7	9	1	11	3	3	0	1	3	3	3	2	0	1	5	1	6					
14	Число погашенных открепительных удостоверений	90	5	5	5	4	0	3	6	2	3	3	0	1	4	3	3	2	2	2	8	6	2	4	3	3	5	6	0					
15	Число открепительных удостоверений выданных ТИК	35	3	6	0	2	1	0	2	2	6	3	3	2	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	196	5	6	8	14	9	14	6	13	13	7	17	10	2	7	9	5	1	6	8	1	10	4	2	3	9	6	1					
		1.64%	0.65%	0.70%	1.05%	1.67%	0.94%	3.44%	1.45%	1.26%	2.08%	1.86%	1.78%	1.32%	1.23%	2.66%	2.79%	1.92%	1.0%	3.94%	3.2%	0.32%	3.48%	1.70%	2.63%	4.54%	2.45%	2.69%	0.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	541	38	33	49	28	49	22	23	59	45	20	30	21	6	7	18	6	3	2	20	9	8	11	3	1	13	12	5					
		4.53%	4.99%	3.85%	6.44%	3.35%	5.15%	5.41%	5.58%	5.73%	7.21%	5.31%	3.15%	2.78%	3.70%	2.66%	5.59%	2.30%	3.0%	1.31%	8.0%	2.96%	2.78%	4.70%	3.94%	1.51%	3.55%	5.38%	3.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	601	57	36	16	31	66	23	17	102	27	15	57	42	11	10	13	6	2	13	5	11	6	12	2	1	11	7	2					
		5.03%	7.49%	4.20%	2.10%	3.71%	6.94%	5.66%	4.12%	9.91%	4.32%	3.98%	5.99%	5.57%	6.79%	3.80%	4.03%	2.30%	2.0%	8.55%	2.0%	3.61%	2.09%	5.12%	2.63%	1.51%	3.00%	3.13%	1.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	422	28	38	49	38	39	14	8	44	14	21	40	30	5	5	8	2	1	1	2	3	2	6	0	2	15	5	2					
		3.53%	3.67%	4.43%	6.44%	4.55%	4.10%	3.44%	1.94%	4.27%	2.24%	5.58%	4.20%	3.97%	3.08%	1.90%	2.48%	0.76%	1.0%	0.65%	0.8%	0.98%	0.69%	2.56%	0.0%	3.03%	4.09%	2.24%	1.28%					
22	"5. ""За Русь Святую"""	79	7	4	3	3	4	5	5	4	3	5	5	8	1	1	1	3	1	0	5	2	2	3	0	0	2	2	0					
		0.66%	0.91%	0.46%	0.39%	0.35%	0.42%	1.23%	1.21%	0.38%	0.48%	1.32%	0.52%	1.06%	0.61%	0.38%	0.31%	1.15%	1.0%	0.0%	2.0%	0.65%	0.69%	1.28%	0.0%	0.0%	0.54%	0.89%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	81	3	7	5	4	6	7	6	1	2	6	6	2	2	1	5	3	0	3	1	1	3	2	1	0	2	2	0					
		0.67%	0.39%	0.81%	0.65%	0.47%	0.63%	1.72%	1.45%	0.09%	0.32%	1.59%	0.63%	0.26%	1.23%	0.38%	1.55%	1.15%	0.0%	1.97%	0.4%	0.32%	1.04%	0.85%	1.31%	0.0%	0.54%	0.89%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	360	20	27	27	33	36	7	15	45	29	10	27	35	2	7	7	6	1	2	2	9	5	2	0	0	2	2	2					
		3.01%	2.62%	3.15%	3.55%	3.95%	3.78%	1.72%	3.64%	4.37%	4.64%	2.65%	2.83%	4.64%	1.23%	2.66%	2.17%	2.30%	1.0%	1.31%	0.8%	2.96%	1.74%	0.85%	0.0%	0.0%	0.54%	0.89%	1.28%					
25	"8. ""Народно-республиканская партия России"""	15	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	3	0	0	0	0	0	0	3	0					
		0.12%	0.0%	0.11%	0.13%	0.11%	0.0%	0.0%	0.24%	0.09%	0.0%	0.0%	0.10%	0.13%	0.0%	0.0%	0.31%	0.0%	1.0%	0.0%	1.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.34%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	39	4	4	4	1	3	0	1	1	3	2	5	3	0	2	1	1	0	1	0	0	0	0	0	0	2	1	0					
		0.32%	0.52%	0.46%	0.52%	0.11%	0.31%	0.0%	0.24%	0.09%	0.48%	0.53%	0.52%	0.39%	0.0%	0.76%	0.31%	0.38%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.44%	0.0%					
27	"10. ""Аграрная партия России"""	749	26	44	45	44	35	17	21	39	25	15	37	31	15	45	29	11	4	16	25	65	54	23	3	9	40	25	6					
		6.27%	3.41%	5.14%	5.92%	5.27%	3.68%	4.18%	5.09%	3.79%	4.00%	3.98%	3.89%	4.11%	9.25%	17.11%	9.00%	4.23%	4.0%	10.52%	10.0%	21.38%	18.81%	9.82%	3.94%	13.63%	10.92%	11.21%	3.84%					
28	"11. ""Истинные патриоты России"""	13	0	1	3	1	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0					
		0.10%	0.0%	0.11%	0.39%	0.11%	0.0%	0.0%	0.0%	0.09%	0.16%	0.0%	0.10%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	1.31%	0.0%	0.27%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	106	4	8	2	8	4	5	5	8	5	4	8	10	0	0	2	3	3	3	4	4	0	5	1	0	6	1	3					
		0.88%	0.52%	0.93%	0.26%	0.95%	0.42%	1.23%	1.21%	0.77%	0.80%	1.06%	0.84%	1.32%	0.0%	0.0%	0.62%	1.15%	3.0%	1.97%	1.6%	1.31%	0.0%	2.13%	1.31%	0.0%	1.63%	0.44%	1.92%					
30	"13. ""Демократическая партия России"""	41	2	2	3	3	3	2	0	4	3	3	3	2	0	1	3	0	1	0	1	2	0	1	0	0	1	0	1					
		0.34%	0.26%	0.23%	0.39%	0.35%	0.31%	0.49%	0.0%	0.38%	0.48%	0.79%	0.31%	0.26%	0.0%	0.38%	0.93%	0.0%	1.0%	0.0%	0.4%	0.65%	0.0%	0.42%	0.0%	0.0%	0.27%	0.0%	0.64%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	1	6	2	3	2	0	0	1	2	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	2	3	0					
		0.23%	0.13%	0.70%	0.26%	0.35%	0.21%	0.0%	0.0%	0.09%	0.32%	0.0%	0.31%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.54%	1.34%	0.0%					
32	"15. ""Партия СЛОН"""	132	13	8	8	17	16	5	3	15	10	2	6	7	0	2	2	1	1	2	2	2	0	5	0	0	2	1	2					
		1.10%	1.70%	0.93%	1.05%	2.03%	1.68%	1.23%	0.72%	1.45%	1.60%	0.53%	0.63%	0.92%	0.0%	0.76%	0.62%	0.38%	1.0%	1.31%	0.8%	0.65%	0.0%	2.13%	0.0%	0.0%	0.54%	0.44%	1.28%					
33	"16. ""Родина"" (народно-патриотический союз)"""	624	47	44	34	58	71	21	12	58	35	11	72	58	7	4	15	18	7	3	13	3	4	16	0	2	6	5	0					
