Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Вольская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773					
1	"Число избирателей, внесенных в список избирателей"	70122	2030	1480	1734	2141	512	900	1358	1798	548	946	896	761	2114	1087	646	327	153	870	1530	1404	1112	2084	498	1692	1104	1079	1558	1943	1624	1677	1446	1087	1452	964	790	2233	123	379	1842	2020	127	503	821	450	167	683	597	112	677	146	153	158	775	410	380	1355	1884	1444	7	496	360	190	1019	328	656	247	143	225	2411	288	367	739	340	225	333	150	111	373	330					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73415	2000	1600	1800	2000	550	1000	1000	1800	500	960	900	750	2000	1100	700	350	160	870	1550	1300	1150	2100	500	1700	1980	1800	1550	2000	1700	1680	1400	1100	1700	960	800	2200	120	700	2000	2200	150	500	800	490	170	750	640	110	700	140	160	160	820	400	380	1570	2060	1570	50	530	370	180	1040	350	660	250	135	230	2460	290	390	730	350	220	360	150	120	400	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45184	1795	584	1202	1044	201	538	694	1112	297	451	395	546	1295	567	281	170	85	459	819	1172	775	1839	314	988	974	844	815	1183	898	1029	828	782	1024	563	737	1294	92	335	1513	1760	127	195	437	337	119	497	435	75	532	119	97	93	667	278	163	669	1150	760	7	302	298	135	786	271	521	156	105	153	1463	189	212	443	198	120	262	100	77	225	117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7129	72	327	96	85	63	57	56	139	35	97	142	44	101	100	131	66	37	97	155	49	101	148	39	212	17	15	52	397	45	93	51	84	213	161	40	395	10	16	137	79	0	279	81	111	9	104	110	22	56	18	43	49	87	60	66	64	33	147	0	58	56	41	127	22	83	59	13	8	248	74	102	140	69	23	50	33	20	117	193					
6	Число погашенных избирательных бюллетеней	21102	133	689	502	871	286	405	250	549	168	412	363	160	604	433	288	114	38	314	576	79	274	113	147	500	989	941	683	420	757	558	521	234	463	236	23	511	18	349	350	361	23	26	282	42	42	149	95	13	112	3	20	18	66	62	151	837	877	663	43	170	16	4	127	57	56	35	17	69	749	27	76	147	83	77	48	17	23	58	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7129	72	327	96	85	63	57	56	139	35	97	142	44	101	100	131	66	37	97	155	49	101	148	39	212	17	15	52	397	45	93	51	84	213	161	40	395	10	16	137	79	0	279	81	111	9	104	110	22	56	18	43	49	87	60	66	64	33	147	0	58	56	41	127	22	83	59	13	8	248	74	102	140	69	23	50	33	20	117	193					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45184	1795	584	1202	1044	201	538	694	1112	297	451	395	546	1295	567	281	170	85	459	819	1172	775	1839	314	988	974	844	815	1183	898	1029	828	782	1024	563	737	1294	92	335	1513	1760	127	195	437	337	119	497	435	75	532	119	97	93	667	278	163	669	1150	760	7	302	298	135	786	271	521	156	105	153	1463	189	212	443	198	120	262	100	77	225	117					
9	Число недействительных избирательных бюллетеней	380	0	0	15	15	4	6	13	0	4	0	1	7	24	7	2	1	3	8	7	0	10	21	7	3	8	12	3	15	12	15	7	8	0	5	0	3	1	4	0	0	0	4	19	2	2	7	2	0	0	0	0	0	0	3	6	12	19	19	0	7	0	2	0	4	5	0	0	4	4	0	1	0	3	0	0	0	2	2	0					
10	Число действительных избирательных бюллетеней	51933	1867	911	1283	1114	260	589	737	1251	328	548	536	583	1372	660	410	235	119	548	967	1221	866	1966	346	1197	983	847	864	1565	931	1107	872	858	1237	719	777	1686	101	347	1650	1839	127	470	499	446	126	594	543	97	588	137	140	142	754	335	223	721	1164	888	7	353	354	174	913	289	599	215	118	157	1707	263	313	583	264	143	312	133	95	340	310					
