Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
"Наименование Избирательной комиссии:    Архангельск, Ломоносовская"																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №50									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54018	1112	2425	2061	2493	2582	1857	1974	2408	1281	1916	2190	1612	2586	2303	1978	2210	2115	2253	2387	2161	2402	1937	2514	2252	2825	106	54	24									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51275	900	2300	2000	2400	2500	1700	2000	2300	1000	1800	2000	1500	2500	2200	2000	2100	2100	2200	2300	2100	2300	1800	2400	2100	2600	97	54	24									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18878	440	765	622	936	955	579	696	751	505	674	727	529	735	763	582	803	848	787	892	867	937	717	983	677	994	38	52	24									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	242	1	8	12	15	15	5	13	5	4	8	3	6	5	3	17	5	6	4	4	17	8	5	5	7	7	54	0	0									
6	Число погашенных избирательных бюллетеней	32155	459	1527	1366	1449	1530	1116	1291	1544	491	1118	1270	965	1760	1434	1401	1292	1246	1409	1404	1216	1355	1078	1412	1416	1599	5	2	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	242	1	8	12	15	15	5	13	5	4	8	3	6	5	3	17	5	6	4	4	17	8	5	5	7	7	54	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18861	440	765	620	936	952	578	696	750	504	671	727	529	735	763	582	803	847	786	891	867	937	717	983	677	991	38	52	24									
9	Число недействительных избирательных бюллетеней	260	12	5	7	15	8	12	5	11	6	15	10	7	9	8	8	14	11	14	12	17	13	13	6	11	10	1	0	0									
10	Число действительных избирательных бюллетеней	18843	429	768	625	936	959	571	704	744	502	664	720	528	731	758	591	794	842	776	883	867	932	709	982	673	988	91	52	24									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	920	20	35	30	35	35	40	30	40	55	40	45	25	40	35	35	40	40	35	40	40	25	35	35	40	50	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	491	8	23	23	20	25	19	14	9	26	19	24	9	20	15	15	21	17	24	24	23	21	25	27	17	23	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	460	11	15	30	12	10	15	20	16	55	17	21	16	10	14	12	8	13	15	10	8	19	16	17	7	24	38	7	4									
14	Число погашенных неиспользованных открепительных удостоверений	429	12	12	7	15	10	21	16	31	29	21	21	16	20	20	20	19	23	11	16	17	4	10	8	23	27	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	1	0	6	0	2	0	6	3	2	1	0	2	2	1	3	1	2	1	3	1	1	0	3	4	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	420	11	15	16	11	19	14	16	15	8	19	27	7	15	21	5	25	10	19	29	16	21	21	22	12	25	0	1	0									
		2.20%	2.49%	1.94%	2.53%	1.16%	1.96%	2.40%	2.26%	1.99%	1.57%	2.80%	3.70%	1.31%	2.03%	2.74%	0.83%	3.09%	1.17%	2.41%	3.24%	1.81%	2.22%	2.91%	2.23%	1.75%	2.51%	0.00%	1.92%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	251	6	7	8	8	13	11	8	13	4	9	9	9	12	7	10	6	11	17	10	11	14	7	13	10	17	0	1	0									
		1.31%	1.36%	0.91%	1.27%	0.84%	1.34%	1.89%	1.13%	1.72%	0.79%	1.33%	1.23%	1.68%	1.62%	0.91%	1.67%	0.74%	1.29%	2.15%	1.12%	1.24%	1.48%	0.97%	1.32%	1.46%	1.70%	0.00%	1.92%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	529	5	17	15	18	29	11	20	27	10	22	23	15	28	23	14	21	29	20	31	25	24	17	35	24	19	2	4	1									
		2.77%	1.13%	2.20%	2.37%	1.89%	2.99%	1.89%	2.82%	3.58%	1.97%	3.24%	3.15%	2.80%	3.78%	3.00%	2.34%	2.60%	3.40%	2.53%	3.46%	2.83%	2.54%	2.35%	3.54%	3.51%	1.90%	2.17%	7.69%	4.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6678	162	284	223	369	343	194	264	254	236	247	227	187	254	240	231	257	271	237	278	299	323	250	352	243	365	55	19	14									
		34.96%	36.73%	36.74%	35.28%	38.80%	35.47%	33.28%	37.24%	33.64%	46.46%	36.38%	31.10%	34.95%	34.32%	31.33%	38.56%	31.81%	31.77%	30.00%	31.06%	33.82%	34.18%	34.63%	35.63%	35.53%	36.57%	59.78%	36.54%	58.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	249	9	10	11	10	14	6	13	8	5	13	14	6	7	17	8	14	8	11	10	6	8	6	11	6	14	3	1	0									
		1.30%	2.04%	1.29%	1.74%	1.05%	1.45%	1.03%	1.83%	1.06%	0.98%	1.91%	1.92%	1.12%	0.95%	2.22%	1.34%	1.73%	0.94%	1.39%	1.12%	0.68%	0.85%	0.83%	1.11%	0.88%	1.40%	3.26%	1.92%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	0	0	4	1	1	3	0	0	1	1	2	3	0	0	1	1	1	2	2	1	2	1	0	4	2	0	0	0									
		0.17%	0.00%	0.00%	0.63%	0.11%	0.10%	0.51%	0.00%	0.00%	0.20%	0.15%	0.27%	0.56%	0.00%	0.00%	0.17%	0.12%	0.12%	0.25%	0.22%	0.11%	0.21%	0.14%	0.00%	0.58%	0.20%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3317	76	147	93	157	189	116	106	145	84	127	132	85	158	150	79	122	176	143	157	155	169	125	127	120	149	14	9	7									
		17.36%	17.23%	19.02%	14.72%	16.51%	19.54%	19.90%	14.95%	19.21%	16.54%	18.70%	18.08%	15.89%	21.35%	19.58%	13.19%	15.10%	20.63%	18.10%	17.54%	17.53%	17.88%	17.31%	12.85%	17.54%	14.93%	15.22%	17.31%	29.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	278	10	10	12	10	16	11	18	13	5	4	17	8	6	15	9	9	8	13	7	11	11	12	14	14	11	1	3	0									
		1.46%	2.27%	1.29%	1.90%	1.05%	1.65%	1.89%	2.54%	1.72%	0.98%	0.59%	2.33%	1.50%	0.81%	1.96%	1.50%	1.11%	0.94%	1.65%	0.78%	1.24%	1.16%	1.66%	1.42%	2.05%	1.10%	1.09%	5.77%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	449	9	7	9	26	19	11	15	20	10	8	20	21	13	21	16	13	22	20	16	18	17	20	32	23	40	1	2	0									
		2.35%	2.04%	0.91%	1.42%	2.73%	1.96%	1.89%	2.12%	2.65%	1.97%	1.18%	2.74%	3.93%	1.76%	2.74%	2.67%	1.61%	2.58%	2.53%	1.79%	2.04%	1.80%	2.77%	3.24%	3.36%	4.01%	1.09%	3.85%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	0	4	1	1	1	0	0	0	1	0	1	1	2	0	0	2	2	0	2	1	0	0	2	1	2	0	0	0									
		0.13%	0.00%	0.52%	0.16%	0.11%	0.10%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.19%	0.27%	0.00%	0.00%	0.25%	0.23%	0.00%	0.22%	0.11%	0.00%	0.00%	0.20%	0.15%	0.20%	0.00%	0.00%	0.00%									
