Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Ольхонская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7243	369	353	90	198	52	326	106	110	399	442	401	468	501	481	454	139	161	322	195	387	122	332	438	249	148									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7100	370	349	90	200	51	343	100	106	375	420	396	461	483	460	442	131	158	318	180	416	120	322	418	242	149									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4235	226	218	33	140	32	185	74	56	246	272	253	288	317	285	287	89	85	187	123	210	51	154	218	136	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	433	23	18	25	7	5	11	4	20	13	17	15	9	18	22	9	14	24	37	7	31	21	20	32	11	20									
6	Число погашенных избирательных бюллетеней	2432	121	113	32	53	14	147	22	30	116	131	128	164	148	153	146	28	49	94	50	175	48	148	168	95	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	433	23	18	25	7	5	11	4	20	13	17	15	9	18	22	9	14	24	37	7	31	21	20	32	11	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4235	226	218	33	140	32	185	74	56	246	272	253	288	317	285	287	89	85	187	123	210	51	154	218	136	70									
9	Число недействительных избирательных бюллетеней	117	5	4	0	4	0	3	5	6	8	8	8	7	10	8	2	0	3	7	2	11	3	2	8	3	0									
10	Число действительных избирательных бюллетеней	4551	244	232	58	143	37	193	73	70	251	281	260	290	325	299	294	103	106	217	128	230	69	172	242	144	90									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	639	25	25	25	10	10	40	10	10	40	40	40	40	40	40	40	10	10	30	40	40	15	25	12	10	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	4	2	0	3	1	20	1	3	3	7	12	11	4	7	8	2	0	8	2	9	0	0	2	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	2	3	1	1	2	3	8	4	10	14	11	17	11	7	12	5	5	6	9	4	0	5	17	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	524	21	23	25	7	9	20	9	7	37	33	28	29	36	33	32	8	10	22	38	31	15	25	10	10	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	1	2	0	2	0	0	1	0	2	3	0	2	2	0	2	0	1	3	1	24	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	9	2	0	0	1	1	1	0	0	3	1	1	5	7	2	0	2	0	0	3	0	0	4	3	0									
		0.96%	3.61%	0.85%	0.00%	0.00%	2.70%	0.51%	1.28%	0.00%	0.00%	1.04%	0.37%	0.34%	1.49%	2.28%	0.68%	0.00%	1.83%	0.00%	0.00%	1.24%	0.00%	0.00%	1.60%	2.04%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	151	6	5	1	5	1	5	2	1	14	15	7	11	11	11	7	3	1	10	5	9	2	6	7	4	2									
		3.23%	2.41%	2.12%	1.72%	3.40%	2.70%	2.55%	2.56%	1.32%	5.41%	5.19%	2.61%	3.70%	3.28%	3.58%	2.36%	2.91%	0.92%	4.46%	3.85%	3.73%	2.78%	3.45%	2.80%	2.72%	2.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	3	4	1	3	0	2	0	2	10	7	5	3	6	5	5	0	0	1	1	2	2	2	6	4	6									
		1.71%	1.20%	1.69%	1.72%	2.04%	0.00%	1.02%	0.00%	2.63%	3.86%	2.42%	1.87%	1.01%	1.79%	1.63%	1.69%	0.00%	0.00%	0.45%	0.77%	0.83%	2.78%	1.15%	2.40%	2.72%	6.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2278	101	91	31	90	16	93	36	37	118	127	135	141	152	150	162	67	69	132	55	143	46	66	120	60	40									
		48.80%	40.56%	38.56%	53.45%	61.22%	43.24%	47.45%	46.15%	48.68%	45.56%	43.94%	50.37%	47.47%	45.37%	48.86%	54.73%	65.05%	63.30%	58.93%	42.31%	59.34%	63.89%	37.93%	48.00%	40.82%	44.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	5	2	1	2	0	0	0	0	2	1	1	2	4	4	4	0	3	1	1	2	1	1	2	0	0									
		0.84%	2.01%	0.85%	1.72%	1.36%	0.00%	0.00%	0.00%	0.00%	0.77%	0.35%	0.37%	0.67%	1.19%	1.30%	1.35%	0.00%	2.75%	0.45%	0.77%	0.83%	1.39%	0.57%	0.80%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	3	3	0	1	0	1	1	0	0	1	1	1	1	4	4	0	0	0	0	0	0	1	0	0	0									
		0.47%	1.20%	1.27%	0.00%	0.68%	0.00%	0.51%	1.28%	0.00%	0.00%	0.35%	0.37%	0.34%	0.30%	1.30%	1.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	549	33	68	18	11	4	35	6	8	29	21	34	45	28	26	17	3	4	7	19	8	4	41	42	31	7									
		11.76%	13.25%	28.81%	31.03%	7.48%	10.81%	17.86%	7.69%	10.53%	11.20%	7.27%	12.69%	15.15%	8.36%	8.47%	5.74%	2.91%	3.67%	3.13%	14.62%	3.32%	5.56%	23.56%	16.80%	21.09%	7.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	6	3	0	0	2	0	0	0	1	1	3	2	1	1	0	1	0	0	1	2	1	0	0	0	1									
		0.56%	2.41%	1.27%	0.00%	0.00%	5.41%	0.00%	0.00%	0.00%	0.39%	0.35%	1.12%	0.67%	0.30%	0.33%	0.00%	0.97%	0.00%	0.00%	0.77%	0.83%	1.39%	0.00%	0.00%	0.00%	1.11%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	0	2	0	2	0	2	0	0	2	3	1	1	0	1	1	1	1	1	2	0	0	2	1	0	1									
		0.51%	0.00%	0.85%	0.00%	1.36%	0.00%	1.02%	0.00%	0.00%	0.77%	1.04%	0.37%	0.34%	0.00%	0.33%	0.34%	0.97%	0.92%	0.45%	1.54%	0.00%	0.00%	1.15%	0.40%	0.00%	1.11%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.69%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.57%	0.40%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	29	3	1	0	3	0	0	0	0	1	1	4	3	2	0	0	0	0	0	4	0	0	2	1	3	1									
		0.62%	1.20%	0.42%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	0.39%	0.35%	1.49%	1.01%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	3.08%	0.00%	0.00%	1.15%	0.40%	2.04%	1.11%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	955	45	35	5	18	12	38	23	15	61	86	51	56	86	67	77	21	15	46	33	18	7	36	46	30	28									
		20.46%	18.07%	14.83%	8.62%	12.24%	32.43%	19.39%	29.49%	19.74%	23.55%	29.76%	19.03%	18.86%	25.67%	21.82%	26.01%	20.39%	13.76%	20.54%	25.38%	7.47%	9.72%	20.69%	18.40%	20.41%	31.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	1	0	0	0	1	1	0	0	0	1	1	4	1	0	1	1	0	7	2	1	1	2	2	0	0									
		0.58%	0.40%	0.00%	0.00%	0.00%	2.70%	0.51%	0.00%	0.00%	0.00%	0.35%	0.37%	1.35%	0.30%	0.00%	0.34%	0.97%	0.00%	3.13%	1.54%	0.41%	1.39%	1.15%	0.80%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	319	29	16	1	8	0	15	4	7	12	12	16	19	28	23	14	6	11	12	5	42	4	12	10	9	4									
		6.83%	11.65%	6.78%	1.72%	5.44%	0.00%	7.65%	5.13%	9.21%	4.63%	4.15%	5.97%	6.40%	8.36%	7.49%	4.73%	5.83%	10.09%	5.36%	3.85%	17.43%	5.56%	6.90%	4.00%	6.12%	4.44%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
