Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Кыштовская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655					
1	"Число избирателей, внесенных в список"	11465	1294	705	838	1277	118	125	426	250	228	450	431	302	90	217	298	494	90	248	246	455	255	152	303	306	269	175	253	223	392	304	251					
2	Число полученных избирательных бюллетеней	11500	1272	706	852	1284	125	127	429	251	250	451	432	309	90	215	303	465	83	244	249	452	259	160	306	303	273	173	254	225	389	315	254					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7202	642	416	383	637	94	81	320	193	168	295	247	164	80	147	232	363	83	194	183	347	188	50	179	228	202	145	226	129	247	174	165					
5	"Число избирательных бюллетеней, выданных вне помещения"	954	59	31	57	106	0	20	10	20	60	29	13	65	2	10	21	10	0	0	5	0	12	86	66	32	23	6	0	49	59	72	31					
6	Число погашенных избирательных бюллетеней	3344	571	259	412	541	31	26	99	38	22	127	172	80	8	58	50	92	0	50	61	105	59	24	61	43	48	22	28	47	83	69	58					
7	Число избирательных бюллетеней в переносных ящиках	954	59	31	57	106	0	20	10	20	60	29	13	65	2	10	21	10	0	0	5	0	12	86	66	32	23	6	0	49	59	72	31					
8	Число бюллетеней в стационарных ящиках для голосования	7202	642	416	383	637	94	81	320	193	168	295	247	164	80	147	232	363	83	194	183	347	188	50	179	228	202	145	226	129	247	174	165					
9	Число недействительных избирательных бюллетеней	101	5	4	2	5	0	0	4	4	1	7	0	6	0	0	6	5	2	2	1	0	2	4	1	10	4	4	2	8	6	2	4					
10	Число действительных избирательных бюллетеней	8055	696	443	438	738	94	101	326	209	227	317	260	223	82	157	247	368	81	192	187	347	198	132	244	250	221	147	224	170	300	244	192					
