Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Когалымская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41947	1938	1986	2018	1769	1960	1939	2143	2144	1933	1981	2190	2011	1920	1874	1718	1980	1996	2142	2007	1681	529	2088									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39150	1800	1850	1750	1650	1900	1900	1900	2000	1950	1750	2000	1950	1800	1750	1650	1750	1850	2100	1900	1600	450	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17528	900	805	766	807	751	887	1028	946	767	971	806	825	770	849	705	907	911	733	742	617	214	821									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	61	2	5	0	6	2	6	5	1	4	2	5	0	1	2	1	4	4	5	3	2	0	1									
6	Число погашенных избирательных бюллетеней	21561	898	1040	984	837	1147	1007	867	1053	1179	777	1189	1125	1029	899	944	839	935	1362	1155	981	236	1078									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	61	2	5	0	6	2	6	5	1	4	2	5	0	1	2	1	4	4	5	3	2	0	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17488	900	805	766	794	751	887	1028	946	761	958	806	825	769	849	703	907	911	733	739	616	214	820									
9	Число недействительных избирательных бюллетеней	580	21	30	25	19	20	59	36	27	31	25	41	18	21	32	18	28	29	28	19	18	9	26									
10	Число действительных избирательных бюллетеней	16969	881	780	741	781	733	834	997	920	734	935	770	807	749	819	686	883	886	710	723	600	205	795									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	470	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	20	10	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	294	16	14	11	18	14	19	22	16	13	10	15	10	12	18	16	12	14	12	11	9	3	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1141	126	61	13	34	15	67	152	127	4	111	18	9	3	138	4	8	29	24	22	26	31	119									
14	Число погашенных неиспользованных открепительных удостоверений	176	6	8	11	4	8	3	0	6	9	12	7	12	10	4	6	10	8	10	11	11	7	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	390	13	25	21	21	28	15	35	14	11	23	20	15	19	20	25	19	16	7	21	4	5	13									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	239	12	9	14	18	14	20	10	18	9	7	10	7	6	13	12	12	8	6	11	15	1	7									
