Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Знаменская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63					
1	"Число избирателей, внесенных в списки"	16074	576	494	432	802	292	2000	736	417	442	177	102	1058	210	505	122	74	666	108	409	278	719	162	1663	1870	1760					
2	"Число бюллетеней, полученных участковыми комиссиями"	15921	573	493	435	813	283	2000	735	408	442	175	103	1060	205	508	124	78	670	110	420	273	710	163	1600	1740	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7563	260	236	210	397	92	1380	351	173	204	78	60	397	96	193	35	41	319	42	158	78	318	68	818	777	782					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1595	42	67	78	66	78	16	100	89	35	48	23	135	49	72	49	14	107	36	87	100	86	26	47	92	53					
6	Число погашенных бюллетеней	6763	271	190	147	350	113	604	284	146	203	49	20	528	60	243	40	23	244	32	175	95	306	69	735	871	965					
7	Число бюллетеней в переносных ящиках для голосования	1595	42	67	78	66	78	16	100	89	35	48	23	135	49	72	49	14	107	36	87	100	86	26	47	92	53					
8	Число бюллетеней в стационарных ящиках для голосования	7550	260	236	210	396	92	1380	351	173	204	78	60	397	96	193	35	41	319	42	158	78	318	68	818	765	782					
9	Число недействительных бюллетеней	296	16	5	8	18	4	26	8	4	6	3	1	22	3	7	0	5	25	0	13	5	20	30	21	21	25					
10	Число действительных бюллетеней	8849	286	298	280	444	166	1370	443	258	233	123	82	510	142	258	84	50	401	78	232	173	384	64	844	836	810					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	143	2	3	3	5	2	35	2	2	2	2	2	2	2	2	2	2	2	3	2	5	3	0	25	22	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	61	0	0	0	4	0	31	0	2	0	0	0	1	0	0	0	0	1	0	0	2	3	0	7	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	0	4	0	0	4	0	2	3	1	1	1	2	0	1	0	0	0	1	2	3	0	0	6	0	2					
14	Число погашенных открепительных удостоверений	82	2	3	3	1	2	4	2	0	2	2	2	1	2	2	2	2	1	3	2	3	0	0	18	14	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	159	1	5	4	2	8	24	4	5	5	2	3	13	5	5	1	2	8	1	5	4	9	3	19	9	12					
		1.73%	0.33%	1.65%	1.38%	0.43%	4.70%	1.71%	0.88%	1.90%	2.09%	1.58%	3.61%	2.44%	3.44%	1.88%	1.19%	3.63%	1.87%	1.28%	2.04%	2.24%	2.22%	3.19%	2.19%	1.05%	1.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	80	0	0	4	3	1	16	5	2	1	0	2	2	1	2	2	0	1	1	2	2	0	2	7	13	11					
		0.87%	0.0%	0.0%	1.38%	0.64%	0.58%	1.14%	1.10%	0.76%	0.41%	0.0%	2.40%	0.37%	0.68%	0.75%	2.38%	0.0%	0.23%	1.28%	0.81%	1.12%	0.0%	2.12%	0.80%	1.51%	1.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	532	12	13	22	47	20	83	15	16	7	2	9	43	6	12	8	1	17	3	9	18	21	7	44	52	45					
		5.81%	3.97%	4.29%	7.63%	10.17%	11.76%	5.94%	3.32%	6.10%	2.92%	1.58%	10.84%	8.08%	4.13%	4.52%	9.52%	1.81%	3.99%	3.84%	3.67%	10.11%	5.19%	7.44%	5.08%	6.06%	5.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	144	2	4	4	3	2	36	5	3	6	0	3	2	1	1	1	1	5	0	3	6	3	3	15	20	15					
		1.57%	0.66%	1.32%	1.38%	0.64%	1.17%	2.57%	1.10%	1.14%	2.51%	0.0%	3.61%	0.37%	0.68%	0.37%	1.19%	1.81%	1.17%	0.0%	1.22%	3.37%	0.74%	3.19%	1.73%	2.33%	1.79%					
22	"5. ""За Русь Святую"""	64	4	1	2	2	1	10	0	3	2	4	0	3	3	0	2	0	3	0	6	7	1	0	2	5	3					
		0.69%	1.32%	0.33%	0.69%	0.43%	0.58%	0.71%	0.0%	1.14%	0.83%	3.17%	0.0%	0.56%	2.06%	0.0%	2.38%	0.0%	0.70%	0.0%	2.44%	3.93%	0.24%	0.0%	0.23%	0.58%	0.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	1	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	2	4	7	0	3	1	3					
		0.30%	0.33%	0.0%	0.34%	0.0%	0.0%	0.14%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	2.56%	0.81%	2.24%	1.73%	0.0%	0.34%	0.11%	0.35%					
24	"7. ""Новый курс - Автомобильная Россия"""	45	3	0	1	2	0	13	5	0	0	1	1	0	0	0	2	1	2	0	0	2	1	1	1	4	5					
		0.49%	0.99%	0.0%	0.34%	0.43%	0.0%	0.93%	1.10%	0.0%	0.0%	0.79%	1.20%	0.0%	0.0%	0.0%	2.38%	1.81%	0.46%	0.0%	0.0%	1.12%	0.24%	1.06%	0.11%	0.46%	0.59%					
25	"8. ""Народно-республиканская партия России"""	19	1	0	2	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	1	2	1					
