Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Суворовская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28276	959	967	1060	1087	982	964	1082	955	1010	1015	895	1050	1087	1077	655	410	301	371	520	321	1106	793	989	210	191	325	367	81	175	182	77	526	221	162	88	87	136	200	88	270	1074	354	943	555	253	464	446	222	338	585									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28373	961	980	1072	1069	990	984	1096	971	1035	1012	909	1054	1089	1045	604	409	309	377	526	327	1124	807	1012	206	200	332	357	81	183	200	77	527	223	170	87	87	134	200	90	283	1082	357	954	526	262	389	449	224	345	586									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16694	611	612	709	816	418	424	487	450	555	787	381	449	446	488	273	114	206	249	393	237	820	542	753	141	149	222	175	43	78	136	52	345	144	118	67	70	85	75	56	109	756	264	682	405	144	204	228	118	241	367									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2102	69	52	45	31	39	17	23	19	17	19	5	12	17	92	99	76	33	39	28	19	35	44	23	15	21	73	57	18	50	10	6	46	30	13	13	7	21	77	20	128	80	38	63	35	55	129	116	49	23	56									
6	Число погашенных избирательных бюллетеней	9577	281	316	318	222	533	543	586	502	463	206	523	593	626	465	232	219	70	89	105	71	269	221	236	50	30	37	125	20	55	54	19	136	49	39	7	10	28	48	14	46	246	55	209	86	63	56	105	57	81	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2102	69	52	45	31	39	17	23	19	17	19	5	12	17	92	99	76	33	39	28	19	35	44	23	15	21	73	57	18	50	10	6	46	30	13	13	7	21	77	20	128	80	38	63	35	55	129	116	49	23	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16693	611	612	709	816	418	424	487	450	555	787	380	449	446	488	273	114	206	249	393	237	820	542	753	141	149	222	175	43	78	136	52	345	144	118	67	70	85	75	56	109	756	264	682	405	144	204	228	118	241	367									
9	Число недействительных избирательных бюллетеней	163	11	0	15	6	3	13	9	8	10	9	8	9	9	2	0	1	0	2	0	0	11	1	3	0	2	0	1	0	0	0	1	2	3	0	0	0	0	0	0	0	7	0	2	3	0	2	3	1	2	4									
10	Число действительных избирательных бюллетеней	18632	669	664	739	841	454	428	501	461	562	797	377	452	454	578	372	189	239	286	421	256	844	585	773	156	168	295	231	61	128	146	57	389	171	131	80	77	106	152	76	237	829	302	743	437	199	331	341	166	262	419									
