Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Агаповская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
1	"Число избирателей, внесенных в список избирателей"	27783	1903	2003	1552	452	328	2282	751	528	235	181	300	270	670	976	270	907	636	264	188	423	170	95	1480	335	1094	613	360	459	1859	508	505	334	796	247	224	180	201	303	175	120	744	176	1182	504					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26740	1800	1950	1500	450	300	2300	700	500	200	150	300	250	650	950	250	900	600	250	150	400	150	90	1500	300	1000	600	350	450	1900	500	500	300	800	250	200	150	200	300	150	100	750	150	1000	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16914	1145	1117	919	255	190	1285	387	263	149	130	233	143	342	831	141	502	292	127	91	189	99	80	894	245	569	345	193	245	1071	284	303	188	742	177	113	100	122	164	115	62	701	121	921	329					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1044	73	60	48	3	13	25	38	5	9	3	7	23	24	49	14	51	26	30	7	25	15	0	31	13	54	35	25	32	49	22	8	16	37	3	21	22	9	6	9	0	31	10	26	37					
6	Число погашенных избирательных бюллетеней	8782	582	773	533	192	97	990	275	232	42	17	60	84	284	70	95	347	282	93	52	186	36	10	575	42	377	220	132	173	780	194	189	96	21	70	66	28	69	130	26	38	18	19	53	134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1044	73	60	48	3	13	25	38	5	9	3	7	23	24	49	14	51	26	30	7	25	15	0	31	13	54	35	25	32	49	22	8	16	37	3	21	22	9	6	9	0	31	10	26	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16914	1145	1117	919	255	190	1285	387	263	149	130	233	143	342	831	141	502	292	127	91	189	99	80	894	245	569	345	193	245	1071	284	303	188	742	177	113	100	122	164	115	62	701	121	921	329					
9	Число недействительных избирательных бюллетеней	290	19	20	17	3	2	25	9	2	2	1	2	1	8	7	2	9	5	4	2	2	3	0	20	8	15	8	4	3	24	4	9	4	3	2	4	2	2	5	0	1	3	4	18	2					
10	Число действительных избирательных бюллетеней	17668	1199	1157	950	255	201	1285	416	266	156	132	238	165	358	873	153	544	313	153	96	212	111	80	905	250	608	372	214	274	1096	302	302	200	776	178	130	120	129	165	124	61	729	127	929	364					
