Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Новолакская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124					
1	"Число избирателей, внесенных в списки избирателей"	16210	272	380	457	494	725	382	1131	224	744	976	289	70	1106	1536	1283	182	82	660	1495	851	725	1063	141	178	310	454					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15745	271	380	460	490	730	382	1050	224	740	950	285	70	1100	1400	1200	179	82	659	1450	830	730	1000	141	177	311	454					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15165	257	380	428	476	672	367	1006	224	684	910	271	62	1049	1400	1199	175	82	597	1422	821	692	982	126	166	288	429					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	49	3	0	12	0	0	15	0	0	11	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	531	11	0	20	14	58	0	44	0	45	40	14	8	44	0	0	4	0	62	28	9	38	18	15	11	23	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	49	3	0	12	0	0	15	0	0	11	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15151	257	380	428	476	672	367	992	224	684	910	271	62	1049	1400	1199	175	82	597	1422	821	692	982	126	166	288	429					
9	Число недействительных избирательных бюллетеней	19	0	0	0	3	0	0	1	0	0	4	0	0	0	5	0	1	0	0	0	0	4	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	15181	260	380	440	473	672	382	991	224	695	906	271	62	1056	1395	1200	174	82	597	1422	821	688	981	126	166	288	429					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	5	7	9	9	14	7	21	4	14	18	5	2	21	29	24	3	2	12	25	15	14	20	2	3	6	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	12	0	0	0	0	0	1	1	0	0	0	0	0	1	1	5	0	0	0	0	0	0	2	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	288	5	7	9	9	14	6	20	4	14	18	5	2	20	28	19	3	2	12	25	15	14	18	2	2	6	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	6	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%					
