Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    район Чертаново Южное																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №3736									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91444	2314	2446	2178	2399	2491	2430	2135	1933	2241	2547	2687	3101	2205	2512	2267	2222	2246	2107	1833	2366	2239	2650	2251	1672	2488	2158	2367	1941	2199	2382	2451	1894	2571	2466	1711	1814	1818	2843	1860	2741	268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63650	1600	1700	1500	1700	1700	1500	1300	1500	1500	1800	1900	2100	1600	1800	1600	1500	1600	1500	1300	1600	1600	1900	1600	1200	1700	1500	1700	1400	1500	1700	1700	1300	1800	1600	1200	1200	1300	2000	1300	1900	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30661	791	853	696	1019	813	769	693	629	624	791	827	1236	974	1060	762	635	616	672	551	798	730	899	787	587	698	555	850	687	856	676	701	607	722	865	534	850	509	902	620	993	224									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	929	22	42	28	12	35	34	16	26	19	31	20	4	5	3	40	20	102	41	28	26	36	29	40	43	25	16	28	18	18	27	13	15	7	15	14	1	13	7	5	5	0									
6	Число погашенных избирательных бюллетеней	32060	787	805	776	669	852	697	591	845	857	978	1053	860	621	737	798	845	882	787	721	776	834	972	773	570	977	929	822	695	626	997	986	678	1071	720	652	349	778	1091	675	902	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	929	22	42	28	12	35	34	16	26	19	31	20	4	5	3	40	20	102	41	28	26	36	29	40	43	25	16	28	18	18	27	13	15	7	15	14	1	13	7	5	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30588	791	839	694	1006	813	769	693	629	624	791	827	1234	974	1057	756	635	615	672	551	798	730	897	787	587	698	552	850	687	856	676	698	606	722	863	534	849	509	902	610	983	224									
9	Число недействительных избирательных бюллетеней	402	5	14	9	13	9	8	18	2	7	13	11	20	5	14	12	11	8	10	22	0	0	0	13	13	21	5	0	11	10	2	18	15	12	13	15	0	0	10	11	13	9									
10	Число действительных избирательных бюллетеней	31115	808	867	713	1005	839	795	691	653	636	809	836	1218	974	1046	784	644	709	703	557	824	766	926	814	617	702	563	878	694	864	701	693	606	717	865	533	850	522	899	604	975	215									
