Выборы Президента Российской Федерации																																																																						
Дата голосования: 02.03.2008																																																																						
																																																																						
Наименование Избирательной комиссии:    Центральная г.Краснодара																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
	Число участковых избирательных комиссий	63																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	63																																																																				
																																																																						
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
1	"Число избирателей, включенных в списки избирателей"	111667	2023	2031	2065	1411	1846	2195	1644	1932	2200	2146	1632	1696	2012	1593	1413	1890	2027	1915	2056	2425	2642	1495	1371	2315	1925	2105	1840	1903	2104	1429	1617	1543	1903	2258	2137	1962	2090	1906	1968	2155	1530	1958	2335	1995	1854	1530	2036	2401	2265	2133	2016	2040	2056	2349	2206	430	363	1367	89	1053	383	132	326					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	113670	2000	2200	2000	1500	1700	2200	1700	1900	2200	2100	1600	1600	2100	1600	1600	1900	2000	2000	2200	2500	2600	1800	1700	2200	2000	2000	1700	1800	2100	1500	1600	1600	1900	2300	2100	2000	1900	1900	1900	2100	1400	2100	2400	2000	2000	1500	2100	2400	2500	2100	2100	2000	2200	2400	2300	600	370	1500	150	1100	600	150	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	79833	1268	1531	1337	1112	1424	1618	1185	1224	1403	1483	1090	1057	1633	1198	1189	1197	1464	1435	1422	1961	2067	1428	896	1566	1320	1530	1204	1501	1743	879	1072	1167	1217	1551	1673	1705	1270	1329	1305	1474	1150	1570	1614	1469	1304	1158	1388	1493	1558	1502	1408	1396	1704	1517	1437	370	298	1367	0	453	308	114	127					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	10177	302	201	151	252	235	173	304	145	193	63	207	212	113	147	101	446	124	268	174	61	95	67	130	159	128	131	283	83	54	128	32	96	282	185	186	107	235	239	150	43	73	103	190	190	81	101	179	208	205	193	218	52	119	258	221	60	60	0	89	600	75	18	199					
6	Число погашенных избирательных бюллетеней	23660	430	468	512	136	41	409	211	531	604	554	303	331	354	255	310	257	412	297	604	478	438	305	674	475	552	339	213	216	303	493	496	337	401	564	241	188	395	332	445	583	177	427	596	341	615	241	533	699	737	405	474	552	377	625	642	170	12	133	61	47	217	18	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	10177	302	201	151	252	235	173	304	145	193	63	207	212	113	147	101	446	124	268	174	61	95	67	130	159	128	131	283	83	54	128	32	96	282	185	186	107	235	239	150	43	73	103	190	190	81	101	179	208	205	193	218	52	119	258	221	60	60	0	89	600	75	18	199					
8	Число бюллетеней в стационарных ящиках для голосования	79479	1268	1531	1337	1112	1189	1618	1185	1222	1403	1480	1090	1057	1633	1198	1185	1197	1464	1435	1422	1961	1972	1428	896	1566	1320	1530	1201	1501	1743	879	1072	1167	1217	1551	1673	1705	1269	1329	1305	1474	1150	1569	1614	1469	1304	1158	1388	1493	1551	1502	1408	1396	1704	1517	1437	370	298	1364	0	453	308	114	127					
9	Число недействительных избирательных бюллетеней	1081	7	17	5	19	24	18	154	18	10	49	2	7	5	13	4	5	31	14	2	1	33	18	0	86	15	9	16	27	20	12	18	21	22	26	0	2	12	8	4	30	24	57	3	20	30	0	3	26	26	3	1	2	2	10	1	7	1	40	3	25	9	2	2					
