Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Каларская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160					
1	"Число избирателей, внесенных в списки"	7142	564	532	645	467	527	147	470	735	542	73	117	456	587	567	201	512					
2	"Число бюллетеней, полученных участковыми комиссиями"	6113	443	429	518	385	424	143	436	610	461	71	108	410	537	505	180	453					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	86	0	0	0	0	0	0	0	0	46	33	0	0	7	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3376	336	252	309	248	235	62	181	400	188	0	69	242	260	279	86	229					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	108	1	16	12	1	2	1	3	11	20	0	2	3	21	8	3	4					
6	Число погашенных бюллетеней	2543	106	161	197	136	187	80	252	199	207	38	37	165	249	218	91	220					
7	Число бюллетеней в переносных ящиках для голосования	161	1	16	12	1	2	1	3	11	66	0	2	3	28	8	3	4					
8	Число бюллетеней в стационарных ящиках для голосования	3409	336	252	309	248	235	62	181	400	188	33	69	242	260	279	86	229					
9	Число недействительных бюллетеней	37	1	2	3	2	11	0	2	2	0	1	1	1	1	7	1	2					
10	Число действительных бюллетеней	3533	336	266	318	247	226	63	182	409	254	32	70	244	287	280	88	231					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	5	5	5	5	5	10	5	5	10	5	5	10	10	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	1	1	0	0	0	4	0	1	3	0	3	3	3	2	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	0	2	2	0	1	1	0	0	0	0	0	3	1	0	1	0					
14	Число погашенных открепительных удостоверений	76	4	4	5	5	5	6	5	4	7	5	2	7	7	3	4	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	70	9	7	4	7	3	1	4	6	6	5	2	3	2	6	1	4					
		1.96%	2.67%	2.61%	1.24%	2.81%	1.26%	1.58%	2.17%	1.45%	2.36%	15.15%	2.81%	1.22%	0.69%	2.09%	1.12%	1.71%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	7	2	11	4	7	0	0	9	2	0	1	4	6	7	1	7					
		1.90%	2.07%	0.74%	3.42%	1.60%	2.95%	0.0%	0.0%	2.18%	0.78%	0.0%	1.40%	1.63%	2.08%	2.43%	1.12%	3.00%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	84	8	7	5	10	2	4	6	4	8	3	1	5	11	3	4	3					
		2.35%	2.37%	2.61%	1.55%	4.01%	0.84%	6.34%	3.26%	0.97%	3.14%	9.09%	1.40%	2.04%	3.81%	1.04%	4.49%	1.28%					
