Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Красноармейская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11277	2178	1478	244	530	309	392	96	531	323	344	139	563	292	259	121	610	377	378	382	632	878	221									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11330	2200	1400	240	530	310	390	90	560	320	340	140	570	310	260	120	610	390	390	400	640	890	230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7571	1432	981	154	326	229	310	56	369	218	247	90	383	215	151	85	370	260	219	250	467	604	155									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	829	30	51	34	41	14	40	15	66	35	27	17	54	30	43	10	98	35	40	33	60	40	16									
6	Число погашенных избирательных бюллетеней	2930	738	368	52	163	67	40	19	125	67	66	33	133	65	66	25	142	95	131	117	113	246	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	829	30	51	34	41	14	40	15	66	35	27	17	54	30	43	10	98	35	40	33	60	40	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7567	1432	981	154	326	229	309	56	369	216	247	90	383	215	151	85	370	260	218	250	467	604	155									
9	Число недействительных избирательных бюллетеней	262	37	29	3	13	9	13	4	26	10	10	2	12	7	3	2	5	10	13	9	10	26	9									
10	Число действительных избирательных бюллетеней	8134	1425	1003	185	354	234	336	67	409	241	264	105	425	238	191	93	463	285	245	274	517	618	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	328	67	22	8	5	15	11	4	19	10	11	2	18	22	3	4	23	14	12	21	9	21	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	326	66	22	8	5	15	11	4	19	10	10	2	18	22	3	4	23	14	12	21	9	21	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	4	6	1	1	4	6	2	1	7	2	1	1	0	1	3	9	0	2	2	0	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	12	9	0	2	2	4	0	4	0	2	1	2	8	0	1	0	4	3	3	3	6	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	22	10	0	3	3	0	0	2	4	1	0	4	1	1	0	2	2	1	3	9	2	2									
		0.86%	1.50%	0.97%	0.00%	0.82%	1.23%	0.00%	0.00%	0.46%	1.59%	0.36%	0.00%	0.92%	0.41%	0.52%	0.00%	0.43%	0.68%	0.39%	1.06%	1.71%	0.31%	1.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	198	35	20	3	11	5	16	2	9	6	8	1	8	0	3	2	8	13	12	6	7	14	9									
		2.36%	2.39%	1.94%	1.60%	2.99%	2.06%	4.58%	2.82%	2.07%	2.39%	2.92%	0.93%	1.83%	0.00%	1.55%	2.11%	1.71%	4.41%	4.65%	2.12%	1.33%	2.17%	5.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	226	60	30	3	23	8	3	5	4	2	12	1	5	11	4	0	17	8	2	9	8	9	2									
