Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Новокубанская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261					
1	"Число избирателей, внесенных в списки"	65608	193	258	2068	2035	2253	397	142	1164	463	230	394	575	650	284	389	223	2069	1294	1604	1176	1663	1585	1749	1375	1154	1140	1438	2120	1788	1828	2346	966	1526	1140	265	304	1914	1744	1938	257	407	130	292	189	856	2480	423	546	56	1006	1280	1705	1504	1136	1217	876	188	1404	1875	983	954					
2	"Число бюллетеней, полученных участковыми комиссиями"	64579	195	258	2009	2000	2210	387	141	1150	540	220	385	585	655	286	400	228	2000	1250	1550	1150	1650	1585	1700	1350	1120	1080	1400	2100	1790	1750	2300	930	1490	1130	370	304	1916	1740	1913	248	405	130	287	217	840	2460	419	540	56	967	1260	1600	1490	1150	1200	865	188	1400	1813	987	840					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39668	166	197	1368	1329	1232	248	115	794	420	205	278	463	510	217	366	146	1240	760	828	685	867	1016	850	719	594	554	692	1070	883	866	1036	405	870	777	211	219	1324	1037	1136	227	291	91	190	179	572	1663	236	325	56	578	756	895	791	677	761	671	182	1020	1496	849	469					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3153	0	0	112	84	155	34	4	55	43	2	54	70	34	11	0	45	28	37	101	70	42	181	126	107	82	36	87	220	114	91	84	59	61	31	54	6	28	45	51	0	0	4	16	10	38	62	29	35	0	32	40	48	87	58	28	37	6	48	43	25	63					
6	Число погашенных бюллетеней	21758	29	61	529	587	823	105	22	301	77	13	53	52	111	58	34	37	732	453	621	395	741	388	724	524	444	490	621	810	793	793	1180	466	559	322	105	79	564	658	726	21	114	35	81	28	230	735	154	180	0	357	464	657	612	415	411	157	0	332	274	113	308					
7	Число бюллетеней в переносных ящиках для голосования	3153	0	0	112	84	155	34	4	55	43	2	54	70	34	11	0	45	28	37	101	70	42	181	126	107	82	36	87	220	114	91	84	59	61	31	54	6	28	45	51	0	0	4	16	10	38	62	29	35	0	32	40	48	87	58	28	37	6	48	43	25	63					
8	Число бюллетеней в стационарных ящиках для голосования	39480	166	197	1368	1329	1232	248	115	794	420	205	278	463	510	217	366	146	1237	760	828	685	866	835	850	719	592	554	692	1070	883	866	1036	405	870	777	211	219	1324	1037	1136	227	291	91	190	179	572	1663	236	325	56	578	756	895	791	676	761	671	182	1020	1496	849	469					
9	Число недействительных бюллетеней	663	1	0	14	22	25	9	6	11	53	7	14	9	9	8	0	0	10	10	34	7	12	9	0	11	9	14	7	9	11	15	8	9	16	17	0	1	24	24	23	3	1	2	8	0	25	49	8	3	0	9	0	19	10	2	12	11	1	8	8	14	2					
10	Число действительных бюллетеней	41970	165	197	1466	1391	1362	273	113	838	410	200	318	524	535	220	366	191	1255	787	895	748	896	1007	976	815	665	576	772	1281	986	942	1112	455	915	791	265	224	1328	1058	1164	224	290	93	198	189	585	1676	257	357	56	601	796	924	868	732	777	697	187	1060	1531	860	530					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	700	3	3	18	20	25	4	2	11	5	2	4	5	6	3	3	2	25	15	16	11	20	12	15	15	10	12	17	25	20	20	25	18	15	10	4	3	20	20	20	3	4	2	3	2	8	24	4	5	7	10	13	19	16	12	13	9	2	15	20	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	143	0	0	11	10	8	0	0	0	0	0	0	0	3	2	0	1	0	3	3	6	10	3	5	2	3	3	3	6	5	4	2	2	1	0	0	1	2	6	5	0	0	0	1	0	1	14	0	0	0	0	1	0	3	5	1	3	0	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	2	1	0	6	1	4	3	3	1	4	1	3	1	3	2	3	0	7	1	0	2	1	3	1	1	3	1	8	3	1	0	2	3	5	3	0	6	2	4	1	0	0	4	4	4	7	1	0	0	1	0	5	1	4	5	0	0	1	4	0	2					
14	Число погашенных открепительных удостоверений	557	3	3	7	10	17	4	2	11	5	2	4	5	3	1	3	1	25	12	13	5	10	9	10	13	7	9	14	19	15	16	23	16	14	10	4	2	18	14	15	3	4	2	2	2	7	10	4	5	7	10	12	19	13	7	12	6	2	14	17	10	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
