Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Красновишерская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  1601	УИК  1602	УИК  1603	УИК  1604	УИК  1605	УИК  1606	УИК  1607	УИК  1608	УИК  1609	УИК  1610	УИК  1611	УИК  1612	УИК  1613	УИК  1614	УИК  1615	УИК  1616	УИК  1617	УИК  1618	УИК  1619	УИК  1620	УИК  1621	УИК  1622	УИК  1623	УИК  1624	УИК  1625	УИК  1626	УИК  1627	УИК  1628	УИК  1629	УИК  1630	УИК  1631	УИК  1632	УИК  1633	УИК  1634	УИК  1635	УИК  1636					
1	"Число избирателей, внесенных в списки"	19580	351	1839	1846	1347	1490	2066	1770	513	333	1161	187	241	362	741	362	169	660	67	534	97	274	76	158	136	443	82	116	370	31	125	152	165	227	122	195	772					
2	"Число бюллетеней, полученных участковыми комиссиями"	20250	350	1900	1860	1370	1510	2140	1750	510	330	1150	200	250	390	770	380	189	670	71	540	102	260	84	157	157	470	100	121	400	41	114	162	250	370	132	210	790					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11262	180	909	913	876	947	1327	902	223	189	571	126	120	247	446	187	111	468	36	345	62	126	47	105	106	167	56	45	238	23	76	115	132	197	92	136	416					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1171	53	57	74	24	57	74	96	30	11	23	61	44	24	44	39	12	36	14	22	11	52	13	9	4	96	4	14	25	8	14	0	33	30	10	9	44					
6	Число погашенных бюллетеней	7806	117	934	873	470	506	739	752	257	130	556	13	86	119	280	154	66	166	21	173	29	82	24	43	47	198	40	60	137	10	24	47	85	143	30	65	330					
7	Число бюллетеней в переносных ящиках для голосования	1182	53	57	74	24	57	74	96	30	11	23	61	44	24	44	39	12	36	14	22	11	52	13	9	4	105	4	16	25	8	14	0	33	30	10	9	44					
8	Число бюллетеней в стационарных ящиках для голосования	11255	180	909	913	876	947	1327	902	223	189	564	126	120	247	446	187	111	468	36	345	62	126	47	105	106	167	56	45	238	23	76	115	132	197	92	136	416					
9	Число недействительных бюллетеней	248	3	13	14	26	21	17	19	6	2	17	5	1	9	6	10	3	6	0	5	2	13	2	0	2	2	0	1	5	0	1	0	7	8	1	11	10					
10	Число действительных бюллетеней	12189	230	953	973	874	983	1384	979	247	198	570	182	163	262	484	216	120	498	50	362	71	165	58	114	108	270	60	60	258	31	89	115	158	219	101	134	450					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	504	15	25	24	33	33	62	24	9	5	28	0	9	15	30	10	7	21	1	15	1	2	7	7	12	11	6	4	27	7	5	3	19	3	2	6	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	495	15	25	23	32	33	61	24	9	5	28	0	9	15	30	10	7	21	0	15	0	2	7	7	10	11	6	2	27	7	5	3	19	3	2	6	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	2	15	19	4	4	8	13	4	4	5	21	4	2	7	5	3	16	6	6	1	6	4	1	2	3	0	1	5	5	2	2	1	2	0	1	10					
14	Число погашенных открепительных удостоверений	9	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	46	1	2	3	0	0	14	6	1	0	0	0	0	2	0	0	0	2	2	1	0	0	0	0	0	2	1	0	2	0	1	1	1	0	1	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	232	8	14	16	21	17	29	14	1	3	10	6	1	4	6	3	1	17	0	5	2	3	1	1	4	8	2	2	6	1	0	2	5	3	4	2	10					
		1.86%	3.43%	1.44%	1.62%	2.33%	1.69%	2.06%	1.40%	0.39%	1.5%	1.70%	3.20%	0.60%	1.47%	1.22%	1.32%	0.81%	3.37%	0.0%	1.36%	2.73%	1.68%	1.66%	0.87%	3.63%	2.94%	3.33%	3.27%	2.28%	3.22%	0.0%	1.73%	3.03%	1.32%	3.92%	1.37%	2.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	548	9	45	55	32	43	77	48	11	10	59	19	3	9	11	6	2	12	1	12	0	2	4	1	3	10	1	2	10	1	2	2	3	0	2	2	39					
		4.40%	3.86%	4.65%	5.57%	3.55%	4.28%	5.49%	4.80%	4.34%	5.0%	10.05%	10.16%	1.82%	3.32%	2.24%	2.65%	1.62%	2.38%	2.0%	3.26%	0.0%	1.12%	6.66%	0.87%	2.72%	3.67%	1.66%	3.27%	3.80%	3.22%	2.22%	1.73%	1.81%	0.0%	1.96%	1.37%	8.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	790	10	29	80	46	83	70	73	21	23	34	12	17	27	19	12	15	20	5	24	12	7	5	10	12	25	2	4	19	2	4	6	12	19	1	10	20					
