Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва										
Дата голосования: 02.12.2007										
										
Наименование Избирательной комиссии:    ЗАТО п. Горный										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №285	УИК №286	УИК №287					
1	"Число избирателей, внесенных в списки избирателей"	6266	2564	2444	1258					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5902	2316	2444	1142					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4365	1769	1678	918					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	86	38	33	15					
6	Число погашенных избирательных бюллетеней	1451	509	733	209					
7	Число избирательных бюллетеней в переносных ящиках для голосования	86	38	33	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4362	1767	1677	918					
9	Число недействительных избирательных бюллетеней	39	13	16	10					
10	Число действительных избирательных бюллетеней	4409	1792	1694	923					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	290	100	140	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	116	51	35	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	51	16	18	17					
14	Число погашенных неиспользованных открепительных удостоверений	174	49	105	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	5	5	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0					
										
18	1.Политическая партия «Аграрная партия России»	69	34	23	12					
		1.55%	1.88%	1.35%	1.29%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	9	10	3					
		0.49%	0.50%	0.58%	0.32%					
20	3.Политическая партия «Демократическая партия России»	3	0	1	2					
		0.07%	0.00%	0.06%	0.21%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	160	59	63	38					
		3.60%	3.27%	3.68%	4.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	10	4	3	3					
		0.22%	0.22%	0.18%	0.32%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	4	3					
		0.16%	0.00%	0.23%	0.32%					
24	7.Политическая партия «Либерально-демократическая партия России»	825	288	349	188					
		18.55%	15.96%	20.41%	20.15%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	301	135	102	64					
		6.77%	7.48%	5.96%	6.86%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	47	24	16	7					
		1.06%	1.33%	0.94%	0.75%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2945	1227	1118	600					
		66.21%	67.98%	65.38%	64.31%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	12	5	3					
		0.45%	0.66%	0.29%	0.32%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
