Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Светлинская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10760	2328	1478	2298	157	465	486	547	274	532	541	537	638	479									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11010	2358	1490	2298	151	462	556	575	293	545	549	568	669	496									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4508	1018	515	943	83	177	180	413	119	196	214	249	276	125									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	397	35	53	45	0	17	36	41	24	20	27	33	33	33									
6	Число погашенных избирательных бюллетеней	6105	1305	922	1310	68	268	340	121	150	329	308	286	360	338									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	397	35	53	45	0	17	36	41	24	20	27	33	33	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4507	1018	515	943	83	176	180	413	119	196	214	249	276	125									
9	Число недействительных избирательных бюллетеней	189	35	28	39	1	10	7	16	2	12	14	5	13	7									
10	Число действительных избирательных бюллетеней	4715	1018	540	949	82	183	209	438	141	204	227	277	296	151									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	176	19	16	41	0	12	14	24	17	5	4	11	5	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	16	12	40	0	10	14	24	16	2	1	11	2	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	12	3	14	2	5	5	4	4	6	2	4	26	1									
14	Число погашенных неиспользованных открепительных удостоверений	20	3	4	1	0	2	0	0	1	3	3	0	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	14	13	24	0	2	1	1	4	2	0	11	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	12	6	12	0	4	4	2	0	1	2	1	1	1									
		0.94%	1.14%	1.06%	1.21%	0.00%	2.07%	1.85%	0.44%	0.00%	0.46%	0.83%	0.35%	0.32%	0.63%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	133	28	11	30	1	3	10	5	5	12	10	10	4	4									
		2.71%	2.66%	1.94%	3.04%	1.20%	1.55%	4.63%	1.10%	3.50%	5.56%	4.15%	3.55%	1.29%	2.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	10	9	20	1	1	7	2	4	5	1	1	10	2									
		1.49%	0.95%	1.58%	2.02%	1.20%	0.52%	3.24%	0.44%	2.80%	2.31%	0.41%	0.35%	3.24%	1.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2429	495	283	418	52	51	111	329	81	111	111	163	149	75									
		49.53%	47.01%	49.82%	42.31%	62.65%	26.42%	51.39%	72.47%	56.64%	51.39%	46.06%	57.80%	48.22%	47.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	11	1	6	0	1	0	0	0	1	1	0	0	0									
		0.43%	1.04%	0.18%	0.61%	0.00%	0.52%	0.00%	0.00%	0.00%	0.46%	0.41%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	1	0	0	0	0	0	1	1	0	0	0									
		0.06%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.41%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	968	213	88	229	11	70	35	53	22	24	53	50	79	41									
		19.74%	20.23%	15.49%	23.18%	13.25%	36.27%	16.20%	11.67%	15.38%	11.11%	21.99%	17.73%	25.57%	25.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	6	3	4	0	0	2	0	1	0	0	0	0	0									
		0.33%	0.57%	0.53%	0.40%	0.00%	0.00%	0.93%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	36	5	6	14	0	4	1	0	2	1	2	0	0	1									
		0.73%	0.47%	1.06%	1.42%	0.00%	2.07%	0.46%	0.00%	1.40%	0.46%	0.83%	0.00%	0.00%	0.63%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	0	1	0	0	0	1	0	0	0	0	1	0									
		0.08%	0.09%	0.00%	0.10%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	7	0	3	1	0	0	0	1	0	1	4	2	2									
		0.43%	0.66%	0.00%	0.30%	1.20%	0.00%	0.00%	0.00%	0.70%	0.00%	0.41%	1.42%	0.65%	1.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	703	176	102	153	12	33	26	33	12	33	39	36	36	12									
		14.34%	16.71%	17.96%	15.49%	14.46%	17.10%	12.04%	7.27%	8.39%	15.28%	16.18%	12.77%	11.65%	7.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	6	3	3	0	0	0	0	0	3	0	2	3	0									
		0.41%	0.57%	0.53%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.71%	0.97%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	242	48	28	55	4	16	13	13	13	12	6	10	11	13									
		4.93%	4.56%	4.93%	5.57%	4.82%	8.29%	6.02%	2.86%	9.09%	5.56%	2.49%	3.55%	3.56%	8.23%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
