Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Ирбитская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №2610	УИК №2611	УИК №2612	УИК №2613									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32134	1832	1820	1731	1766	1537	1557	1583	1653	1470	1438	1429	1519	1572	1633	1704	1664	1562	1559	1518	1587									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31550	1800	1750	1700	1750	1500	1550	1550	1650	1450	1450	1400	1500	1550	1550	1650	1650	1550	1500	1500	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13174	569	584	565	617	679	750	723	604	703	602	686	758	614	683	785	722	566	659	658	647									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	799	343	45	14	22	9	27	23	26	27	21	27	34	20	43	20	14	15	31	17	21									
6	Число погашенных избирательных бюллетеней	17577	888	1121	1121	1111	812	773	804	1020	720	827	687	708	916	824	845	914	969	810	825	882									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	799	343	45	14	22	9	27	23	26	27	21	27	34	20	43	20	14	15	31	17	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13173	568	584	565	617	679	750	723	604	703	602	686	758	614	683	785	722	566	659	658	647									
9	Число недействительных избирательных бюллетеней	310	30	15	8	8	11	23	14	8	17	20	18	21	14	4	15	22	15	11	19	17									
10	Число действительных избирательных бюллетеней	13662	881	614	571	631	677	754	732	622	713	603	695	771	620	722	790	714	566	679	656	651									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	870	30	50	30	40	40	50	50	30	50	50	40	50	40	50	50	40	30	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	312	5	11	7	11	15	18	9	9	22	18	19	23	17	22	12	21	18	25	17	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	268	15	20	20	14	15	15	13	20	11	15	9	11	9	8	22	8	9	11	10	13									
14	Число погашенных неиспользованных открепительных удостоверений	558	25	39	23	29	25	32	41	21	28	32	21	27	23	28	38	19	12	25	33	37									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	2	2	2	3	2	5	3	3	3	2	2	7	2	5	4	4	2	5	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	155	12	7	4	3	6	5	14	9	5	6	12	5	7	13	7	11	6	6	5	12									
		1.11%	1.32%	1.11%	0.69%	0.47%	0.87%	0.64%	1.88%	1.43%	0.68%	0.96%	1.68%	0.63%	1.10%	1.79%	0.87%	1.49%	1.03%	0.87%	0.74%	1.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	304	11	12	10	3	13	16	19	8	15	14	16	33	21	20	11	19	19	12	15	17									
		2.18%	1.21%	1.91%	1.73%	0.47%	1.89%	2.06%	2.55%	1.27%	2.05%	2.25%	2.24%	4.17%	3.31%	2.75%	1.37%	2.58%	3.27%	1.74%	2.22%	2.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	343	9	20	14	6	18	24	18	6	22	8	27	24	14	15	23	19	13	22	25	16									
		2.45%	0.99%	3.18%	2.42%	0.94%	2.62%	3.09%	2.41%	0.95%	3.01%	1.28%	3.79%	3.03%	2.21%	2.07%	2.86%	2.58%	2.24%	3.19%	3.70%	2.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5544	367	238	218	256	274	354	297	241	302	254	275	284	258	293	312	271	240	278	264	268									
		39.68%	40.29%	37.84%	37.65%	40.06%	39.83%	45.56%	39.81%	38.25%	41.37%	40.77%	38.57%	35.86%	40.69%	40.36%	38.76%	36.82%	41.31%	40.29%	39.11%	40.12%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	72	7	3	3	10	3	4	4	1	1	1	4	5	2	4	4	5	5	1	1	4									
		0.52%	0.77%	0.48%	0.52%	1.56%	0.44%	0.51%	0.54%	0.16%	0.14%	0.16%	0.56%	0.63%	0.32%	0.55%	0.50%	0.68%	0.86%	0.14%	0.15%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	1	0	1	1	0	2	0	0	0	0	1	1	0	0	2	0	0	2	2	1									
		0.10%	0.11%	0.00%	0.17%	0.16%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.14%	0.13%	0.00%	0.00%	0.25%	0.00%	0.00%	0.29%	0.30%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4655	370	244	233	274	226	207	242	257	223	207	193	218	202	221	307	240	174	201	205	211									
		33.32%	40.61%	38.79%	40.24%	42.88%	32.85%	26.64%	32.44%	40.79%	30.55%	33.23%	27.07%	27.53%	31.86%	30.44%	38.14%	32.61%	29.95%	29.13%	30.37%	31.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	5	2	1	1	2	2	6	1	2	4	2	5	5	1	4	3	3	4	6	1									
		0.43%	0.55%	0.32%	0.17%	0.16%	0.29%	0.26%	0.80%	0.16%	0.27%	0.64%	0.28%	0.63%	0.79%	0.14%	0.50%	0.41%	0.52%	0.58%	0.89%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	86	6	3	5	5	3	2	4	8	1	3	3	4	4	9	5	4	3	5	5	4									
		0.62%	0.66%	0.48%	0.86%	0.78%	0.44%	0.26%	0.54%	1.27%	0.14%	0.48%	0.42%	0.51%	0.63%	1.24%	0.62%	0.54%	0.52%	0.72%	0.74%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	4	0	0	0	0	1	1	0	0	0	2	1	2	0	2	0	0	0	0	0									
		0.09%	0.44%	0.00%	0.00%	0.00%	0.00%	0.13%	0.13%	0.00%	0.00%	0.00%	0.28%	0.13%	0.32%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	129	7	8	7	5	9	7	9	3	7	4	14	9	2	8	4	8	3	4	6	5									
		0.92%	0.77%	1.27%	1.21%	0.78%	1.31%	0.90%	1.21%	0.48%	0.96%	0.64%	1.96%	1.14%	0.32%	1.10%	0.50%	1.09%	0.52%	0.58%	0.89%	0.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1173	49	41	55	40	49	52	59	62	82	48	69	91	64	63	44	62	56	68	64	55									
		8.40%	5.38%	6.52%	9.50%	6.26%	7.12%	6.69%	7.91%	9.84%	11.23%	7.70%	9.68%	11.49%	10.09%	8.68%	5.47%	8.42%	9.64%	9.86%	9.48%	8.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	3	1	5	2	1	1	0	1	3	0	3	3	1	16	1	2	1	4	5	2									
		0.39%	0.33%	0.16%	0.86%	0.31%	0.15%	0.13%	0.00%	0.16%	0.41%	0.00%	0.42%	0.38%	0.16%	2.20%	0.12%	0.27%	0.17%	0.58%	0.74%	0.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1059	30	35	15	25	73	77	59	25	50	54	74	88	38	59	64	70	43	72	53	55									
		7.58%	3.29%	5.56%	2.59%	3.91%	10.61%	9.91%	7.91%	3.97%	6.85%	8.67%	10.38%	11.11%	5.99%	8.13%	7.95%	9.51%	7.40%	10.43%	7.85%	8.23%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
