Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Пластовская городская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297					
1	"Число избирателей, внесенных в списки"	20026	1696	2396	1976	2039	1432	735	881	1016	1054	1242	417	225	546	448	156	357	477	95	95	137	157	163	862	564	195	513	152					
2	"Число бюллетеней, полученных участковыми комиссиями"	18412	1550	2200	1800	1900	1300	700	800	900	950	1100	370	220	500	380	157	350	450	92	93	139	150	167	800	550	192	450	152					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9744	711	1137	934	982	611	282	348	386	384	439	192	152	352	270	109	239	331	70	71	120	134	112	461	321	153	321	122					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	603	43	62	54	29	23	12	25	46	29	22	76	23	21	41	5	8	4	2	5	0	0	4	38	28	0	3	0					
6	Число погашенных бюллетеней	8065	796	1001	812	889	666	406	427	468	537	639	102	45	127	69	43	103	115	20	17	19	16	51	301	201	39	126	30					
7	Число бюллетеней в переносных ящиках для голосования	603	43	62	54	29	23	12	25	46	29	22	76	23	21	41	5	8	4	2	5	0	0	4	38	28	0	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	9734	711	1137	935	981	610	275	347	386	384	439	192	152	352	270	109	239	331	70	71	120	134	112	461	320	153	321	122					
9	Число недействительных бюллетеней	155	10	10	10	12	8	0	7	4	5	3	15	0	13	4	1	6	6	3	3	0	2	0	8	4	3	9	9					
10	Число действительных бюллетеней	10182	744	1189	979	998	625	287	365	428	408	458	253	175	360	307	113	241	329	69	73	120	132	116	491	344	150	315	113					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	152	9	14	14	14	9	6	6	6	8	8	4	3	5	4	3	3	4	2	2	3	3	3	5	4	3	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	53	0	9	13	5	2	1	0	3	2	2	1	0	0	1	0	2	2	0	1	0	0	0	4	0	3	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	1	1	2	1	2	1	1	0	0	1	3	0	0	2	1	0	0	3	1	0	0	0	2	0	1	3	0					
14	Число погашенных открепительных удостоверений	99	9	5	1	9	7	5	6	3	6	6	3	3	5	3	3	1	2	2	1	3	3	3	1	4	0	2	3					
15	Число открепительных удостоверений выданных ТИК	6	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	113	6	12	10	5	5	1	2	4	5	5	1	1	4	4	2	4	8	1	2	2	0	4	6	3	6	5	5					
		1.09%	0.79%	1.00%	1.01%	0.49%	0.78%	0.34%	0.53%	0.92%	1.21%	1.08%	0.37%	0.57%	1.07%	1.28%	1.75%	1.61%	2.38%	1.38%	2.63%	1.66%	0.0%	3.44%	1.20%	0.86%	3.92%	1.54%	4.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	131	8	18	14	24	9	5	6	16	2	3	1	0	5	2	1	0	8	4	0	0	0	2	0	2	1	0	0					
		1.26%	1.06%	1.50%	1.41%	2.37%	1.42%	1.74%	1.61%	3.70%	0.48%	0.65%	0.37%	0.0%	1.34%	0.64%	0.87%	0.0%	2.38%	5.55%	0.0%	0.0%	0.0%	1.72%	0.0%	0.57%	0.65%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1025	53	166	129	99	108	30	51	55	51	53	29	11	19	4	8	18	12	6	17	9	4	14	17	21	14	20	7					
		9.91%	7.02%	13.84%	13.04%	9.80%	17.06%	10.45%	13.70%	12.73%	12.34%	11.49%	10.82%	6.28%	5.09%	1.28%	7.01%	7.28%	3.58%	8.33%	22.36%	7.5%	2.98%	12.06%	3.40%	6.03%	9.15%	6.17%	5.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	434	37	34	44	57	29	18	25	23	24	18	13	3	16	6	3	13	13	5	7	4	2	1	22	7	1	8	1					
		4.19%	4.90%	2.83%	4.44%	5.64%	4.58%	6.27%	6.72%	5.32%	5.81%	3.90%	4.85%	1.71%	4.28%	1.92%	2.63%	5.26%	3.88%	6.94%	9.21%	3.33%	1.49%	0.86%	4.40%	2.01%	0.65%	2.46%	0.81%					
22	"5. ""За Русь Святую"""	38	3	3	1	2	1	0	2	2	2	5	1	5	1	0	1	2	3	0	0	0	0	0	2	1	0	0	1					
