Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Искитимская  																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329					
1	"Число избирателей, внесенных в список избирателей"	50338	1429	1498	1395	1368	1630	1297	1362	1527	1365	1481	1357	1315	445	170	281	313	614	441	218	176	299	521	1296	2676	237	421	1667	1066	1601	689	634	570	93	1054	157	123	144	432	303	118	1246	208	223	134	545	170	73	186	345	131	1031	419	380	43	2058	443	531	180	995	837	98	843	185	359	1195	289	190	643	214	75	178	109	510	101	227	144	595	119	146	157					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49860	1440	1510	1420	1400	1370	1310	1380	1560	1370	1410	1400	1340	450	190	300	300	620	490	220	170	330	550	1290	2470	240	400	1650	1050	1500	650	630	550	90	1050	150	120	140	440	300	110	1250	200	200	130	550	180	80	180	360	130	1000	400	350	50	2000	430	530	180	1000	850	100	840	190	350	1200	290	190	650	200	80	200	110	500	110	240	160	630	120	140	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30179	902	953	873	759	862	853	803	922	808	793	868	737	285	116	142	175	368	294	138	100	230	352	900	1354	193	246	898	458	966	287	405	342	68	522	102	69	96	280	185	89	689	129	118	82	370	109	56	132	236	63	649	226	235	43	1419	313	297	120	584	556	64	523	103	247	663	194	123	343	140	35	125	88	320	60	158	99	403	75	92	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2097	20	14	8	30	273	20	18	15	15	37	35	49	15	9	17	13	36	28	12	16	13	18	43	97	4	14	46	41	36	44	39	31	1	88	3	7	5	37	29	5	62	9	16	9	15	10	5	9	24	12	31	21	12	0	59	25	39	10	49	37	8	55	16	7	82	9	12	43	11	2	6	1	21	9	16	10	22	6	12	14					
6	Число погашенных избирательных бюллетеней	17584	518	543	539	611	235	437	559	623	547	580	497	554	150	65	141	112	216	168	70	54	87	180	347	1019	43	140	706	551	498	319	186	177	21	440	45	44	39	123	86	16	499	62	66	39	165	61	19	39	100	55	320	153	103	7	522	92	194	50	367	257	28	262	71	96	455	87	55	264	49	43	69	21	159	41	66	51	205	39	36	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2096	20	14	8	30	272	20	18	15	15	37	35	49	15	9	17	13	36	28	12	16	13	18	43	97	4	14	46	41	36	44	39	31	1	88	3	7	5	37	29	5	62	9	16	9	15	10	5	9	24	12	31	21	12	0	59	25	39	10	49	37	8	55	16	7	82	9	12	43	11	2	6	1	21	9	16	10	22	6	12	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30173	902	953	873	759	862	853	803	922	808	793	868	736	285	116	142	175	368	294	138	100	230	352	900	1354	193	246	896	458	966	287	405	342	68	522	102	69	96	280	185	89	689	129	118	82	370	109	56	132	236	63	649	226	235	43	1416	313	297	120	584	556	64	523	103	247	663	194	123	343	140	35	125	88	320	60	158	99	403	75	92	105					
9	Число недействительных избирательных бюллетеней	707	19	26	20	13	27	17	22	22	17	24	19	17	7	0	3	1	12	8	4	5	3	8	18	26	3	0	20	10	26	8	11	7	2	22	0	0	2	8	4	1	9	4	2	1	18	3	1	0	2	0	13	20	3	1	30	4	7	7	25	16	2	12	2	4	19	2	7	7	3	1	1	1	6	1	5	2	2	2	0	0					
10	Число действительных избирательных бюллетеней	31562	903	941	861	776	1107	856	799	915	806	806	884	768	293	125	156	187	392	314	146	111	240	362	925	1425	194	260	922	489	976	323	433	366	67	588	105	76	99	309	210	93	742	134	132	90	367	116	60	141	258	75	667	227	244	42	1445	334	329	123	608	577	70	566	117	250	726	201	128	379	148	36	130	88	335	68	169	107	423	79	104	119					
