Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Моргаушская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22867	1084	1014	858	573	1105	222	174	161	372	553	213	294	218	358	627	435	437	957	270	481	575	404	270	321	517	568	303	352	356	309	335	137	384	464	803	304	556	282	519	252	229	257	552	308	275	352	579	372	530	624	372									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23283	1096	1031	847	573	1215	232	189	179	413	534	212	293	205	367	663	452	410	950	267	476	585	416	263	325	536	573	302	358	339	302	326	136	396	467	863	310	572	294	526	259	235	261	550	318	280	360	591	392	535	637	372									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16278	802	733	543	424	856	149	150	132	269	349	152	184	144	263	389	263	275	701	176	286	436	312	209	234	367	453	211	249	277	253	284	113	229	317	558	214	378	158	346	198	161	186	375	269	221	249	407	270	396	466	242									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2280	44	25	97	42	61	23	15	14	53	61	10	50	24	17	89	62	22	63	39	58	40	30	10	23	46	40	24	50	60	46	40	22	85	75	72	23	53	45	54	33	35	27	103	11	18	69	46	62	69	62	38									
6	Число погашенных избирательных бюллетеней	4725	250	273	207	107	298	60	24	33	91	124	50	59	37	87	185	127	113	186	52	132	109	74	44	68	123	80	67	59	2	3	2	1	82	75	233	73	141	91	126	28	39	48	72	38	41	42	138	60	70	109	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2280	44	25	97	42	61	23	15	14	53	61	10	50	24	17	89	62	22	63	39	58	40	30	10	23	46	40	24	50	60	46	40	22	85	75	72	23	53	45	54	33	35	27	103	11	18	69	46	62	69	62	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16277	802	733	543	424	856	149	150	132	269	349	152	184	144	263	389	263	275	701	176	286	436	312	209	234	367	453	211	249	277	253	284	113	229	317	558	214	378	158	345	198	161	186	375	269	221	249	407	270	396	466	242									
9	Число недействительных избирательных бюллетеней	642	24	25	15	21	18	4	1	3	7	10	11	9	9	13	18	9	25	11	15	4	12	17	10	13	5	10	14	5	9	7	7	0	4	15	13	15	18	6	18	3	2	9	68	21	9	9	17	14	17	13	10									
10	Число действительных избирательных бюллетеней	17915	822	733	625	445	899	168	164	143	315	400	151	225	159	267	460	316	272	753	200	340	464	325	209	244	408	483	221	294	328	292	317	135	310	377	617	222	413	197	381	228	194	204	410	259	230	309	436	318	448	515	270									
