Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
"Наименование Избирательной комиссии:    Кемерово, Кедровская"																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16605	2422	2605	2213	2508	2319	2681	1340	517									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14300	2100	2200	1900	2100	2000	2300	1200	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13191	1914	2038	1773	2026	1867	2127	1056	390									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	468	75	118	51	41	37	62	44	40									
6	Число погашенных избирательных бюллетеней	641	111	44	76	33	96	111	100	70									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	468	75	118	51	41	37	62	44	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13186	1914	2038	1771	2023	1867	2127	1056	390									
9	Число недействительных избирательных бюллетеней	34	4	6	4	5	6	4	3	2									
10	Число действительных избирательных бюллетеней	13620	1985	2150	1818	2059	1898	2185	1097	428									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	160	30	27	22	17	30	13	11	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	3	0	2	3	3	0	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	80	0	3	8	13	0	17	19	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	0	3	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	3	0	3	3	0	2	2	1									
		0.10%	0.15%	0.00%	0.16%	0.15%	0.00%	0.09%	0.18%	0.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	14	2	1	1	2	3	3	0	2									
		0.10%	0.10%	0.05%	0.05%	0.10%	0.16%	0.14%	0.00%	0.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	12	4	0	4	0	0	2	2	0									
		0.09%	0.20%	0.00%	0.22%	0.00%	0.00%	0.09%	0.18%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10290	1500	1613	1365	1540	1418	1674	846	334									
		75.36%	75.41%	74.81%	74.92%	74.61%	74.47%	76.47%	76.91%	77.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	3	0	3	0	3	4	0	0									
		0.10%	0.15%	0.00%	0.16%	0.00%	0.16%	0.18%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	2	0	2	4	3	3	2	1									
		0.12%	0.10%	0.00%	0.11%	0.19%	0.16%	0.14%	0.18%	0.23%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1259	200	203	174	196	176	194	85	31									
		9.22%	10.06%	9.42%	9.55%	9.50%	9.24%	8.86%	7.73%	7.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	3	3	2	2	1	2	0	1									
		0.10%	0.15%	0.14%	0.11%	0.10%	0.05%	0.09%	0.00%	0.23%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	6	4	5	2	0	0	3	1									
		0.15%	0.30%	0.19%	0.27%	0.10%	0.00%	0.00%	0.27%	0.23%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	1	0	1	2	2	0									
		0.05%	0.05%	0.00%	0.05%	0.00%	0.05%	0.09%	0.18%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	2	6	6	2	3	0	2	1									
		0.16%	0.10%	0.28%	0.33%	0.10%	0.16%	0.00%	0.18%	0.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1092	150	176	133	166	157	190	88	32									
		7.99%	7.54%	8.16%	7.30%	8.04%	8.25%	8.68%	8.00%	7.44%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	3	4	3	4	3	6	5	1									
		0.21%	0.15%	0.19%	0.16%	0.19%	0.16%	0.27%	0.45%	0.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	816	106	140	116	138	130	103	60	23									
		5.98%	5.33%	6.49%	6.37%	6.69%	6.83%	4.71%	5.45%	5.35%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
