Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Иркутская - 95												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №804									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2550	2550									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2400	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	653	653									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2	2									
6	Число погашенных избирательных бюллетеней	1745	1745									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	653	653									
9	Число недействительных избирательных бюллетеней	14	14									
10	Число действительных избирательных бюллетеней	641	641									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	7	7									
14	Число погашенных неиспользованных открепительных удостоверений	40	40									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	10									
		1.53%	1.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	14	14									
		2.14%	2.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	13	13									
		1.98%	1.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	247	247									
		37.71%	37.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	5									
		0.76%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0									
		0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	109	109									
		16.64%	16.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	6									
		0.92%	0.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	31									
		4.73%	4.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0									
		0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	12									
		1.83%	1.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	155	155									
		23.66%	23.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	6									
		0.92%	0.92%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	33	33									
		5.04%	5.04%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
